Estado_final_de_caso,Nom_upgd,Pais_ocurrencia,Departamento_ocurrencia,Municipio_ocurrencia,idx
4,UUBC SANTA LUCIA SALUD TOTAL EPS CARTAGENA,COLOMBIA,BOLIVAR,TURBACO,UUBC SANTA LUCIA SALUD TOTAL EPS CARTAGENA_BOLIVAR_TURBACO
4,CAP CENTRO DE ATENCION PRIORITARI,COLOMBIA,TOLIMA,MARIQUITA,CAP CENTRO DE ATENCION PRIORITARI_TOLIMA_MARIQUITA
4,SERVICIO MEDICO LTDA,COLOMBIA,SAN ANDRES,SAN ANDRES,SERVICIO MEDICO LTDA_SAN ANDRES_SAN ANDRES
4,ESE HOSPITAL NUESTRA SEÑORA DE LOS REMEDIOS,COLOMBIA,GUAJIRA,RIOHACHA,ESE HOSPITAL NUESTRA SEÑORA DE LOS REMEDIOS_GUAJIRA_RIOHACHA
4,PUNTO COOMEVA CUCUTA,COLOMBIA,NORTE SANTANDER,CUCUTA,PUNTO COOMEVA CUCUTA_NORTE SANTANDER_CUCUTA
4,CLINICA SALUD SOCIAL SAS,COLOMBIA,SUCRE,PALMITO,CLINICA SALUD SOCIAL SAS_SUCRE_PALMITO
4,SINERGIA GLOBAL EN SALUD SAS PEDRO DE HERREDIA,COLOMBIA,BOLIVAR,CARTAGENA,SINERGIA GLOBAL EN SALUD SAS PEDRO DE HERREDIA_BOLIVAR_CARTAGENA
3,ESTABLECIMIENTO POLICIAL DE ATENCION BASICA ESPAB,COLOMBIA,CESAR,AGUACHICA,ESTABLECIMIENTO POLICIAL DE ATENCION BASICA ESPAB_CESAR_AGUACHICA
3,ESE HOSPITAL SANTA ANA,COLOMBIA,BOYACA,MUZO,ESE HOSPITAL SANTA ANA_BOYACA_MUZO
4,IPS UNIVERSITARIA SEDE HOSPITAL AMOR DE PATRIA SAN,COLOMBIA,SAN ANDRES,SAN ANDRES,IPS UNIVERSITARIA SEDE HOSPITAL AMOR DE PATRIA SAN_SAN ANDRES_SAN ANDRES
4,CLINICA MEDILASER S A,COLOMBIA,HUILA,NEIVA,CLINICA MEDILASER S A_HUILA_NEIVA
4,CLINICA MEDILASER LTDA YO CLINICA DE UROLOGIA LTD,COLOMBIA,HUILA,NEIVA,CLINICA MEDILASER LTDA YO CLINICA DE UROLOGIA LTD_HUILA_NEIVA
4,CLINICA SANTA MARIA SAS,COLOMBIA,SUCRE,MORROA,CLINICA SANTA MARIA SAS_SUCRE_MORROA
4,UNIDAD BASICA PUENTE BARCO LEONES ESE IMSALUD,COLOMBIA,NORTE SANTANDER,CUCUTA,UNIDAD BASICA PUENTE BARCO LEONES ESE IMSALUD_NORTE SANTANDER_CUCUTA
3,HOSPITAL SAN VICENTE DE ARAUCA ESE,COLOMBIA,ARAUCA,ARAUCA,HOSPITAL SAN VICENTE DE ARAUCA ESE_ARAUCA_ARAUCA
3,ESE HOSPITAL MANUEL ELKIN PATARROYO,COLOMBIA,BOLIVAR,SANTA ROSA DEL SUR,ESE HOSPITAL MANUEL ELKIN PATARROYO_BOLIVAR_SANTA ROSA DEL SUR
4,UAB PEDRO DE HEREDIA SALUD TOTALEPS CARTAGENA,COLOMBIA,BOLIVAR,CARTAGENA,UAB PEDRO DE HEREDIA SALUD TOTALEPS CARTAGENA_BOLIVAR_CARTAGENA
4,CORPORACION IPS SALUDCOOP,COLOMBIA,NORTE SANTANDER,LOS PATIOS,CORPORACION IPS SALUDCOOP_NORTE SANTANDER_LOS PATIOS
4,CLINICA SALUD SOCIAL SAS,COLOMBIA,SUCRE,SAMPUES,CLINICA SALUD SOCIAL SAS_SUCRE_SAMPUES
4,UUBC SANTA LUCIA SALUD TOTAL EPS CARTAGENA,COLOMBIA,BOLIVAR,CARTAGENA,UUBC SANTA LUCIA SALUD TOTAL EPS CARTAGENA_BOLIVAR_CARTAGENA
3,UNIDAD DE CUIDADOS INTENSIVOS RENACER,COLOMBIA,GUAJIRA,RIOHACHA,UNIDAD DE CUIDADOS INTENSIVOS RENACER_GUAJIRA_RIOHACHA
4,NORTE SALUD,COLOMBIA,NORTE SANTANDER,VILLA DEL ROSARIO,NORTE SALUD_NORTE SANTANDER_VILLA DEL ROSARIO
4,CORPORACION IPS NORTE,COLOMBIA,NORTE SANTANDER,CUCUTA,CORPORACION IPS NORTE_NORTE SANTANDER_CUCUTA
4,CORPORACION IPS NORTE DE SANTANDER CUCUTA ESTE,COLOMBIA,NORTE SANTANDER,CUCUTA,CORPORACION IPS NORTE DE SANTANDER CUCUTA ESTE_NORTE SANTANDER_CUCUTA
4,SOCIEDAD CLINICA IBEROAMERICA SAS,COLOMBIA,ATLANTICO,BARRANQUILLA,SOCIEDAD CLINICA IBEROAMERICA SAS_ATLANTICO_BARRANQUILLA
4,IPS UNIVERSITARIA SEDE PASO BUENA ESPERANZA,COLOMBIA,ATLANTICO,BARRANQUILLA,IPS UNIVERSITARIA SEDE PASO BUENA ESPERANZA_ATLANTICO_BARRANQUILLA
4,CLINICA METROPOLITANA DE COMFANORTE,COLOMBIA,NORTE SANTANDER,CUCUTA,CLINICA METROPOLITANA DE COMFANORTE_NORTE SANTANDER_CUCUTA
4,UPSS CAMU CANTA CLARO - EL AMPARO,COLOMBIA,CORDOBA,MONTERIA,UPSS CAMU CANTA CLARO - EL AMPARO_CORDOBA_MONTERIA
3,CLINICA METROPOLITANA DE COMFANORTE,COLOMBIA,NORTE SANTANDER,CUCUTA,CLINICA METROPOLITANA DE COMFANORTE_NORTE SANTANDER_CUCUTA
3,IPS UNIVERSITARIA SEDE HOSPITAL AMOR DE PATRIA SAN,COLOMBIA,SAN ANDRES,SAN ANDRES,IPS UNIVERSITARIA SEDE HOSPITAL AMOR DE PATRIA SAN_SAN ANDRES_SAN ANDRES
