Estado_final_de_caso,Nom_upgd,Pais_ocurrencia,Departamento_ocurrencia,Municipio_ocurrencia,idx
4,ESE HOSPITAL LOCAL ZONA BANANERA,COLOMBIA,MAGDALENA,ZONA BANANERA,ESE HOSPITAL LOCAL ZONA BANANERA_MAGDALENA_ZONA BANANERA
4,HOSPITAL SAN ROQUE,COLOMBIA,TOLIMA,ALVARADO,HOSPITAL SAN ROQUE_TOLIMA_ALVARADO
4,BIENESTAR IPS SAS PEDRO DE HEREDIA,COLOMBIA,BOLIVAR,CARTAGENA,BIENESTAR IPS SAS PEDRO DE HEREDIA_BOLIVAR_CARTAGENA
4,SINERGIA  SALUD ATENCION BASICA MANGA,COLOMBIA,BOLIVAR,CARTAGENA,SINERGIA  SALUD ATENCION BASICA MANGA_BOLIVAR_CARTAGENA
4,UNIDAD MEDICA CARTAGENA DE INDIAS,COLOMBIA,BOLIVAR,CARTAGENA,UNIDAD MEDICA CARTAGENA DE INDIAS_BOLIVAR_CARTAGENA
4,BATALLON DE FUSILEROS DE INFANTERIA DE MARINA NO,COLOMBIA,BOLIVAR,MAHATES,BATALLON DE FUSILEROS DE INFANTERIA DE MARINA NO_BOLIVAR_MAHATES
4,IPS TOLUSALUD LTDA,COLOMBIA,SUCRE,COVEÑAS,IPS TOLUSALUD LTDA_SUCRE_COVEÑAS
4,ESE HOSPITAL LOCAL SABANAS DE SAN ANGEL,COLOMBIA,MAGDALENA,SABANAS DE SAN ANGEL,ESE HOSPITAL LOCAL SABANAS DE SAN ANGEL_MAGDALENA_SABANAS DE SAN ANGEL
4,SALUD TOTAL EPS,COLOMBIA,HUILA,NEIVA,SALUD TOTAL EPS_HUILA_NEIVA
4,FUNDACION PANZENU,COLOMBIA,CORDOBA,MONTELIBANO,FUNDACION PANZENU_CORDOBA_MONTELIBANO
4,IPS UNIVERSITARIA SEDE HOSPITAL NAZARETH,COLOMBIA,ATLANTICO,BARRANQUILLA,IPS UNIVERSITARIA SEDE HOSPITAL NAZARETH_ATLANTICO_BARRANQUILLA
3,CLINICA ANTIOQUIA SEDE NORTE,COLOMBIA,ATLANTICO,* ATLANTICO. MUNICIPIO DESCONOCIDO,CLINICA ANTIOQUIA SEDE NORTE_ATLANTICO_* ATLANTICO. MUNICIPIO DESCONOCIDO
4,PALMASALUD IPS,COLOMBIA,MAGDALENA,ZONA BANANERA,PALMASALUD IPS_MAGDALENA_ZONA BANANERA
4,FUNDACION SALUD AMOR Y VIDA,COLOMBIA,BOLIVAR,TURBACO,FUNDACION SALUD AMOR Y VIDA_BOLIVAR_TURBACO
3,ESE HOSPITAL MARÍA AUXILIADORA,COLOMBIA,BOLIVAR,CARTAGENA,ESE HOSPITAL MARÍA AUXILIADORA_BOLIVAR_CARTAGENA
4,CENTRO SALUD SAN JOAQUIN,COLOMBIA,BOLIVAR,MAHATES,CENTRO SALUD SAN JOAQUIN_BOLIVAR_MAHATES
4,DASSSALUD SUCRE,COLOMBIA,SUCRE,OVEJAS,DASSSALUD SUCRE_SUCRE_OVEJAS
4,CENTRO DE SALUD DE SAMPUES SUCRE ESE,COLOMBIA,SUCRE,SAMPUES,CENTRO DE SALUD DE SAMPUES SUCRE ESE_SUCRE_SAMPUES
4,IPS UNIVERSITARIA SEDE CAMINO SIMON BOLIVAR,COLOMBIA,ATLANTICO,SOLEDAD,IPS UNIVERSITARIA SEDE CAMINO SIMON BOLIVAR_ATLANTICO_SOLEDAD
4,CLINICA CENTRAL SOMEBA SA,COLOMBIA,ANTIOQUIA,TURBO,CLINICA CENTRAL SOMEBA SA_ANTIOQUIA_TURBO
4,LIBIO CABARCAS LEON,COLOMBIA,BOLIVAR,TURBANA,LIBIO CABARCAS LEON_BOLIVAR_TURBANA
4,ESE CENTRO DE SALUD DE SANTA LUCIA,COLOMBIA,ATLANTICO,SANTA LUCIA,ESE CENTRO DE SALUD DE SANTA LUCIA_ATLANTICO_SANTA LUCIA
4,CORPORACION COSTA IPS EL CARMEN DE BOLIVAR,COLOMBIA,BOLIVAR,EL CARMEN DE BOLIVAR,CORPORACION COSTA IPS EL CARMEN DE BOLIVAR_BOLIVAR_EL CARMEN DE BOLIVAR
4,CENTRO DE DIAGNOSTICO SALUD SOCIAL IPS LTDA,COLOMBIA,BOLIVAR,TURBACO,CENTRO DE DIAGNOSTICO SALUD SOCIAL IPS LTDA_BOLIVAR_TURBACO
4,IPS HOSPITAL SAN MARTIN,COLOMBIA,NORTE SANTANDER,SARDINATA,IPS HOSPITAL SAN MARTIN_NORTE SANTANDER_SARDINATA
4,ESM 1049 BEIM COVEÑAS,COLOMBIA,CORDOBA,LORICA,ESM 1049 BEIM COVEÑAS_CORDOBA_LORICA
4,IPS UNIDAD MEDICA EL BOSQUE SAS,COLOMBIA,SUCRE,SINCELEJO,IPS UNIDAD MEDICA EL BOSQUE SAS_SUCRE_SINCELEJO
3,ESE HOSPITAL ISABEL LA CATOLICA,COLOMBIA,ANTIOQUIA,CACERES,ESE HOSPITAL ISABEL LA CATOLICA_ANTIOQUIA_CACERES
4,EMPRESA SOCIAL DEL ESTADO CLINICA MATERNIDAD RAFAE,COLOMBIA,BOLIVAR,CARTAGENA,EMPRESA SOCIAL DEL ESTADO CLINICA MATERNIDAD RAFAE_BOLIVAR_CARTAGENA
4,ESE HOSPITAL LOCAL MANUELA PABUENA LOBO,COLOMBIA,BOLIVAR,ARENAL,ESE HOSPITAL LOCAL MANUELA PABUENA LOBO_BOLIVAR_ARENAL
4,COORPORACION IPS COSTA ATLANTICA,COLOMBIA,GUAJIRA,RIOHACHA,COORPORACION IPS COSTA ATLANTICA_GUAJIRA_RIOHACHA
