Estado_final_de_caso,Nom_upgd,Pais_ocurrencia,Departamento_ocurrencia,Municipio_ocurrencia,idx
4,ASISTIR SALUD LTDA,COLOMBIA,BOGOTA,BOGOTA,ASISTIR SALUD LTDA_BOGOTA_BOGOTA
4,CENTRO DE ATENCION EN SALUD CAFAM SUBA,COLOMBIA,BOGOTA,BOGOTA,CENTRO DE ATENCION EN SALUD CAFAM SUBA_BOGOTA_BOGOTA
4,VIRREY SOLIS UUBC AMERICAS-PUENTE ARANDA,COLOMBIA,CUNDINAMARCA,MOSQUERA,VIRREY SOLIS UUBC AMERICAS-PUENTE ARANDA_CUNDINAMARCA_MOSQUERA
4,CAJA COMPENSACION FAMILIAR CAFAM FLORESTA,COLOMBIA,BOGOTA,BOGOTA,CAJA COMPENSACION FAMILIAR CAFAM FLORESTA_BOGOTA_BOGOTA
4,IPS VIRREY SOLIS RAFAEL URIBE,COLOMBIA,BOGOTA,BOGOTA,IPS VIRREY SOLIS RAFAEL URIBE_BOGOTA_BOGOTA
4,CENTRO MEDICO COLMEDICA QUINTAPAREDES TEUSAQUIL,COLOMBIA,BOGOTA,BOGOTA,CENTRO MEDICO COLMEDICA QUINTAPAREDES TEUSAQUIL_BOGOTA_BOGOTA
4,UNIDAD MEDICA IPS MARCO FIDEL SUAREZ LTDA RAFEL UR,COLOMBIA,BOGOTA,BOGOTA,UNIDAD MEDICA IPS MARCO FIDEL SUAREZ LTDA RAFEL UR_BOGOTA_BOGOTA
4,SALUD TOTAL S.A ENTIDAD PROMOTORA DE SALUD USAQU,COLOMBIA,BOGOTA,BOGOTA,SALUD TOTAL S.A ENTIDAD PROMOTORA DE SALUD USAQU_BOGOTA_BOGOTA
4,HOSPITAL SANTA CLARA ESE,COLOMBIA,BOGOTA,BOGOTA,HOSPITAL SANTA CLARA ESE_BOGOTA_BOGOTA
4,UNIDAD DE SERVICIOS DE SALUD DE LA UNIVERSIDAD NAC,COLOMBIA,BOGOTA,BOGOTA,UNIDAD DE SERVICIOS DE SALUD DE LA UNIVERSIDAD NAC_BOGOTA_BOGOTA
