Category: All categories

Week,Physician: (Colombia),Hospital: (Colombia),Pharmacy: (Colombia),Symptom: (Colombia)
2023-06-25,18,17,6,28
2023-07-02,18,16,6,27
2023-07-09,18,19,6,27
2023-07-16,17,16,6,26
2023-07-23,18,18,6,26
2023-07-30,17,17,6,25
2023-08-06,20,17,6,27
2023-08-13,18,16,6,25
2023-08-20,17,17,6,25
2023-08-27,18,18,6,26
2023-09-03,18,17,6,25
2023-09-10,18,17,6,24
2023-09-17,17,17,6,25
2023-09-24,17,17,6,25
2023-10-01,17,17,6,24
2023-10-08,16,17,6,24
2023-10-15,18,18,6,24
2023-10-22,18,16,5,25
2023-10-29,16,15,5,21
2023-11-05,16,18,6,24
2023-11-12,15,16,5,26
2023-11-19,15,17,5,23
2023-11-26,17,16,6,25
2023-12-03,23,14,6,24
2023-12-10,14,16,5,26
2023-12-17,11,14,4,24
2023-12-24,12,12,5,25
2023-12-31,13,15,6,25
