Category: All categories

Week,Physician: (Mexico),Hospital: (Mexico),Pharmacy: (Mexico),Symptom: (Mexico)
2023-06-25,17,21,11,37
2023-07-02,16,20,9,35
2023-07-09,16,19,8,32
2023-07-16,17,20,21,35
2023-07-23,17,20,22,33
2023-07-30,16,20,20,34
2023-08-06,18,22,22,35
2023-08-13,18,20,21,33
2023-08-20,16,20,19,32
2023-08-27,16,19,19,33
2023-09-03,17,19,20,33
2023-09-10,17,19,16,33
2023-09-17,17,19,7,34
2023-09-24,17,20,7,34
2023-10-01,17,19,7,32
2023-10-08,17,19,7,32
2023-10-15,20,22,7,33
2023-10-22,34,20,7,31
2023-10-29,15,18,7,29
2023-11-05,17,20,8,33
2023-11-12,16,19,7,31
2023-11-19,15,17,7,30
2023-11-26,16,18,7,32
2023-12-03,15,18,7,31
2023-12-10,13,17,6,30
2023-12-17,12,17,7,32
2023-12-24,12,16,6,31
2023-12-31,14,17,6,31
