"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"06283099999","2021-01-01","52.0666666","6.65","29.0","HUPSEL AWS, NL","  35.2","23","  34.4","23","9999.9"," 0","999.9"," 0","999.9"," 0","  3.2","23","  3.9","  9.7","  39.6","*","  28.6"," "," 0.01","E","999.9","000000"
"06283099999","2021-01-02","52.0666666","6.65","29.0","HUPSEL AWS, NL","  37.0","22","  36.3","22","9999.9"," 0","999.9"," 0","999.9"," 0","  3.7","22","  5.8"," 13.6","  38.3","*","  36.5","*"," 0.01","G","999.9","000000"
"06283099999","2021-01-03","52.0666666","6.65","29.0","HUPSEL AWS, NL","  37.1","23","  34.0","23","9999.9"," 0","999.9"," 0","999.9"," 0","  7.5","23"," 11.7"," 15.5","  38.3","*","  36.0","*"," 0.02","G","999.9","000000"
"06283099999","2021-01-04","52.0666666","6.65","29.0","HUPSEL AWS, NL","  36.3","23","  34.3","23","9999.9"," 0","999.9"," 0","999.9"," 0","  8.4","23"," 13.6"," 19.4","  37.8","*","  35.1","*"," 0.07","G","999.9","000000"
"06283099999","2021-01-05","52.0666666","6.65","29.0","HUPSEL AWS, NL","  36.5","23","  34.4","23","9999.9"," 0","999.9"," 0","999.9"," 0","  6.9","23","  9.7"," 15.5","  38.3","*","  35.1"," "," 0.07","G","999.9","000000"
"06283099999","2021-01-06","52.0666666","6.65","29.0","HUPSEL AWS, NL","  35.1","23","  33.2","22","9999.9"," 0","999.9"," 0","999.9"," 0","  5.7","23","  9.7"," 15.5","  37.6","*","  32.4","*"," 0.01","G","999.9","000000"
"06283099999","2021-01-07","52.0666666","6.65","29.0","HUPSEL AWS, NL","  35.2","23","  34.6","23","9999.9"," 0","999.9"," 0","999.9"," 0","  5.1","23","  7.8"," 11.7","  36.9","*","  32.0"," "," 0.02","G","999.9","000000"
"06283099999","2021-01-08","52.0666666","6.65","29.0","HUPSEL AWS, NL","  34.4","24","  33.4","24","9999.9"," 0","999.9"," 0","999.9"," 0","  3.7","24","  5.8","  9.7","  37.4"," ","  29.8","*"," 0.07","G","999.9","000000"
"06283099999","2021-01-09","52.0666666","6.65","29.0","HUPSEL AWS, NL","  34.3","23","  33.7","23","9999.9"," 0","999.9"," 0","999.9"," 0","  2.6","23","  5.8","999.9","  39.4","*","  28.4"," "," 0.00","G","999.9","000000"
"06283099999","2021-01-10","52.0666666","6.65","29.0","HUPSEL AWS, NL","  34.5","23","  32.5","23","9999.9"," 0","999.9"," 0","999.9"," 0","  4.0","23","  5.8"," 13.6","  39.6","*","  27.5"," "," 0.01","G","999.9","000000"
"06283099999","2021-01-11","52.0666666","6.65","29.0","HUPSEL AWS, NL","  37.5","23","  36.1","23","9999.9"," 0","999.9"," 0","999.9"," 0","  8.9","23"," 11.7"," 19.4","  41.9","*","  34.0"," "," 0.00","G","999.9","000000"
"06283099999","2021-01-12","52.0666666","6.65","29.0","HUPSEL AWS, NL","  40.0","23","  37.4","23","9999.9"," 0","999.9"," 0","999.9"," 0","  8.9","23"," 15.5"," 21.4","  44.6","*","  31.6","*"," 0.37","G","999.9","000000"
"06283099999","2021-01-13","52.0666666","6.65","29.0","HUPSEL AWS, NL","  36.5","23","  33.0","23","9999.9"," 0","999.9"," 0","999.9"," 0","  8.7","23"," 15.5"," 17.5","  41.4","*","  30.2"," "," 0.07","G","999.9","000000"
