date,country,value,model
2022-12-19,Brazil,39284912.73,arima
2022-12-26,Brazil,39561863.01,arima
2023-01-02,Brazil,39838769.05,arima
2023-01-09,Brazil,40115733.74,arima
2023-01-16,Brazil,40392815.58,arima
2023-01-23,Brazil,40670038.15,arima
2023-01-30,Brazil,40947400.18,arima
2023-02-06,Brazil,41224884.75,arima
2023-02-13,Brazil,41502466.96,arima
2023-02-20,Brazil,41780119.75,arima
2023-02-27,Brazil,42057817.79,arima
2023-03-06,Brazil,42335539.77,arima
