date,Dengue,Zika,Chikungunya,Varicela
2007-01-01,,,,
2007-01-08,,,,
2007-01-15,,,,
2007-01-22,,,,
2007-01-29,,,,
2007-02-05,2993.549560546875,,,3333.569091796875
2007-02-12,3318.704833984375,,,3630.10595703125
2007-02-19,3659.351806640625,,,3944.9482421875
2007-02-26,3972.89013671875,,,4270.1748046875
2007-03-05,4286.66748046875,,,4599.25390625
2007-03-12,4579.30517578125,,,4945.76025390625
2007-03-19,4861.919921875,,,5312.62353515625
2007-03-26,5134.3203125,,,5680.53076171875
2007-04-02,5404.255859375,,,6070.18798828125
2007-04-09,5662.90283203125,,,6460.23486328125
2007-04-16,5942.2626953125,,,6907.48193359375
2007-04-23,6222.46337890625,,,7391.69775390625
2007-04-30,6501.25341796875,,,7884.8349609375
2007-05-07,6784.5146484375,,,8394.19921875
2007-05-14,7078.87646484375,,,8903.6611328125
2007-05-21,7411.58837890625,,,9418.4287109375
2007-05-28,7758.91162109375,,,9900.953125
2007-06-04,8098.90234375,,,10266.87109375
2007-06-11,8458.056640625,,,10607.103515625
2007-06-18,8804.9423828125,,,10849.087890625
2007-06-25,9167.3251953125,,,11025.75
2007-07-02,9545.9794921875,,,11280.740234375
2007-07-09,9940.6826171875,,,11631.9775390625
2007-07-16,10360.4296875,,,12042.498046875
2007-07-23,10800.048828125,,,12516.4365234375
2007-07-30,11235.5068359375,,,13036.025390625
2007-08-06,11659.470703125,,,13548.568359375
2007-08-13,12033.2978515625,,,14072.892578125
2007-08-20,12391.5751953125,,,14598.283203125
2007-08-27,12723.5986328125,,,15118.162109375
2007-09-03,13050.197265625,,,15690.9619140625
2007-09-10,13358.4609375,,,16293.4931640625
2007-09-17,13675.8193359375,,,16913.720703125
2007-09-24,14011.298828125,,,17547.9921875
2007-10-01,14367.9267578125,,,18234.298828125
2007-10-08,14723.2470703125,,,18963.7109375
2007-10-15,15059.6787109375,,,19711.998046875
2007-10-22,15375.9814453125,,,20478.33984375
2007-10-29,15701.470703125,,,21277.21484375
2007-11-05,16003.3076171875,,,22036.47265625
2007-11-12,16301.69140625,,,22805.4296875
2007-11-19,16603.642578125,,,23572.8984375
2007-11-26,16924.0546875,,,24357.734375
2007-12-03,17236.869140625,,,25093.556640625
2007-12-10,17540.974609375,,,25803.41796875
2007-12-17,17822.23828125,,,26461.546875
2007-12-24,18061.4375,,,27062.234375
2007-12-31,18295.34765625,,,27603.36328125
2008-01-07,18572.13671875,,,28124.6328125
2008-01-14,18902.015625,,,28703.8828125
2008-01-21,19267.7109375,,,29347.033203125
2008-01-28,19650.326171875,,,30029.6484375
2008-02-04,20041.3984375,,,30761.98828125
2008-02-11,20425.451171875,,,31522.046875
2008-02-18,20810.662109375,,,32280.16796875
2008-02-25,21188.283203125,,,33072.1328125
2008-03-03,21550.775390625,,,33909.67578125
2008-03-10,21901.76953125,,,34805.3046875
2008-03-17,22229.4375,,,35741.06640625
2008-03-24,22542.064453125,,,36645.078125
2008-03-31,22850.181640625,,,37686.09765625
2008-04-07,23175.701171875,,,38754.84765625
2008-04-14,23500.126953125,,,39885.5703125
2008-04-21,23824.1171875,,,41070.22265625
2008-04-28,24138.7265625,,,42310.68359375
2008-05-05,24441.6328125,,,43527.76953125
2008-05-12,24754.08984375,,,44715.58203125
2008-05-19,25064.728515625,,,45983.8203125
2008-05-26,25379.357421875,,,47260.70703125
2008-06-02,25677.474609375,,,48565.75390625
2008-06-09,25989.310546875,,,49859.2421875
2008-06-16,26297.16015625,,,51188.61328125
2008-06-23,26606.580078125,,,52498.875
2008-06-30,26909.884765625,,,53773.21484375
