"date","Dengue","Zika","Chicungunya","Varicela"
2007-01-01,302.977332136846,NA,NA,3.0011168281009e-18
2007-01-08,607.161057089861,NA,NA,1.30665132305447e-17
2007-01-15,912.554537257203,NA,NA,4.68246807866003e-17
2007-01-22,1219.16113121418,NA,NA,1.60045644092729e-16
2007-01-29,1526.98419356588,NA,NA,5.39775571988895e-16
2007-02-05,1836.0270747986,NA,NA,1.81334553579632e-15
2007-02-12,2146.29312113024,NA,NA,6.08475090460347e-15
2007-02-19,2457.78567435946,NA,NA,2.04105471648499e-14
2007-02-26,2770.50807171378,NA,NA,6.84575997786843e-14
2007-03-05,3084.46364569658,NA,NA,2.29601819823375e-13
2007-03-12,3399.6557239329,NA,NA,7.70060770812904e-13
2007-03-19,3716.08762901412,NA,NA,2.58269716337911e-12
2007-03-26,4033.7626783416,NA,NA,8.66206856733074e-12
2007-04-02,4352.68418396908,NA,NA,2.90515723965355e-11
2007-04-09,4672.85545244405,NA,NA,9.74355941608463e-11
2007-04-16,4994.2797846479,NA,NA,3.26787640774338e-10
2007-04-23,5316.960475635,NA,NA,1.09600770020714e-09
2007-04-30,5640.90081447067,NA,NA,3.67588221438989e-09
2007-05-07,5966.10408406796,NA,NA,1.23284809438579e-08
2007-05-14,6292.57356102335,NA,NA,4.13482896057162e-08
2007-05-21,6620.31251545132,NA,NA,1.3867734889777e-07
2007-05-28,6949.3242108178,NA,NA,4.65107681125349e-07
2007-06-04,7279.61190377245,NA,NA,1.55991700706656e-06
2007-06-11,7611.17884397989,NA,NA,5.23178001067156e-06
2007-06-18,7944.02827394975,NA,NA,1.7546780986199e-05
2007-06-25,8278.16342886564,NA,NA,5.88498603408786e-05
2007-07-02,8613.58753641299,NA,NA,0.000197375579274894
2007-07-09,8950.30381660575,NA,NA,0.000661974710671576
2007-07-16,9288.31548161198,NA,NA,0.00222018609573181
2007-07-23,9627.62573557839,NA,NA,0.00744624558774107
2007-07-30,9968.23777445372,NA,NA,0.0249738399337377
2007-08-06,10310.1547858109,NA,NA,0.0837593427932273
2007-08-13,10653.3799486684,NA,NA,0.280918987683547
2007-08-20,10997.9164333102,NA,NA,0.942168502238373
