"date","Dengue","Zika","Chicungunya","Varicela"
2012-10-01,159182.996704977,NA,NA,424635.936085761
2012-10-08,159934.034934508,NA,NA,426660.684347889
2012-10-15,160685.532586717,NA,NA,428687.696187859
2012-10-22,161437.482324633,NA,NA,430716.949786681
2012-10-29,162189.876850533,NA,NA,432748.4231439
2012-11-05,162942.708906013,NA,NA,434782.094078871
2012-11-12,163695.971272057,NA,NA,436817.940232056
2012-11-19,164449.656769102,NA,NA,438855.93906635
2012-11-26,165203.758257104,NA,NA,440896.067868435
2012-12-03,165958.268635597,NA,NA,442938.30375015
2012-12-10,166713.180843753,NA,NA,444982.623649893
2012-12-17,167468.487860435,NA,NA,447029.004334045
2012-12-24,168224.182704256,NA,NA,449077.422398418
2012-12-31,168980.258433626,NA,NA,451127.854269722
2013-01-07,169736.708146799,NA,NA,453180.276207062
2013-01-14,170493.524981925,NA,NA,455234.664303448
2013-01-21,171250.702117088,NA,NA,457290.994487335
2013-01-28,172008.232770348,NA,NA,459349.24252418
2013-02-04,172766.11019978,NA,NA,461409.384018019
2013-02-11,173524.32770351,NA,NA,463471.394413068
2013-02-18,174282.87861975,NA,NA,465535.248995339
2013-02-25,175041.756326824,NA,NA,467600.922894284
2013-03-04,175800.954243201,NA,NA,469668.391084445
2013-03-11,176560.465827521,NA,NA,471737.628387139
2013-03-18,177320.284578614,NA,NA,473808.609472145
2013-03-25,178080.404035527,NA,NA,475881.308859423
2013-04-01,178840.817777538,NA,NA,477955.700920842
2013-04-08,179601.519424175,NA,NA,480031.75988193
2013-04-15,180362.502635227,NA,NA,482109.459823634
2013-04-22,181123.76111076,NA,NA,484188.774684109
2013-04-29,181885.28859112,NA,NA,486269.678260509
2013-05-06,182647.078856946,NA,NA,488352.144210804
2013-05-13,183409.125729168,NA,NA,490436.146055606
2013-05-20,184171.423069014,NA,NA,492521.657180019
2013-05-27,184933.964778008,NA,NA,494608.65083549
2013-06-03,185696.744797964,NA,NA,496697.100141689
2013-06-10,186459.757110987,NA,NA,498786.978088391
2013-06-17,187222.995739461,NA,NA,500878.257537382
2013-06-24,187986.454746039,NA,NA,502970.91122437
2013-07-01,188750.128233635,NA,NA,505064.911760913
2013-07-08,189514.010345408,NA,NA,507160.231636363
2013-07-15,190278.095264743,NA,NA,509256.843219812
2013-07-22,191042.377215235,NA,NA,511354.718762065
2013-07-29,191806.850460669,NA,NA,513453.830397608
2013-08-05,192571.509304994,NA,NA,515554.150146602
2013-08-12,193336.3480923,NA,NA,517655.649916883
2013-08-19,194101.36120679,NA,NA,519758.301505966
2013-08-26,194866.543072749,NA,NA,521862.07660307
2013-09-02,195631.888154514,NA,NA,523966.94679115
2013-09-09,196397.390956442,NA,NA,526072.883548932
2013-09-16,197163.046022869,NA,NA,528179.858252968
2013-09-23,197928.847938076,NA,NA,530287.842179693
2013-09-30,198694.791326247,NA,NA,532396.806507494
2013-10-07,199460.870851428,NA,NA,534506.722318786
2013-10-14,200227.081217482,NA,NA,536617.560602099
2013-10-21,200993.417168044,NA,NA,538729.29225417
2013-10-28,201759.873486472,NA,NA,540841.888082042
2013-11-04,202526.444995797,NA,NA,542955.318805177
2013-11-11,203293.126558669,NA,NA,545069.555057568
2013-11-18,204059.913077307,NA,NA,547184.567389861
2013-11-25,204826.79949344,NA,NA,549300.326271486
2013-12-02,205593.780788249,NA,NA,551416.802092792
2013-12-09,206360.851982308,NA,NA,553533.965167185
2013-12-16,207128.008135525,NA,NA,555651.785733278
2013-12-23,207895.244347073,NA,NA,557770.233957042
2013-12-30,208662.555755328,NA,NA,559889.279933962
2014-01-06,209429.937537802,NA,NA,562008.893691201
2014-01-13,210197.384911074,NA,NA,564129.045189761
2014-01-20,210964.893130718,NA,NA,566249.704326663
2014-01-27,211732.457491231,NA,NA,568370.840937112
2014-02-03,212500.073325959,NA,NA,570492.42479668
2014-02-10,213267.736007022,NA,NA,572614.425623487
2014-02-17,214035.440945234,NA,NA,574736.813080382
2014-02-24,214803.183590026,NA,NA,576859.556777138
2014-03-03,215570.959429364,NA,NA,578982.62627263
2014-03-10,216338.763989667,NA,NA,581105.991077039
2014-03-17,217106.592835721,NA,NA,583229.620654038
2014-03-24,217874.441570594,NA,NA,585353.484422988
2014-03-31,218642.305835552,NA,NA,587477.55176114
2014-04-07,219410.181309964,NA,NA,589601.792005827
2014-04-14,220178.063711215,NA,NA,591726.174456665
2014-04-21,220945.948794614,NA,NA,593850.668377754
2014-04-28,221713.832353299,NA,NA,595975.242999875
2014-05-05,222481.710218143,NA,NA,598099.867522689
2014-05-12,223249.578257657,NA,NA,600224.511116939
2014-05-19,224017.432377893,NA,NA,602349.142926648
2014-05-26,224785.268522344,NA,22.8205668905189,604473.732071315
2014-06-02,225553.08267184,NA,68.5455945081537,606598.247648112
2014-06-09,226320.870844453,NA,133.814509989301,608722.658734081
2014-06-16,227088.629095386,NA,219.05456301159,610846.934388327
2014-06-23,227856.353516874,NA,325.675540858237,612971.043654208
2014-06-30,228624.040238073,NA,455.639262354606,615094.955561528
2014-07-07,229391.685424955,NA,611.319081957584,617218.639128722
2014-07-14,230159.2852802,NA,795.44059403149,619342.06336504
2014-07-21,230926.836043084,NA,1011.05047157914,621465.197272731
2014-07-28,231694.333989368,NA,1261.49425772186,623588.009849218
