date,dengue_no_split,zika,varicela,chicunguya
7/20/2009,59617.22773,,106588.0611,
7/27/2009,60125.50105,,107772.7783,
8/3/2009,60634.83492,,108964.3911,
8/10/2009,61145.2295,,110162.9208,
8/17/2009,61656.68494,,111368.3885,
8/24/2009,62169.20141,,112580.8152,
8/31/2009,62682.77902,,113800.2217,
9/7/2009,63197.41791,,115026.6285,
9/14/2009,63713.11817,,116260.0559,
9/21/2009,64229.87991,,117500.5239,
9/28/2009,64747.7032,,118748.0525,
10/5/2009,65266.58811,,120002.6612,
10/12/2009,65786.53471,,121264.3696,
10/19/2009,66307.54304,,122533.1966,
10/26/2009,66829.61312,,123809.1612,
11/2/2009,67352.74497,,125092.282,
11/9/2009,67876.9386,,126382.5774,
11/16/2009,68402.19401,,127680.0656,
11/23/2009,68928.51118,,128984.7643,
11/30/2009,69455.89006,,130296.6913,
12/7/2009,69984.33062,,131615.8637,
12/14/2009,70513.83278,,132942.2986,
12/21/2009,71044.39648,,134276.0129,
1/4/2010,71576.02163,,135617.0228,
1/11/2010,72108.70813,,136965.3446,
1/18/2010,72642.45586,,138320.9941,
1/25/2010,73177.2647,,139683.987,
2/1/2010,73713.1345,,141054.3384,
2/8/2010,74250.0651,,142432.0632,
2/15/2010,74788.05636,,143817.1762,
2/22/2010,75327.10806,,145209.6915,
3/1/2010,75867.22004,,146609.6231,
3/8/2010,76408.39206,,148016.9847,
3/15/2010,76950.62391,,149431.7896,
3/22/2010,77493.91535,,150854.0507,
3/29/2010,78038.26612,,152283.7805,
4/5/2010,78583.67597,,153720.9913,
4/12/2010,79130.1446,,155165.6951,
4/19/2010,79677.67173,,156617.9033,
4/26/2010,80226.25704,,158077.627,
5/3/2010,80775.90022,,159544.8772,
5/10/2010,81326.60093,,161019.664,
5/17/2010,81878.35882,,162501.9976,
5/24/2010,82431.17352,,163991.8876,
5/31/2010,82985.04464,,165489.3432,
6/7/2010,83539.9718,,166994.3732,
6/14/2010,84095.95459,,168506.9862,
6/21/2010,84652.99258,,170027.19,
6/28/2010,85211.08532,,171554.9923,
7/5/2010,85770.23238,,173090.4003,
7/12/2010,86330.43328,,174633.4208,
7/19/2010,86891.68753,,176184.06,
7/26/2010,87453.99464,,177742.324,
8/2/2010,88017.35412,,179308.2181,
8/9/2010,88581.76541,,180881.7474,
8/16/2010,89147.22798,,182462.9165,
8/23/2010,89713.74128,,184051.7295,
8/30/2010,90281.30473,,185648.19,
9/6/2010,90849.91773,,187252.3013,
9/13/2010,91419.5797,,188864.066,
9/20/2010,91990.29001,,190483.4864,
9/27/2010,92562.04803,,192110.5643,
10/4/2010,93134.85311,,193745.301,
10/11/2010,93708.70458,,195387.6975,
10/18/2010,94283.60177,,197037.7539,
10/25/2010,94859.54398,,198695.4704,
11/1/2010,95436.53051,,200360.8463,
11/8/2010,96014.56065,,202033.8803,
11/15/2010,96593.63363,,203714.5707,
11/22/2010,97173.74871,,205402.9153,
11/29/2010,97754.90512,,207098.9113,
12/6/2010,98337.10206,,208802.5555,
12/13/2010,98920.33873,,210513.8442,
12/20/2010,99504.61431,,212232.7731,
12/27/2010,100089.928,,213959.3373,
1/3/2011,100676.2789,,215693.5315,
1/10/2011,101263.6661,,217435.35,
1/17/2011,101852.0889,,219184.7861,
1/24/2011,102441.5462,,220941.833,
1/31/2011,103032.0372,,222706.483,
2/7/2011,103623.5609,,224478.7282,
2/14/2011,104216.1165,,226258.5597,
2/21/2011,104809.7029,,228045.9684,
2/28/2011,105404.3191,,229840.9445,
3/7/2011,105999.9642,,231643.4775,
3/14/2011,106596.6372,,233453.5565,
3/21/2011,107194.337,,235271.1701,
3/28/2011,107793.0626,,237096.3059,
4/4/2011,108392.8129,,238928.9513,
4/11/2011,108993.5868,,240769.0931,
4/18/2011,109595.3834,,242616.7172,
4/25/2011,110198.2014,,244471.8091,
5/2/2011,110802.0397,,246334.3539,
5/9/2011,111406.8972,,248204.3357,
5/16/2011,112012.7728,,250081.7384,
5/23/2011,112619.6652,,251966.5448,
5/30/2011,113227.5733,,253858.7376,
6/6/2011,113836.4959,,255758.2985,
6/13/2011,114446.4318,,257665.2088,
6/20/2011,115057.3796,,259579.4491,
6/27/2011,115669.3383,,261500.9993,
7/4/2011,116282.3063,,263429.8388,
7/11/2011,116896.2826,,265365.9462,
7/18/2011,117511.2658,,267309.2997,
7/25/2011,118127.2546,,269259.8767,
8/1/2011,118744.2475,,271217.6541,
8/8/2011,119362.2434,,273182.608,
8/15/2011,119981.2408,,275154.7139,
8/22/2011,120601.2383,,277133.9467,
8/29/2011,121222.2345,,279120.2807,
9/5/2011,121844.228,,281113.6895,
9/12/2011,122467.2173,,283114.1461,
9/19/2011,123091.2011,,285121.6228,
9/26/2011,123716.1777,,287136.0912,
10/3/2011,124342.1458,,289157.5224,
10/10/2011,124969.1038,,291185.8867,
10/17/2011,125597.0502,,293221.1539,
10/24/2011,126225.9835,,295263.293,
10/31/2011,126855.902,,297312.2725,
11/7/2011,127486.8043,,299368.0601,
11/14/2011,128118.6888,,301430.6228,
11/21/2011,128751.5537,,303499.9272,
11/28/2011,129385.3976,,305575.939,
12/5/2011,130020.2188,,307658.6234,
12/12/2011,130656.0155,,309747.9448,
12/19/2011,131292.7861,,311843.8671,
12/26/2011,131930.529,,313946.3534,
1/2/2012,132569.2424,,316055.3661,
1/9/2012,133208.9246,,318170.8673,
1/16/2012,133849.5738,,320292.8181,
1/23/2012,134491.1882,,322421.179,
1/30/2012,135133.7662,,324555.9099,
2/6/2012,135777.3059,,326696.9701,
2/13/2012,136421.8055,,328844.3181,
2/20/2012,137067.2631,,330997.912,
2/27/2012,137713.677,,333157.709,
3/5/2012,138361.0452,,335323.6657,
3/12/2012,139009.3658,,337495.7381,
3/19/2012,139658.637,,339673.8817,
3/26/2012,140308.8568,,341858.0511,
4/2/2012,140960.0234,,344048.2005,
4/9/2012,141612.1346,,346244.2833,
4/16/2012,142265.1887,,348446.2522,
4/23/2012,142919.1835,,350654.0594,
4/30/2012,143574.1171,,352867.6566,
5/7/2012,144229.9875,,355086.9947,
5/14/2012,144886.7927,,357312.0238,
5/21/2012,145544.5305,,359542.6938,
5/28/2012,146203.1989,,361778.9535,
6/4/2012,146862.7958,,364020.7517,
6/11/2012,147523.3191,,366268.036,
6/18/2012,148184.7667,,368520.7537,
6/25/2012,148847.1364,,370778.8514,
7/2/2012,149510.426,,373042.275,
7/9/2012,150174.6335,,375310.9699,
7/16/2012,150839.7566,,377584.881,
7/23/2012,151505.793,,379863.9528,
7/30/2012,152172.7405,,382148.1286,
8/6/2012,152840.597,,384437.3517,
8/13/2012,153509.3602,,386731.5644,
8/20/2012,154179.0277,,389030.7086,
8/27/2012,154849.5973,,391334.7256,
9/3/2012,155521.0666,,393643.5564,
9/10/2012,156193.4333,,395957.1413,
9/17/2012,156866.6952,,398275.4198,
9/24/2012,157540.8497,,400598.3312,
10/1/2012,158215.8945,,402925.8138,
10/8/2012,158891.8272,,405257.8059,
10/15/2012,159568.6454,,407594.2448,
10/22/2012,160246.3466,,409935.0678,
10/29/2012,160924.9284,,412280.2114,
11/5/2012,161604.3884,,414629.6115,
11/12/2012,162284.724,,416983.2035,
11/19/2012,162965.9328,,419340.9224,
11/26/2012,163648.0121,,421702.7026,
12/3/2012,164330.9596,,424068.4781,
12/10/2012,165014.7725,,426438.1828,
12/17/2012,165699.4484,,428811.7495,
12/24/2012,166384.9847,,431189.1107,
12/31/2012,167071.3787,,433570.1987,
1/7/2013,167758.6278,,435954.9449,
1/14/2013,168446.7293,,438343.2807,
1/21/2013,169135.6807,,440735.137,
1/28/2013,169825.4792,,443130.4442,
2/4/2013,170516.1221,,445529.1321,
2/11/2013,171207.6068,,447931.1303,
2/18/2013,171899.9305,,450336.3678,
2/25/2013,172593.0905,,452744.7734,
3/4/2013,173287.084,,455156.2754,
3/11/2013,173981.9082,,457570.802,
3/18/2013,174677.5603,,459988.2805,
3/25/2013,175374.0375,,462408.6383,
4/1/2013,176071.3371,,464831.8022,
4/8/2013,176769.456,,467257.6987,
4/15/2013,177468.3916,,469686.2541,
4/22/2013,178168.1408,,472117.3941,
4/29/2013,178868.7008,,474551.0444,
5/6/2013,179570.0688,,476987.13,
5/13/2013,180272.2417,,479425.5761,
5/20/2013,180975.2166,,481866.3071,
5/27/2013,181678.9906,,484309.2474,
6/3/2013,182383.5607,,486754.3211,
6/10/2013,183088.9239,,489201.4519,
6/17/2013,183795.0771,,491650.5635,
6/24/2013,184502.0174,,494101.579,
7/1/2013,185209.7417,,496554.4216,
7/8/2013,185918.247,,499009.0141,
7/15/2013,186627.5301,,501465.279,
7/22/2013,187337.5879,,503923.1388,
7/29/2013,188048.4175,,506382.5156,
8/5/2013,188760.0155,,508843.3314,
8/12/2013,189472.3789,,511305.5082,
8/19/2013,190185.5047,,513768.9674,
8/26/2013,190899.3894,,516233.6306,
9/2/2013,191614.0301,,518699.4191,
9/9/2013,192329.4234,,521166.2542,
9/16/2013,193045.5662,,523634.0569,
9/23/2013,193762.4552,,526102.7481,
9/30/2013,194480.0871,,528572.2488,
10/7/2013,195198.4587,,531042.4797,
10/14/2013,195917.5667,,533513.3614,
10/21/2013,196637.4078,,535984.8144,
10/28/2013,197357.9787,,538456.7592,
11/4/2013,198079.276,,540929.1163,
11/11/2013,198801.2964,,543401.806,
11/18/2013,199524.0365,,545874.7487,
11/25/2013,200247.493,,548347.8647,
12/2/2013,200971.6625,,550821.0744,
12/9/2013,201696.5416,,553294.298,
12/16/2013,202422.1267,,555767.4558,
12/23/2013,203148.4146,,558240.4682,
12/30/2013,203875.4016,,560713.2555,
1/6/2014,204603.0844,,563185.7378,
1/13/2014,205331.4595,,565657.836,
1/20/2014,206060.5234,,568129.4702,
1/27/2014,206790.2724,,570600.5609,
2/3/2014,207520.7032,,573071.0288,
2/10/2014,208251.8122,,575540.7946,
