country,year,population
Panama,2020,4267228
Panama,2021,4319294
Panama,2022,4371516
Panama,2023,4430030
South America,2020,425034708
South America,2021,427392324
South America,2022,429270422
South America,2023,431715134
Argentina,2020,45116150
Argentina,2021,45267779
Argentina,2022,45356784
Argentina,2023,45459024
Bolivia (Plurinational State of),2020,11752693
Bolivia (Plurinational State of),2021,11879906
Bolivia (Plurinational State of),2022,11994813
Bolivia (Plurinational State of),2023,12159495
Brazil,2020,208126926
Brazil,2021,209194759
Brazil,2022,209905829
Brazil,2023,210707000
Chile,2020,19331414
Chile,2021,19409834
Chile,2022,19502834
Chile,2023,19603239
Colombia,2020,50326931
Colombia,2021,50933064
Colombia,2022,51443283
Colombia,2023,52032604
Ecuador,2020,17473005
Ecuador,2021,17619124
Ecuador,2022,17745785
Ecuador,2023,17902009
Falkland Islands (Malvinas),2020,3512
Falkland Islands (Malvinas),2021,3499
Falkland Islands (Malvinas),2022,3497
Falkland Islands (Malvinas),2023,3483
French Guiana,2020,287849
French Guiana,2021,290262
French Guiana,2022,295769
French Guiana,2023,300843
Guyana,2020,803199
Guyana,2021,811764
Guyana,2022,819200
Guyana,2023,824074
Paraguay,2020,6558517
Paraguay,2021,6648962
Paraguay,2022,6719402
Paraguay,2023,6801526
Peru,2020,32659927
Peru,2021,33017232
Peru,2022,33294532
Peru,2023,33656344
Suriname,2020,609141
Suriname,2021,615492
Suriname,2022,620300
Suriname,2023,626028
Uruguay,2020,3397691
Uruguay,2021,3400245
Uruguay,2022,3393144
Uruguay,2023,3388682
Venezuela (Bolivarian Republic of),2020,28587753
Venezuela (Bolivarian Republic of),2021,28300402
Venezuela (Bolivarian Republic of),2022,28175250
Venezuela (Bolivarian Republic of),2023,28250783
Northern America,2020,377287098
Northern America,2021,378181600
Northern America,2022,379302333
Northern America,2023,381661218
Bermuda,2020,64241
Bermuda,2021,64523
Bermuda,2022,64773
Bermuda,2023,64724
Canada,2020,38018483
Canada,2021,38325321
Canada,2022,38582793
Canada,2023,39059725
Greenland,2020,56095
Greenland,2021,56064
Greenland,2022,56019
Greenland,2023,55962
Saint Pierre and Miquelon,2020,5851
Saint Pierre and Miquelon,2021,5803
Saint Pierre and Miquelon,2022,5755
Saint Pierre and Miquelon,2023,5709
United States of America,2020,339142428
United States of America,2021,339729889
United States of America,2022,340592993
United States of America,2023,342475098
Oceania,2020,43840557
Oceania,2021,44317391
Oceania,2022,44799032
Oceania,2023,45299668
Australia/New Zealand,2020,30692423
Australia/New Zealand,2021,30934949
Australia/New Zealand,2022,31193279
Australia/New Zealand,2023,31472159
Australia,2020,25655914
Australia,2021,25831668
Australia,2022,26081167
Australia,2023,26320802
New Zealand,2020,5036509
New Zealand,2021,5103281
New Zealand,2022,5112112
New Zealand,2023,5151357
Melanesia,2020,11943945
Melanesia,2021,12172538
Melanesia,2022,12394024
Melanesia,2023,12613630
Fiji,2020,913601
Fiji,2021,916325
Fiji,2022,917097
Fiji,2023,921747
New Caledonia,2020,283701
New Caledonia,2021,284652
New Caledonia,2022,285776
New Caledonia,2023,288470
Papua New Guinea,2020,9715829
Papua New Guinea,2021,9915662
Papua New Guinea,2022,10110130
Papua New Guinea,2023,10296209
Solomon Islands,2020,735473
Solomon Islands,2021,753523
Solomon Islands,2022,771660
Solomon Islands,2023,790472
Vanuatu,2020,295341
Vanuatu,2021,302376
Vanuatu,2022,309361
Vanuatu,2023,316732
Micronesia,2020,517059
Micronesia,2021,520627
Micronesia,2022,522511
Micronesia,2023,524443
Guam,2020,161358
Guam,2021,162958
Guam,2022,164502
Guam,2023,165858
Kiribati,2020,124847
Kiribati,2021,127351
Kiribati,2022,129403
Kiribati,2023,131534
Marshall Islands,2020,43361
Marshall Islands,2021,42052
Marshall Islands,2022,40682
Marshall Islands,2023,39472
Micronesia (Fed. States of),2020,110443
Micronesia (Fed. States of),2021,111390
Micronesia (Fed. States of),2022,111859
Micronesia (Fed. States of),2023,112368
Nauru,2020,11626
Nauru,2021,11660
Nauru,2022,11757
Nauru,2023,11845
Northern Mariana Islands,2020,47636
Northern Mariana Islands,2021,47420
Northern Mariana Islands,2022,46538
Northern Mariana Islands,2023,45618
Palau,2020,17788
Palau,2021,17796
Palau,2022,17770
Palau,2023,17748
Polynesia,2020,687130
Polynesia,2021,689277
Polynesia,2022,689218
Polynesia,2023,689436
American Samoa,2020,49855
American Samoa,2021,49668
American Samoa,2022,48782
American Samoa,2023,47901
Cook Islands,2020,15892
Cook Islands,2021,15395
Cook Islands,2022,14970
Cook Islands,2023,14477
French Polynesia,2020,278819
French Polynesia,2021,279599
French Polynesia,2022,279985
French Polynesia,2023,280771
Niue,2020,1793
Niue,2021,1804
Niue,2022,1823
Niue,2023,1820
Samoa,2020,210867
Samoa,2021,213021
Samoa,2022,214537
Samoa,2023,215984
Tokelau,2020,2084
Tokelau,2021,2172
Tokelau,2022,2238
Tokelau,2023,2342
Tonga,2020,105696
Tonga,2021,105711
Tonga,2022,105268
Tonga,2023,104816
Tuvalu,2020,10492
Tuvalu,2021,10307
Tuvalu,2022,10080
Tuvalu,2023,9904
Wallis and Futuna Islands,2020,11632
Wallis and Futuna Islands,2021,11600
Wallis and Futuna Islands,2022,11535
Wallis and Futuna Islands,2023,11421
