SEMANA,ANO,country,state,city,count,idx_city,Latitude,Longitude,date,week
1,2007,colombia,magdalena,cienaga,2,COLOMBIA_MAGDALENA_CIENAGA,11.0062433,-74.241022,2007-01-07,07-01-2007
1,2007,colombia,magdalena,santa martha,3,COLOMBIA_MAGDALENA_SANTA MARTHA,11.1486749,-74.11324,2007-01-07,07-01-2007
1,2007,colombia,meta,acacias,2,COLOMBIA_META_ACACIAS,3.9887317,-73.767432,2007-01-07,07-01-2007
1,2007,colombia,meta,el castillo,1,COLOMBIA_META_EL CASTILLO,3.5647959,-73.7942913,2007-01-07,07-01-2007
1,2007,colombia,meta,puerto lopez,2,COLOMBIA_META_PUERTO LOPEZ,4.0891674,-72.96059024775572,2007-01-07,07-01-2007
1,2007,colombia,meta,restrepo,1,COLOMBIA_META_RESTREPO,4.2597265,-73.5654839,2007-01-07,07-01-2007
1,2007,colombia,meta,villavicencio,9,COLOMBIA_META_VILLAVICENCIO,4.1347644,-73.6201517,2007-01-07,07-01-2007
1,2007,colombia,norte santander,norte de santander municipio desconocido,1,COLOMBIA_NORTE SANTANDER_* NORTE DE SANTANDER. MUNICIPIO DESCONOCIDO,,,2007-01-07,07-01-2007
1,2007,colombia,norte santander,convencion,1,COLOMBIA_NORTE SANTANDER_CONVENCION,8.4662543,-73.3362193,2007-01-07,07-01-2007
1,2007,colombia,norte santander,cucuta,47,COLOMBIA_NORTE SANTANDER_CUCUTA,8.131792075077092,-72.8867588702224,2007-01-07,07-01-2007
1,2007,colombia,norte santander,el zulia,1,COLOMBIA_NORTE SANTANDER_EL ZULIA,8.09548865,-72.64637754651707,2007-01-07,07-01-2007
1,2007,colombia,norte santander,los patios,2,COLOMBIA_NORTE SANTANDER_LOS PATIOS,7.8342202,-72.5059128,2007-01-07,07-01-2007
1,2007,colombia,norte santander,ocana,1,COLOMBIA_NORTE SANTANDER_OCAÑA,8.107919522660925,-72.8069503250875,2007-01-07,07-01-2007
1,2007,colombia,norte santander,pamplona,2,COLOMBIA_NORTE SANTANDER_PAMPLONA,7.3763807,-72.6482628,2007-01-07,07-01-2007
1,2007,colombia,norte santander,salazar,1,COLOMBIA_NORTE SANTANDER_SALAZAR,7.7849895,-72.8446027746108,2007-01-07,07-01-2007
1,2007,colombia,norte santander,tibu,1,COLOMBIA_NORTE SANTANDER_TIBU,8.6371362,-72.7344612,2007-01-07,07-01-2007
1,2007,colombia,norte santander,villa del rosario,3,COLOMBIA_NORTE SANTANDER_VILLA DEL ROSARIO,7.8318933,-72.4717181,2007-01-07,07-01-2007
1,2007,colombia,procedencia desconocida,procedencia desconocida,4,COLOMBIA_PROCEDENCIA DESCONOCIDA_* PROCEDENCIA DESCONOCIDA,,,2007-01-07,07-01-2007
