SEMANA,ANO,Casos,DATE
35,2010,1634,2010-08-30
36,2010,1712,2010-09-06
37,2010,1811,2010-09-13
38,2010,1833,2010-09-20
39,2010,1936,2010-09-27
40,2010,2088,2010-10-04
41,2010,1993,2010-10-11
42,2010,2310,2010-10-18
43,2010,1747,2010-10-25
44,2010,2446,2010-11-01
45,2010,1944,2010-11-08
46,2010,1973,2010-11-15
47,2010,1877,2010-11-22
48,2010,1608,2010-11-29
49,2010,1724,2010-12-06
50,2010,1498,2010-12-13
51,2010,1399,2010-12-20
52,2010,851,2010-12-27
1,2011,1666,2011-01-03
2,2011,1509,2011-01-10
3,2011,1646,2011-01-17
4,2011,1496,2011-01-24
5,2011,1505,2011-01-31
6,2011,1617,2011-02-07
7,2011,1573,2011-02-14
8,2011,1888,2011-02-21
9,2011,1770,2011-02-28
10,2011,2147,2011-03-07
11,2011,2078,2011-03-14
12,2011,2448,2011-03-21
13,2011,2335,2011-03-28
14,2011,2447,2011-04-04
15,2011,2131,2011-04-11
16,2011,2029,2011-04-18
17,2011,2594,2011-04-25
18,2011,2366,2011-05-02
19,2011,2754,2011-05-09
20,2011,2289,2011-05-16
21,2011,2460,2011-05-23
22,2011,2566,2011-05-30
23,2011,2228,2011-06-06
24,2011,2325,2011-06-13
25,2011,1840,2011-06-20
26,2011,2167,2011-06-27
27,2011,2158,2011-07-04
28,2011,2451,2011-07-11
29,2011,2021,2011-07-18
30,2011,2337,2011-07-25
31,2011,2230,2011-08-01
32,2011,2339,2011-08-08
33,2011,2554,2011-08-15
34,2011,2633,2011-08-22
35,2011,2944,2011-08-29
36,2011,2969,2011-09-05
37,2011,3265,2011-09-12
38,2011,3329,2011-09-19
39,2011,3349,2011-09-26
40,2011,3089,2011-10-03
41,2011,3109,2011-10-10
42,2011,3307,2011-10-17
43,2011,2812,2011-10-24
44,2011,3284,2011-10-31
45,2011,2957,2011-11-07
46,2011,2828,2011-11-14
47,2011,2483,2011-11-21
48,2011,2332,2011-11-28
49,2011,1982,2011-12-05
50,2011,1775,2011-12-12
51,2011,1614,2011-12-19
52,2011,1270,2011-12-26
1,2012,2095,2012-01-02
2,2012,1531,2012-01-09
3,2012,1677,2012-01-16
4,2012,1512,2012-01-23
5,2012,1608,2012-01-30
6,2012,1512,2012-02-06
7,2012,1553,2012-02-13
8,2012,1643,2012-02-20
9,2012,1653,2012-02-27
10,2012,1844,2012-03-05
11,2012,1852,2012-03-12
