country,date,pop_vaccinated
Brazil,2019-12-30,0.0
Brazil,2020-01-06,0.0
Brazil,2020-01-13,0.0
Brazil,2020-01-20,0.0
Brazil,2020-01-27,0.0
Brazil,2020-02-03,0.0
Brazil,2020-02-10,0.0
Brazil,2020-02-17,0.0
Brazil,2020-02-24,0.0
Brazil,2020-03-02,0.0
Brazil,2020-03-09,0.0
Brazil,2020-03-16,0.0
Brazil,2020-03-23,0.0
Brazil,2020-03-30,0.0
Brazil,2020-04-06,0.0
Brazil,2020-04-13,0.0
Brazil,2020-04-20,0.0
Brazil,2020-04-27,0.0
Brazil,2020-05-04,0.0
Brazil,2020-05-11,0.0
Brazil,2020-05-18,0.0
Brazil,2020-05-25,0.0
Brazil,2020-06-01,0.0
Brazil,2020-06-08,0.0
Brazil,2020-06-15,0.0
Brazil,2020-06-22,0.0
Brazil,2020-06-29,0.0
Brazil,2020-07-06,0.0
Brazil,2020-07-13,0.0
Brazil,2020-07-20,0.0
Brazil,2020-07-27,0.0
Brazil,2020-08-03,0.0
Brazil,2020-08-10,0.0
Brazil,2020-08-17,0.0
Brazil,2020-08-24,0.0
Brazil,2020-08-31,0.0
Brazil,2020-09-07,0.0
Brazil,2020-09-14,0.0
Brazil,2020-09-21,0.0
Brazil,2020-09-28,0.0
Brazil,2020-10-05,0.0
Brazil,2020-10-12,0.0
Brazil,2020-10-19,0.0
Brazil,2020-10-26,0.0
Brazil,2020-11-02,0.0
Brazil,2020-11-09,0.0
Brazil,2020-11-16,0.0
Brazil,2020-11-23,0.0
Brazil,2020-11-30,0.0
Brazil,2020-12-07,0.0
Brazil,2020-12-14,0.0
Brazil,2020-12-21,0.0
Brazil,2020-12-28,0.0
Brazil,2021-01-04,0.0
Brazil,2021-01-11,0.0
Brazil,2021-01-18,0.0
Brazil,2021-01-25,0.0
Brazil,2021-02-01,0.002857142857142857
Brazil,2021-02-08,0.05714285714285715
Brazil,2021-02-15,0.3871428571428571
Brazil,2021-02-22,0.7842857142857144
Brazil,2021-03-01,1.1300000000000001
Brazil,2021-03-08,1.52
Brazil,2021-03-15,1.8457142857142856
Brazil,2021-03-22,2.097142857142857
Brazil,2021-03-29,2.3985714285714286
Brazil,2021-04-05,2.98
Brazil,2021-04-12,3.994285714285714
Brazil,2021-04-19,5.354285714285714
Brazil,2021-04-26,6.927142857142857
Brazil,2021-05-03,8.0
Brazil,2021-05-10,8.707142857142857
Brazil,2021-05-17,9.362857142857143
Brazil,2021-05-24,10.11
Brazil,2021-05-31,10.605714285714285
Brazil,2021-06-07,10.971428571428572
Brazil,2021-06-14,11.254285714285714
Brazil,2021-06-21,11.672857142857143
Brazil,2021-06-28,12.471428571428572
Brazil,2021-07-05,13.642857142857142
Brazil,2021-07-12,15.180000000000001
Brazil,2021-07-19,16.861428571428572
Brazil,2021-07-26,18.648571428571426
Brazil,2021-08-02,20.514285714285712
Brazil,2021-08-09,22.40285714285714
Brazil,2021-08-16,24.775714285714287
Brazil,2021-08-23,27.23428571428571
Brazil,2021-08-30,30.02857142857143
Brazil,2021-09-06,32.778571428571425
Brazil,2021-09-13,36.19
Brazil,2021-09-20,39.29714285714285
Brazil,2021-09-27,42.362857142857145
Brazil,2021-10-04,45.14142857142857
Brazil,2021-10-11,47.50571428571429
Brazil,2021-10-18,50.14142857142857
Brazil,2021-10-25,53.07714285714286
Brazil,2021-11-01,54.832857142857144
Brazil,2021-11-08,57.27571428571429
Brazil,2021-11-15,59.21
Brazil,2021-11-22,61.12285714285714
Brazil,2021-11-29,62.83571428571429
Brazil,2021-12-06,64.39571428571428
Brazil,2021-12-13,65.44571428571429
Brazil,2021-12-20,66.05285714285715
Brazil,2021-12-27,66.53285714285714
Brazil,2022-01-03,66.83714285714285
Brazil,2022-01-10,67.47571428571429
Brazil,2022-01-17,68.73
Brazil,2022-01-24,69.41285714285713
Brazil,2022-01-31,69.86714285714285
Brazil,2022-02-07,70.47285714285714
Brazil,2022-02-14,71.05571428571429
Brazil,2022-02-21,71.64
Brazil,2022-02-28,72.15857142857143
Brazil,2022-03-07,72.87285714285714
Brazil,2022-03-14,73.57428571428571
Brazil,2022-03-21,74.08
Brazil,2022-03-28,74.57142857142857
Brazil,2022-04-04,75.04857142857144
Brazil,2022-04-11,75.42
Brazil,2022-04-18,75.75428571428571
Brazil,2022-04-25,76.04857142857144
Brazil,2022-05-02,76.36285714285714
Brazil,2022-05-09,76.63428571428571
Brazil,2022-05-16,76.8157142857143
Brazil,2022-05-23,76.98714285714286
Brazil,2022-05-30,77.21285714285715
Brazil,2022-06-06,77.73714285714286
Brazil,2022-06-13,78.11285714285714
Brazil,2022-06-20,78.25857142857144
Brazil,2022-06-27,78.44714285714285
Brazil,2022-07-04,78.63285714285715
Brazil,2022-07-11,78.75428571428571
Brazil,2022-07-18,78.84142857142857
Brazil,2022-07-25,79.03
Brazil,2022-08-01,79.03
Brazil,2022-08-08,79.42142857142858
Brazil,2022-08-15,79.53142857142858
Brazil,2022-08-22,79.61
Brazil,2022-08-29,79.74142857142859
Brazil,2022-09-05,79.80571428571429
Brazil,2022-09-12,79.88428571428572
Brazil,2022-09-19,79.95428571428572
Brazil,2022-09-26,80.00428571428571
Brazil,2022-10-03,80.01857142857143
Brazil,2022-10-10,80.03
Brazil,2022-10-17,80.03857142857143
Brazil,2022-10-24,80.04
Brazil,2022-10-31,80.04
Brazil,2022-11-07,80.04428571428572
Brazil,2022-11-14,80.15714285714286
Brazil,2022-11-21,80.2
Brazil,2022-11-28,80.72285714285714
