country,date,restrictions_index
Brazil,2019-12-30,0.0
Brazil,2020-01-06,0.0
Brazil,2020-01-13,0.0
Brazil,2020-01-20,0.0
Brazil,2020-01-27,3.971428571428571
Brazil,2020-02-03,5.56
Brazil,2020-02-10,5.56
Brazil,2020-02-17,5.56
Brazil,2020-02-24,5.56
Brazil,2020-03-02,11.11
Brazil,2020-03-09,26.321428571428573
Brazil,2020-03-16,62.36714285714286
Brazil,2020-03-23,72.95142857142858
Brazil,2020-03-30,74.54
Brazil,2020-04-06,74.54
Brazil,2020-04-13,74.54
Brazil,2020-04-20,74.9357142857143
Brazil,2020-04-27,77.31000000000002
Brazil,2020-05-04,80.49
Brazil,2020-05-11,81.02
Brazil,2020-05-18,81.02
Brazil,2020-05-25,81.02
Brazil,2020-06-01,77.31000000000002
Brazil,2020-06-08,77.31000000000002
Brazil,2020-06-15,77.31000000000002
Brazil,2020-06-22,77.31000000000002
Brazil,2020-06-29,78.89999999999999
Brazil,2020-07-06,81.02
Brazil,2020-07-13,81.02
Brazil,2020-07-20,81.02
Brazil,2020-07-27,75.07000000000001
Brazil,2020-08-03,72.69
Brazil,2020-08-10,71.89571428571428
Brazil,2020-08-17,69.91
Brazil,2020-08-24,73.61
Brazil,2020-08-31,69.91
Brazil,2020-09-07,69.91
Brazil,2020-09-14,69.91
Brazil,2020-09-21,67.92428571428572
Brazil,2020-09-28,67.13
Brazil,2020-10-05,65.01571428571428
Brazil,2020-10-12,63.43
Brazil,2020-10-19,61.04714285714285
Brazil,2020-10-26,57.87
Brazil,2020-11-02,57.87
Brazil,2020-11-09,57.87
Brazil,2020-11-16,57.87
Brazil,2020-11-23,57.87
Brazil,2020-11-30,62.23857142857143
Brazil,2020-12-07,63.029999999999994
Brazil,2020-12-14,63.952857142857134
Brazil,2020-12-21,64.35
Brazil,2020-12-28,64.35
Brazil,2021-01-04,62.76142857142857
Brazil,2021-01-11,68.32142857142857
Brazil,2021-01-18,72.69
Brazil,2021-01-25,70.30714285714285
Brazil,2021-02-01,69.91
Brazil,2021-02-08,69.91
Brazil,2021-02-15,73.61
Brazil,2021-02-22,73.21285714285715
Brazil,2021-03-01,67.13
Brazil,2021-03-08,67.13
Brazil,2021-03-15,69.77285714285713
Brazil,2021-03-22,70.83
Brazil,2021-03-29,70.83
Brazil,2021-04-05,70.83
Brazil,2021-04-12,70.83
Brazil,2021-04-19,61.04714285714285
Brazil,2021-04-26,60.65
Brazil,2021-05-03,56.94
Brazil,2021-05-10,58.0
Brazil,2021-05-17,60.65
Brazil,2021-05-24,63.82142857142857
Brazil,2021-05-31,66.2
Brazil,2021-06-07,60.65
Brazil,2021-06-14,60.65
Brazil,2021-06-21,60.65
Brazil,2021-06-28,60.65
Brazil,2021-07-05,58.0
Brazil,2021-07-12,56.94
Brazil,2021-07-19,56.94
Brazil,2021-07-26,56.94
Brazil,2021-08-02,52.18285714285714
Brazil,2021-08-09,51.39
Brazil,2021-08-16,51.39
Brazil,2021-08-23,51.39
Brazil,2021-08-30,55.32285714285714
Brazil,2021-09-06,56.68571428571429
Brazil,2021-09-13,56.37
Brazil,2021-09-20,56.08142857142857
Brazil,2021-09-27,55.79714285714285
Brazil,2021-10-04,55.54
Brazil,2021-10-11,55.32142857142857
Brazil,2021-10-18,45.815714285714286
Brazil,2021-10-25,45.54571428571428
Brazil,2021-11-01,45.38142857142857
Brazil,2021-11-08,45.15571428571428
Brazil,2021-11-15,44.97571428571428
Brazil,2021-11-22,44.80142857142857
Brazil,2021-11-29,50.201428571428565
Brazil,2021-12-06,53.355714285714285
Brazil,2021-12-13,61.57
Brazil,2021-12-20,61.57
Brazil,2021-12-27,57.42714285714286
Brazil,2022-01-03,47.050000000000004
Brazil,2022-01-10,43.40428571428571
Brazil,2022-01-17,38.458571428571425
Brazil,2022-01-24,35.05714285714286
Brazil,2022-01-31,34.42285714285715
Brazil,2022-02-07,38.128571428571426
Brazil,2022-02-14,38.707142857142856
Brazil,2022-02-21,35.4
Brazil,2022-02-28,34.892857142857146
Brazil,2022-03-07,34.864285714285714
Brazil,2022-03-14,34.74142857142857
Brazil,2022-03-21,34.651428571428575
Brazil,2022-03-28,33.96857142857143
Brazil,2022-04-04,33.09142857142857
Brazil,2022-04-11,31.527142857142856
Brazil,2022-04-18,29.46
Brazil,2022-04-25,29.395714285714288
Brazil,2022-05-02,29.327142857142857
Brazil,2022-05-09,29.264285714285712
Brazil,2022-05-16,29.224285714285713
Brazil,2022-05-23,29.185714285714287
Brazil,2022-05-30,29.135714285714283
Brazil,2022-06-06,29.02
Brazil,2022-06-13,27.49142857142857
Brazil,2022-06-20,27.457142857142856
Brazil,2022-06-27,27.40857142857143
Brazil,2022-07-04,27.364285714285717
Brazil,2022-07-11,27.334285714285716
Brazil,2022-07-18,27.312857142857144
Brazil,2022-07-25,25.72
Brazil,2022-08-01,24.97
Brazil,2022-08-08,23.935714285714287
Brazil,2022-08-15,23.92571428571429
Brazil,2022-08-22,23.919999999999998
Brazil,2022-08-29,22.22
Brazil,2022-09-05,22.22
Brazil,2022-09-12,22.22
Brazil,2022-09-19,22.22
Brazil,2022-09-26,22.22
Brazil,2022-10-03,22.22
Brazil,2022-10-10,22.22
Brazil,2022-10-17,22.22
Brazil,2022-10-24,22.22
Brazil,2022-10-31,22.22
Brazil,2022-11-07,22.22
Brazil,2022-11-14,22.22
Brazil,2022-11-21,22.22
Brazil,2022-11-28,22.22
Brazil,2022-12-05,22.22
Brazil,2022-12-12,22.22
Brazil,2022-12-19,22.22
