week,google_physician,google_hospital,google_pharmacy,google_symptom,country
2022-10-03,7,10,12,25,BRA
2022-10-10,9,11,12,25,BRA
2022-10-17,9,11,11,26,BRA
2022-10-24,5,10,10,22,BRA
2022-10-31,9,11,12,26,BRA
2022-11-07,10,11,12,30,BRA
2022-11-14,10,10,11,28,BRA
2022-11-21,10,10,11,27,BRA
2022-11-28,9,10,12,27,BRA
2022-12-05,9,17,12,28,BRA
2022-12-12,8,16,12,25,BRA
2022-12-19,9,18,12,26,BRA
2022-12-26,11,21,12,25,BRA
2023-01-02,11,22,12,25,BRA
2023-01-09,13,22,12,25,BRA
2023-01-16,12,21,11,25,BRA
2023-01-23,13,22,12,24,BRA
2023-01-30,12,21,12,24,BRA
2023-02-06,10,22,12,27,BRA
2023-02-13,9,20,12,27,BRA
2023-02-20,11,23,12,28,BRA
2023-02-27,12,22,13,27,BRA
2023-03-06,14,23,13,29,BRA
2023-03-13,14,24,14,31,BRA
2023-03-20,18,24,14,31,BRA
2023-03-27,15,22,14,29,BRA
2023-04-03,16,25,14,30,BRA
2023-04-10,16,23,14,30,BRA
2023-04-17,17,24,13,30,BRA
2023-04-24,15,21,14,32,BRA
2023-05-01,17,24,13,29,BRA
2023-05-08,21,24,13,29,BRA
2023-05-15,22,25,15,30,BRA
2023-05-22,19,23,14,30,BRA
2023-05-29,16,21,14,27,BRA
2023-06-05,17,22,14,29,BRA
2023-06-12,16,22,13,27,BRA
2023-06-19,14,23,14,27,BRA
2023-06-26,14,22,14,25,BRA
2023-07-03,13,23,13,24,BRA
2023-07-10,13,22,13,21,BRA
2023-07-17,13,23,13,21,BRA
2023-07-24,13,22,13,21,BRA
2023-07-31,14,22,13,20,BRA
2023-08-07,14,23,12,20,BRA
2023-08-14,14,23,13,22,BRA
2023-08-21,14,23,13,21,BRA
2023-08-28,12,21,14,20,BRA
2023-09-04,15,23,14,22,BRA
2023-09-11,13,22,13,21,BRA
2023-09-18,13,21,13,20,BRA
2023-09-25,20,22,12,20,BRA
2023-10-02,13,20,13,19,BRA
2023-10-09,17,24,13,21,BRA
2023-10-16,14,23,12,21,BRA
2023-10-23,12,21,12,20,BRA
2023-10-30,14,22,13,21,BRA
2023-11-06,12,21,13,21,BRA
2023-11-13,12,21,13,20,BRA
2023-11-20,12,20,12,19,BRA
2023-11-27,12,21,12,20,BRA
2023-12-04,13,22,13,22,BRA
2023-12-11,10,19,12,21,BRA
2023-12-18,9,18,14,20,BRA
2023-12-25,12,21,13,22,BRA
2019-12-23,24,6,11,13,CHL
2019-12-30,27,7,9,15,CHL
2020-01-06,29,8,10,15,CHL
2020-01-13,27,9,10,18,CHL
2020-01-20,27,10,9,23,CHL
2020-01-27,28,12,11,20,CHL
2020-02-03,26,8,9,18,CHL
2020-02-10,25,8,8,19,CHL
2020-02-17,23,9,9,23,CHL
2020-02-24,29,8,10,28,CHL
2020-03-02,28,8,10,39,CHL
2020-03-09,31,11,14,100,CHL
2020-03-16,32,9,11,53,CHL
2020-03-23,30,8,9,32,CHL
2020-03-30,27,7,10,28,CHL
2020-04-06,28,7,9,25,CHL
2020-04-13,28,6,9,21,CHL
2020-04-20,24,6,9,21,CHL
2020-04-27,26,7,8,24,CHL
2020-05-04,27,11,8,28,CHL
2020-05-11,26,8,9,31,CHL
2020-05-18,30,8,8,31,CHL
2020-05-25,28,7,8,28,CHL
2020-06-01,31,7,8,26,CHL
2020-06-08,29,7,8,24,CHL
2020-06-15,27,7,8,23,CHL
2020-06-22,24,6,8,22,CHL
2020-06-29,25,6,7,20,CHL
2020-07-06,25,6,8,19,CHL
2020-07-13,25,6,7,18,CHL
2020-07-20,22,5,7,16,CHL
2020-07-27,22,5,6,15,CHL
2020-08-03,22,5,7,15,CHL
2020-08-10,24,6,7,16,CHL
2020-08-17,25,6,7,18,CHL
2020-08-24,22,5,8,16,CHL
2020-08-31,24,6,8,18,CHL
2020-09-07,24,6,12,20,CHL
2020-09-14,30,7,9,21,CHL
2020-09-21,28,6,8,19,CHL
2020-09-28,26,6,8,19,CHL
2020-10-05,25,6,9,19,CHL
2020-10-12,27,7,8,20,CHL
2020-10-19,26,6,7,19,CHL
2020-10-26,23,6,9,18,CHL
2020-11-02,25,6,23,19,CHL
2020-11-09,26,7,11,21,CHL
2020-11-16,27,7,9,20,CHL
2020-11-23,30,6,8,20,CHL
2020-11-30,24,6,8,19,CHL
2020-12-07,25,6,11,20,CHL
2020-12-14,21,5,10,20,CHL
2020-12-21,24,6,11,25,CHL
2020-12-28,29,7,10,23,CHL
2021-01-04,30,7,8,26,CHL
2021-01-11,29,7,10,25,CHL
2021-01-18,29,8,9,23,CHL
2021-01-25,29,7,9,23,CHL
2021-02-01,28,6,9,21,CHL
2021-02-08,26,6,9,22,CHL
2021-02-15,27,7,8,22,CHL
2021-02-22,26,6,8,22,CHL
2021-03-01,27,6,8,23,CHL
2021-03-08,29,6,8,25,CHL
2021-03-15,30,6,8,26,CHL
2021-03-22,27,7,9,25,CHL
2021-03-29,29,7,7,24,CHL
2021-04-05,28,7,7,25,CHL
2021-04-12,24,6,7,20,CHL
2021-04-19,22,6,7,19,CHL
2021-04-26,23,6,7,17,CHL
2021-05-03,22,6,10,18,CHL
2021-05-10,20,5,9,19,CHL
2021-05-17,25,6,8,22,CHL
2021-05-24,23,6,6,21,CHL
2021-05-31,25,7,7,21,CHL
2021-06-07,26,6,7,20,CHL
2021-06-14,23,6,8,20,CHL
2021-06-21,22,6,7,19,CHL
2021-06-28,23,6,7,18,CHL
2021-07-05,23,6,9,17,CHL
2021-07-12,23,6,8,19,CHL
2021-07-19,24,6,7,17,CHL
2021-07-26,25,7,7,17,CHL
2021-08-02,24,6,9,19,CHL
2021-08-09,26,7,8,19,CHL
2021-08-16,24,7,8,17,CHL
2021-08-23,24,6,8,18,CHL
2021-08-30,21,6,13,17,CHL
2021-09-06,19,6,17,18,CHL
2021-09-13,25,7,10,19,CHL
2021-09-20,24,6,7,17,CHL
2021-09-27,22,6,7,15,CHL
2021-10-04,22,6,10,15,CHL
2021-10-11,20,7,8,18,CHL
2021-10-18,15,6,8,18,CHL
2021-10-25,14,6,9,20,CHL
2021-11-01,14,6,8,20,CHL
