,SEMANA,ANO,Casos,DATE
171,41,2017,15,2017-10-09
172,42,2017,14,2017-10-16
173,43,2017,11,2017-10-23
174,44,2017,11,2017-10-30
175,45,2017,8,2017-11-06
176,46,2017,13,2017-11-13
177,47,2017,14,2017-11-20
178,48,2017,11,2017-11-27
179,49,2017,9,2017-12-04
180,50,2017,13,2017-12-11
181,51,2017,8,2017-12-18
182,52,2017,4,2017-12-25
183,1,2018,16,2018-01-01
184,2,2018,19,2018-01-08
185,3,2018,19,2018-01-15
186,4,2018,15,2018-01-22
187,5,2018,13,2018-01-29
188,6,2018,13,2018-02-05
189,7,2018,9,2018-02-12
190,8,2018,9,2018-02-19
191,9,2018,8,2018-02-26
192,10,2018,11,2018-03-05
193,11,2018,9,2018-03-12
194,12,2018,7,2018-03-19
195,13,2018,8,2018-03-26
196,14,2018,16,2018-04-02
197,15,2018,14,2018-04-09
198,16,2018,21,2018-04-16
199,17,2018,21,2018-04-23
200,18,2018,18,2018-04-30
201,19,2018,12,2018-05-07
202,20,2018,8,2018-05-14
203,21,2018,21,2018-05-21
204,22,2018,14,2018-05-28
205,23,2018,19,2018-06-04
206,24,2018,16,2018-06-11
207,25,2018,11,2018-06-18
208,26,2018,9,2018-06-25
209,27,2018,11,2018-07-02
210,28,2018,10,2018-07-09
211,29,2018,7,2018-07-16
212,30,2018,13,2018-07-23
213,31,2018,7,2018-07-30
214,32,2018,10,2018-08-06
215,33,2018,7,2018-08-13
216,34,2018,11,2018-08-20
217,35,2018,15,2018-08-27
218,36,2018,17,2018-09-03
219,37,2018,13,2018-09-10
220,38,2018,22,2018-09-17
221,39,2018,14,2018-09-24
222,40,2018,11,2018-10-01
223,41,2018,6,2018-10-08
224,42,2018,12,2018-10-15
225,43,2018,3,2018-10-22
226,44,2018,7,2018-10-29
227,45,2018,5,2018-11-05
228,46,2018,15,2018-11-12
229,47,2018,9,2018-11-19
230,48,2018,13,2018-11-26
231,49,2018,9,2018-12-03
232,50,2018,10,2018-12-10
233,51,2018,10,2018-12-17
234,52,2018,4,2018-12-24
235,1,2019,13,2018-12-31
236,2,2019,13,2019-01-07
237,3,2019,14,2019-01-14
238,4,2019,9,2019-01-21
239,5,2019,12,2019-01-28
240,6,2019,14,2019-02-04
241,7,2019,13,2019-02-11
242,8,2019,17,2019-02-18
243,9,2019,6,2019-02-25
244,10,2019,6,2019-03-04
245,11,2019,14,2019-03-11
246,12,2019,13,2019-03-18
247,13,2019,19,2019-03-25
248,14,2019,11,2019-04-01
249,15,2019,12,2019-04-08
250,16,2019,16,2019-04-15
251,17,2019,16,2019-04-22
252,18,2019,5,2019-04-29
253,19,2019,8,2019-05-06
254,20,2019,7,2019-05-13
255,21,2019,8,2019-05-20
256,22,2019,8,2019-05-27
257,23,2019,13,2019-06-03
258,24,2019,8,2019-06-10
259,25,2019,9,2019-06-17
260,26,2019,9,2019-06-24
261,27,2019,6,2019-07-01
262,28,2019,17,2019-07-08
263,29,2019,8,2019-07-15
264,30,2019,9,2019-07-22
265,31,2019,8,2019-07-29
266,32,2019,7,2019-08-05
267,33,2019,13,2019-08-12
268,34,2019,6,2019-08-19
269,35,2019,5,2019-08-26
270,36,2019,9,2019-09-02
271,37,2019,7,2019-09-09
272,38,2019,11,2019-09-16
273,39,2019,4,2019-09-23
274,40,2019,8,2019-09-30
275,41,2019,3,2019-10-07
276,42,2019,11,2019-10-14
277,43,2019,9,2019-10-21
278,44,2019,4,2019-10-28
279,45,2019,8,2019-11-04
280,46,2019,6,2019-11-11
281,47,2019,6,2019-11-18
282,48,2019,8,2019-11-25
283,49,2019,10,2019-12-02
284,50,2019,4,2019-12-09
285,51,2019,2,2019-12-16
286,52,2019,6,2019-12-23
287,1,2020,13,2019-12-30
288,2,2020,17,2020-01-06
289,3,2020,23,2020-01-13
290,4,2020,13,2020-01-20
291,5,2020,10,2020-01-27
292,6,2020,3,2020-02-03
293,7,2020,5,2020-02-10
294,8,2020,2,2020-02-17
295,9,2020,8,2020-02-24
296,10,2020,4,2020-03-02
297,11,2020,4,2020-03-09
298,12,2020,2,2020-03-16
299,13,2020,1,2020-03-23
300,14,2020,4,2020-03-30
301,15,2020,2,2020-04-06
302,17,2020,3,2020-04-20
303,18,2020,1,2020-04-27
304,19,2020,3,2020-05-04
305,20,2020,2,2020-05-11
306,21,2020,1,2020-05-18
307,22,2020,4,2020-05-25
308,23,2020,1,2020-06-01
309,24,2020,1,2020-06-08
310,25,2020,1,2020-06-15
311,26,2020,2,2020-06-22
312,29,2020,1,2020-07-13
313,30,2020,1,2020-07-20
314,31,2020,1,2020-07-27
315,32,2020,1,2020-08-03
316,33,2020,2,2020-08-10
317,34,2020,1,2020-08-17
318,36,2020,1,2020-08-31
319,37,2020,2,2020-09-07
320,38,2020,1,2020-09-14
321,39,2020,1,2020-09-21
322,45,2020,1,2020-11-02
323,47,2020,1,2020-11-16
324,48,2020,3,2020-11-23
325,49,2020,1,2020-11-30
326,51,2020,1,2020-12-14
327,52,2020,3,2020-12-21
328,1,2021,1,2021-01-04
329,7,2021,2,2021-02-15
330,8,2021,1,2021-02-22
331,9,2021,2,2021-03-01
332,10,2021,1,2021-03-08
333,12,2021,1,2021-03-22
334,13,2021,2,2021-03-29
335,14,2021,1,2021-04-05
336,16,2021,1,2021-04-19
337,17,2021,2,2021-04-26
338,18,2021,1,2021-05-03
339,19,2021,2,2021-05-10
340,21,2021,1,2021-05-24
341,23,2021,1,2021-06-07
342,24,2021,1,2021-06-14
343,25,2021,1,2021-06-21
344,26,2021,1,2021-06-28
345,27,2021,1,2021-07-05
346,29,2021,1,2021-07-19
347,30,2021,1,2021-07-26
348,31,2021,1,2021-08-02
349,32,2021,2,2021-08-09
350,33,2021,1,2021-08-16
351,35,2021,3,2021-08-30
352,39,2021,1,2021-09-27
353,40,2021,1,2021-10-04
354,42,2021,1,2021-10-18
355,44,2021,1,2021-11-01
356,46,2021,1,2021-11-15
357,48,2021,2,2021-11-29
358,49,2021,2,2021-12-06
359,50,2021,1,2021-12-13
360,1,2022,3,2022-01-03
361,2,2022,2,2022-01-10
362,3,2022,2,2022-01-17
363,6,2022,2,2022-02-07
364,7,2022,1,2022-02-14
365,9,2022,1,2022-02-28
366,10,2022,1,2022-03-07
367,11,2022,2,2022-03-14
368,12,2022,3,2022-03-21
369,13,2022,1,2022-03-28
370,14,2022,3,2022-04-04
371,15,2022,1,2022-04-11
372,16,2022,1,2022-04-18
373,18,2022,4,2022-05-02
374,19,2022,1,2022-05-09
375,21,2022,1,2022-05-23
376,22,2022,2,2022-05-30
377,23,2022,1,2022-06-06
378,24,2022,1,2022-06-13
379,25,2022,1,2022-06-20
380,28,2022,1,2022-07-11
381,30,2022,1,2022-07-25
382,31,2022,1,2022-08-01
383,32,2022,1,2022-08-08
384,33,2022,2,2022-08-15
385,34,2022,2,2022-08-22
386,35,2022,2,2022-08-29
387,36,2022,2,2022-09-05
388,37,2022,1,2022-09-12
389,38,2022,6,2022-09-19
390,39,2022,6,2022-09-26
391,40,2022,6,2022-10-03
392,41,2022,1,2022-10-10
393,43,2022,1,2022-10-24
394,44,2022,1,2022-10-31
395,45,2022,1,2022-11-07
396,47,2022,2,2022-11-21
397,48,2022,1,2022-11-28
398,50,2022,1,2022-12-12
399,51,2022,3,2022-12-19
400,52,2022,1,2022-12-26
401,1,2023,1,2023-01-02
402,2,2023,1,2023-01-09
403,4,2023,2,2023-01-23
404,9,2023,1,2023-02-27
405,12,2023,2,2023-03-20
406,13,2023,1,2023-03-27
407,16,2023,2,2023-04-17
408,18,2023,1,2023-05-01
409,19,2023,2,2023-05-08
410,20,2023,3,2023-05-15
411,23,2023,2,2023-06-05
412,24,2023,1,2023-06-12
413,25,2023,1,2023-06-19
414,26,2023,1,2023-06-26
