SEMANA,ANO,idx,count,DATE
38,2015,EMPRESA SOCIAL DEL ESTADO JORGE GONZÁLEZ OLMOS_BOYACA_PAEZ,1,2015-09-14
38,2015,DUMIAN MEDICAL SAS  CLINICA DEL BOSQUE_BOLIVAR_CARTAGENA,2,2015-09-14
38,2015,DEPARTAMENTO ADMINISTRATIVO DE SALUD DADIS_BOLIVAR_CARTAGENA,1,2015-09-14
38,2015,CLNICA BLAS DE LEZO SEDE 2_BOLIVAR_CARTAGENA,2,2015-09-14
38,2015,CENTRO DE SALUD MORELIA_CAQUETA_MORELIA,1,2015-09-14
38,2015,CAP LA CANDELARIA_BOLIVAR_CARTAGENA,3,2015-09-14
38,2015,ESE HOSPITAL CESAR UIRBE PIEDRAHITA_ANTIOQUIA_CAUCASIA,2,2015-09-14
39,2015,HOSPITAL REGIONAL MONIQUIRA ESE_BOYACA_CHITARAQUE,1,2015-09-21
39,2015,HOSPITAL SAN VICENTE DE ARAUCA ESE_ARAUCA_ARAUCA,1,2015-09-21
39,2015,IPS UNIVERSITARIA SEDE HOSPITAL AMOR DE PATRIA SAN_SAN ANDRES_SAN ANDRES,3,2015-09-21
39,2015,SECRETARIA DE SALUD MUNICIPAL DE TURBACO_BOLIVAR_TURBACO,33,2015-09-21
39,2015,SECRETARIA DE SALUD DEPARTAMENTAL_SAN ANDRES_SAN ANDRES,11,2015-09-21
39,2015,OFICINA DE SALUD DISTRITAL DE SALUD PUBLICA_ATLANTICO_BARRANQUILLA,2,2015-09-21
39,2015,SECRETARIA DE SALUD DE MEDELLIN_ANTIOQUIA_MEDELLIN,7,2015-09-21
39,2015,ESE UNIDAD DE SALUD SAN FRANCISCO DE ASIS_SUCRE_SINCELEJO,1,2015-09-21
39,2015,LOMA DE BOLIVAR_NORTE SANTANDER_CUCUTA,1,2015-09-21
39,2015,ESE HOSPITAL SANTA ANA_BOYACA_MUZO,1,2015-09-21
39,2015,ESE HOSPITAL JOSE CAYETANO VASQUEZ_BOYACA_PUERTO BOYACA,5,2015-09-21
