country,date,pop_vaccinated
Brazil,2020-01-01,0.0
Brazil,2020-02-01,0.0
Brazil,2020-03-01,0.0
Brazil,2020-04-01,0.0
Brazil,2020-05-01,0.0
Brazil,2020-06-01,0.0
Brazil,2020-07-01,0.0
Brazil,2020-08-01,0.0
Brazil,2020-09-01,0.0
Brazil,2020-10-01,0.0
Brazil,2020-11-01,0.0
Brazil,2020-12-01,0.0
Brazil,2021-01-01,0.0
Brazil,2021-02-01,0.3078571428571429
Brazil,2021-03-01,1.7116129032258065
Brazil,2021-04-01,4.331666666666666
Brazil,2021-05-01,8.979032258064517
Brazil,2021-06-01,11.259333333333332
Brazil,2021-07-01,15.538387096774194
Brazil,2021-08-01,23.917419354838707
Brazil,2021-09-01,35.89933333333333
Brazil,2021-10-01,48.420967741935485
Brazil,2021-11-01,58.36866666666666
Brazil,2021-12-01,65.14903225806451
Brazil,2022-01-01,68.0667741935484
Brazil,2022-02-01,70.84392857142858
Brazil,2022-03-01,73.37838709677419
Brazil,2022-04-01,75.46000000000001
Brazil,2022-05-01,76.71096774193548
Brazil,2022-06-01,77.94933333333333
Brazil,2022-07-01,78.78806451612903
Brazil,2022-08-01,79.42870967741935
Brazil,2022-09-01,79.88566666666667
Brazil,2022-10-01,80.03064516129034
Brazil,2022-11-01,80.15233333333335
Brazil,2022-12-01,81.05129032258066
Chile,2020-01-01,0.0
Chile,2020-02-01,0.0
Chile,2020-03-01,0.0
Chile,2020-04-01,0.0
Chile,2020-05-01,0.0
Chile,2020-06-01,0.0
Chile,2020-07-01,0.0
Chile,2020-08-01,0.0
Chile,2020-09-01,0.0
Chile,2020-10-01,0.0
Chile,2020-11-01,0.0
Chile,2020-12-01,0.0
Chile,2021-01-01,0.025483870967741937
Chile,2021-02-01,0.22214285714285714
Chile,2021-03-01,10.474838709677421
Chile,2021-04-01,26.862666666666666
Chile,2021-05-01,38.23806451612903
Chile,2021-06-01,47.799
Chile,2021-07-01,60.259032258064515
Chile,2021-08-01,66.76451612903226
Chile,2021-09-01,71.29366666666667
Chile,2021-10-01,73.98838709677419
Chile,2021-11-01,80.47399999999999
Chile,2021-12-01,83.57548387096774
Chile,2022-01-01,85.56419354838711
Chile,2022-02-01,87.29142857142857
Chile,2022-03-01,88.38967741935484
Chile,2022-04-01,88.93333333333334
Chile,2022-05-01,89.25161290322582
Chile,2022-06-01,89.56700000000001
Chile,2022-07-01,89.80967741935484
Chile,2022-08-01,90.00967741935484
Chile,2022-09-01,90.14733333333334
Chile,2022-10-01,90.20838709677419
Chile,2022-11-01,90.239
Chile,2022-12-01,90.25967741935484
Colombia,2020-01-01,0.0
Colombia,2020-02-01,0.0
Colombia,2020-03-01,0.0
Colombia,2020-04-01,0.0
Colombia,2020-05-01,0.0
Colombia,2020-06-01,0.0
Colombia,2020-07-01,0.0
Colombia,2020-08-01,0.0
Colombia,2020-09-01,0.0
Colombia,2020-10-01,0.0
Colombia,2020-11-01,0.0
Colombia,2020-12-01,0.0
Colombia,2021-01-01,0.0
Colombia,2021-02-01,0.0
Colombia,2021-03-01,0.12741935483870967
Colombia,2021-04-01,1.9306666666666668
Colombia,2021-05-01,5.1490322580645165
Colombia,2021-06-01,8.641666666666667
Colombia,2021-07-01,18.71483870967742
Colombia,2021-08-01,26.50225806451613
Colombia,2021-09-01,30.592
Colombia,2021-10-01,37.37387096774193
Colombia,2021-11-01,44.519666666666666
Colombia,2021-12-01,51.567419354838705
Colombia,2022-01-01,57.84322580645161
Colombia,2022-02-01,63.21821428571428
Colombia,2022-03-01,65.88419354838709
Colombia,2022-04-01,67.73766666666667
Colombia,2022-05-01,68.74935483870968
Colombia,2022-06-01,69.509
Colombia,2022-07-01,69.91935483870968
Colombia,2022-08-01,70.23290322580644
Colombia,2022-09-01,70.32
Colombia,2022-10-01,70.70032258064516
Colombia,2022-11-01,70.95066666666666
Colombia,2022-12-01,71.0658064516129
Dominican Republic,2020-01-01,0.0
Dominican Republic,2020-02-01,0.0
Dominican Republic,2020-03-01,0.0
Dominican Republic,2020-04-01,0.0
Dominican Republic,2020-05-01,0.0
Dominican Republic,2020-06-01,0.0
Dominican Republic,2020-07-01,0.0
Dominican Republic,2020-08-01,0.0
Dominican Republic,2020-09-01,0.0
Dominican Republic,2020-10-01,0.0
Dominican Republic,2020-11-01,0.0
Dominican Republic,2020-12-01,0.0
Dominican Republic,2021-01-01,0.0
Dominican Republic,2021-02-01,0.0
Dominican Republic,2021-03-01,0.03096774193548387
Dominican Republic,2021-04-01,3.554333333333333
Dominican Republic,2021-05-01,7.748064516129032
Dominican Republic,2021-06-01,18.813333333333333
Dominican Republic,2021-07-01,32.689032258064515
Dominican Republic,2021-08-01,39.83516129032258
Dominican Republic,2021-09-01,42.67933333333334
Dominican Republic,2021-10-01,45.48516129032258
Dominican Republic,2021-11-01,48.817
Dominican Republic,2021-12-01,50.43483870967742
Dominican Republic,2022-01-01,51.163548387096775
Dominican Republic,2022-02-01,51.99214285714286
Dominican Republic,2022-03-01,52.439677419354844
Dominican Republic,2022-04-01,52.981
Dominican Republic,2022-05-01,53.18096774193549
Dominican Republic,2022-06-01,53.349333333333334
