year_month,oni
1990-12,0.4
1991-01,0.4
1991-02,0.3
1991-03,0.2
1991-04,0.3
1991-05,0.5
1991-06,0.6
1991-07,0.7
1991-08,0.6
1991-09,0.6
1991-10,0.8
1991-11,1.2
1991-12,1.5
1992-01,1.7
1992-02,1.6
1992-03,1.5
1992-04,1.3
1992-05,1.1
1992-06,0.7
1992-07,0.4
1992-08,0.1
1992-09,-0.1
1992-10,-0.2
1992-11,-0.3
1992-12,-0.1
1993-01,0.1
1993-02,0.3
1993-03,0.5
1993-04,0.7
1993-05,0.7
1993-06,0.6
1993-07,0.3
1993-08,0.3
1993-09,0.2
1993-10,0.1
1993-11,0
1993-12,0.1
1994-01,0.1
1994-02,0.1
1994-03,0.2
1994-04,0.3
1994-05,0.4
1994-06,0.4
1994-07,0.4
1994-08,0.4
1994-09,0.6
1994-10,0.7
1994-11,1
1994-12,1.1
1995-01,1
1995-02,0.7
1995-03,0.5
1995-04,0.3
1995-05,0.1
1995-06,0
1995-07,-0.2
1995-08,-0.5
1995-09,-0.8
1995-10,-1
1995-11,-1
1995-12,-1
1996-01,-0.9
1996-02,-0.8
1996-03,-0.6
1996-04,-0.4
1996-05,-0.3
1996-06,-0.3
1996-07,-0.3
1996-08,-0.3
1996-09,-0.4
1996-10,-0.4
1996-11,-0.4
1996-12,-0.5
1997-01,-0.5
1997-02,-0.4
1997-03,-0.1
1997-04,0.3
1997-05,0.8
1997-06,1.2
1997-07,1.6
1997-08,1.9
1997-09,2.1
1997-10,2.3
1997-11,2.4
1997-12,2.4
1998-01,2.2
1998-02,1.9
1998-03,1.4
1998-04,1
1998-05,0.5
1998-06,-0.1
1998-07,-0.8
1998-08,-1.1
1998-09,-1.3
1998-10,-1.4
1998-11,-1.5
1998-12,-1.6
1999-01,-1.5
1999-02,-1.3
1999-03,-1.1
1999-04,-1
1999-05,-1
1999-06,-1
1999-07,-1.1
1999-08,-1.1
1999-09,-1.2
1999-10,-1.3
1999-11,-1.5
1999-12,-1.7
2000-01,-1.7
2000-02,-1.4
2000-03,-1.1
2000-04,-0.8
2000-05,-0.7
2000-06,-0.6
2000-07,-0.6
2000-08,-0.5
2000-09,-0.5
2000-10,-0.6
2000-11,-0.7
2000-12,-0.7
2001-01,-0.7
2001-02,-0.5
2001-03,-0.4
2001-04,-0.3
2001-05,-0.3
2001-06,-0.1
2001-07,-0.1
2001-08,-0.1
2001-09,-0.2
2001-10,-0.3
2001-11,-0.3
2001-12,-0.3
2002-01,-0.1
2002-02,0
2002-03,0.1
2002-04,0.2
2002-05,0.4
2002-06,0.7
2002-07,0.8
2002-08,0.9
2002-09,1
2002-10,1.2
2002-11,1.3
2002-12,1.1
2003-01,0.9
2003-02,0.6
2003-03,0.4
2003-04,0
2003-05,-0.3
2003-06,-0.2
2003-07,0.1
2003-08,0.2
2003-09,0.3
2003-10,0.3
2003-11,0.4
2003-12,0.4
2004-01,0.4
2004-02,0.3
2004-03,0.2
2004-04,0.2
2004-05,0.2
2004-06,0.3
2004-07,0.5
2004-08,0.6
2004-09,0.7
2004-10,0.7
2004-11,0.7
2004-12,0.7
2005-01,0.6
2005-02,0.6
2005-03,0.4
2005-04,0.4
2005-05,0.3
2005-06,0.1
2005-07,-0.1
2005-08,-0.1
2005-09,-0.1
2005-10,-0.3
2005-11,-0.6
2005-12,-0.8
2006-01,-0.9
2006-02,-0.8
2006-03,-0.6
2006-04,-0.4
2006-05,-0.1
2006-06,0
2006-07,0.1
2006-08,0.3
2006-09,0.5
2006-10,0.8
2006-11,0.9
2006-12,0.9
2007-01,0.7
2007-02,0.2
2007-03,-0.1
2007-04,-0.3
2007-05,-0.4
2007-06,-0.5
2007-07,-0.6
2007-08,-0.8
2007-09,-1.1
2007-10,-1.3
2007-11,-1.5
2007-12,-1.6
2008-01,-1.6
2008-02,-1.5
2008-03,-1.3
2008-04,-1
2008-05,-0.8
2008-06,-0.6
2008-07,-0.4
2008-08,-0.2
2008-09,-0.2
2008-10,-0.4
2008-11,-0.6
2008-12,-0.7
2009-01,-0.8
2009-02,-0.8
2009-03,-0.6
2009-04,-0.3
2009-05,0
2009-06,0.3
2009-07,0.5
2009-08,0.6
2009-09,0.7
2009-10,1
2009-11,1.4
2009-12,1.6
2010-01,1.5
2010-02,1.2
2010-03,0.8
2010-04,0.4
2010-05,-0.2
2010-06,-0.7
2010-07,-1
2010-08,-1.3
2010-09,-1.6
2010-10,-1.6
2010-11,-1.6
2010-12,-1.6
2011-01,-1.4
2011-02,-1.2
2011-03,-0.9
2011-04,-0.7
2011-05,-0.6
2011-06,-0.4
2011-07,-0.5
2011-08,-0.6
2011-09,-0.8
2011-10,-1
2011-11,-1.1
2011-12,-1
2012-01,-0.9
2012-02,-0.7
2012-03,-0.6
2012-04,-0.5
2012-05,-0.3
2012-06,0
2012-07,0.2
2012-08,0.4
2012-09,0.4
2012-10,0.3
2012-11,0.1
2012-12,-0.2
2013-01,-0.4
2013-02,-0.4
2013-03,-0.3
2013-04,-0.3
2013-05,-0.4
2013-06,-0.4
2013-07,-0.4
2013-08,-0.3
2013-09,-0.3
2013-10,-0.2
2013-11,-0.2
2013-12,-0.3
2014-01,-0.4
2014-02,-0.5
2014-03,-0.3
2014-04,0
2014-05,0.2
2014-06,0.2
2014-07,0
2014-08,0.1
2014-09,0.2
2014-10,0.5
2014-11,0.6
2014-12,0.7
2015-01,0.5
2015-02,0.5
2015-03,0.5
2015-04,0.7
2015-05,0.9
2015-06,1.2
2015-07,1.5
2015-08,1.9
2015-09,2.2
2015-10,2.4
2015-11,2.6
2015-12,2.6
2016-01,2.5
2016-02,2.1
2016-03,1.6
2016-04,0.9
2016-05,0.4
2016-06,-0.1
2016-07,-0.4
2016-08,-0.5
2016-09,-0.6
2016-10,-0.7
2016-11,-0.7
2016-12,-0.6
2017-01,-0.3
2017-02,-0.2
2017-03,0.1
2017-04,0.2
2017-05,0.3
2017-06,0.3
2017-07,0.1
2017-08,-0.1
2017-09,-0.4
2017-10,-0.7
2017-11,-0.8
2017-12,-1
2018-01,-0.9
2018-02,-0.9
2018-03,-0.7
2018-04,-0.5
2018-05,-0.2
2018-06,0
2018-07,0.1
2018-08,0.2
2018-09,0.5
2018-10,0.8
2018-11,0.9
2018-12,0.8
2019-01,0.7
2019-02,0.7
2019-03,0.7
2019-04,0.7
2019-05,0.5
2019-06,0.5
2019-07,0.3
2019-08,0.1
2019-09,0.2
2019-10,0.3
2019-11,0.5
2019-12,0.5
2020-01,0.5
2020-02,0.5
2020-03,0.4
2020-04,0.2
2020-05,-0.1
2020-06,-0.3
2020-07,-0.4
2020-08,-0.6
2020-09,-0.9
2020-10,-1.2
2020-11,-1.3
2020-12,-1.2
2021-01,-1
2021-02,-0.9
2021-03,-0.8
2021-04,-0.7
2021-05,-0.5
2021-06,-0.4
2021-07,-0.4
2021-08,-0.5
2021-09,-0.7
2021-10,-0.8
2021-11,-1
2021-12,-1
2022-01,-1
2022-02,-0.9
2022-03,-1
2022-04,-1.1
2022-05,-1
2022-06,-0.9
2022-07,-0.8
2022-08,-0.9
2022-09,-1
2022-10,-1
2022-11,-0.9
2022-12,-0.8
2023-01,-0.7
2023-02,-0.4
2023-03,-0.1
2023-04,0.2
2023-05,0.5
2023-06,0.8
2023-07,1.1
2023-08,1.3
2023-09,1.6
2023-10,1.8
2023-11,1.9
2023-12,2
2024-01,1.8
