Category: All categories

Month,Virus: (Panama),Symptom: (Panama),Hospital: (Panama),Physician: (Panama)
2024-03,5,29,23,16
2024-04,6,28,25,20
2024-05,6,34,25,21
2024-06,7,32,25,15
2024-07,6,29,23,16
2024-08,8,32,24,17
2024-09,6,30,24,17
2024-10,6,31,23,16
2024-11,6,27,20,14
2024-12,5,27,21,14
2025-01,9,27,26,17
2025-02,6,30,24,17
2025-03,4,28,14,12
