Category: All categories

Month,Virus: (Chile),Symptom: (Chile),Hospital: (Chile),Physician: (Chile)
2024-03,6,27,27,23
2024-04,8,31,30,27
2024-05,8,34,29,25
2024-06,7,28,26,23
2024-07,7,26,30,27
2024-08,8,29,29,25
2024-09,9,30,28,25
2024-10,8,28,28,24
2024-11,8,28,27,26
2024-12,8,27,25,24
2025-01,6,25,29,25
2025-02,4,25,26,25
2025-03,5,25,17,17
