Category: All categories

Month,Virus: (United States),Symptom: (United States),Hospital: (United States),Physician: (United States)
2024-03,4,24,23,15
2024-04,4,23,24,17
2024-05,4,24,23,17
2024-06,3,22,22,15
2024-07,3,22,23,16
2024-08,5,21,24,17
2024-09,4,20,22,16
2024-10,4,20,23,17
2024-11,4,20,23,16
2024-12,5,21,21,16
2025-01,7,21,23,17
2025-02,5,23,24,17
2025-03,4,21,18,13
