Category: All categories

Month,Virus: (Mexico),Symptom: (Mexico),Hospital: (Mexico),Physician: (Mexico)
2021-08,9,69,15,29
2021-09,10,50,13,27
2021-10,8,44,13,32
2021-11,8,46,13,19
2021-12,8,53,11,17
2022-01,10,91,14,21
2022-02,9,51,13,19
2022-03,9,48,14,21
2022-04,8,49,14,20
2022-05,10,55,14,21
2022-06,9,54,14,20
2022-07,7,66,14,22
2022-08,8,51,14,22
2022-09,9,48,14,21
2022-10,9,47,14,29
2022-11,12,49,13,21
2022-12,10,52,18,19
2023-01,7,48,27,25
2023-02,9,48,27,23
2023-03,9,51,29,25
2023-04,8,55,28,24
2023-05,9,53,28,26
2023-06,9,57,29,27
2023-07,6,49,27,23
2023-08,7,50,29,25
2023-09,11,50,29,25
2023-10,9,46,30,31
2023-11,12,45,28,23
2023-12,9,45,25,20
2024-01,8,47,30,20
2024-02,9,40,29,10
2024-03,8,44,28,21
2024-04,9,42,30,24
2024-05,8,40,29,23
2024-06,8,39,28,21
2024-07,7,39,30,20
2024-08,9,44,29,20
2024-09,9,40,28,21
2024-10,9,42,28,28
2024-11,8,38,26,22
2024-12,7,36,25,20
2025-01,12,36,27,24
2025-02,8,38,27,23
2025-03,9,40,23,21
