Category: All categories

Month,Virus: (Brazil),Symptom: (Brazil),Hospital: (Brazil),Physician: (Brazil)
2024-03,6,41,33,17
2024-04,6,38,36,20
2024-05,5,34,34,20
2024-06,5,29,30,19
2024-07,4,29,32,20
2024-08,5,30,31,19
2024-09,5,29,30,19
2024-10,4,28,29,20
2024-11,4,29,28,18
2024-12,4,19,26,16
2025-01,6,18,31,19
2025-02,4,20,31,19
2025-03,4,25,20,12
