Category: All categories

Month,Virus: (Uruguay),Symptom: (Uruguay),Hospital: (Uruguay),Physician: (Uruguay)
2024-02,5,31,29,7
2024-03,6,38,28,16
2024-04,8,33,31,19
2024-05,8,29,30,18
2024-06,7,26,26,17
2024-07,8,25,29,18
2024-08,8,28,30,20
2024-09,6,28,28,18
2024-10,6,26,29,17
2024-11,6,27,28,17
2024-12,6,26,26,19
2025-01,11,28,27,18
2025-02,5,27,32,18
2025-03,5,25,21,13
