city,state,country,Latitude,Longitude,idx_city
trinidad,casanare,colombia,5.4068042,-71.6623713,COLOMBIA_CASANARE_TRINIDAD
villanueva,casanare,colombia,4.6148734,-72.9252395,COLOMBIA_CASANARE_VILLANUEVA
yopal,casanare,colombia,5.3356662,-72.3936931,COLOMBIA_CASANARE_YOPAL
argelia,cauca,colombia,2.32689015,-77.26328131893001,COLOMBIA_CAUCA_ARGELIA
buenos aires,cauca,colombia,3.0165467,-76.6406849,COLOMBIA_CAUCA_BUENOS AIRES
caloto,cauca,colombia,3.0336985,-76.4085199,COLOMBIA_CAUCA_CALOTO
guapi,cauca,colombia,2.5708069,-77.882619,COLOMBIA_CAUCA_GUAPI
lopez micay,cauca,colombia,2.847624,-77.247802,COLOMBIA_CAUCA_LOPEZ (MICAY)
padilla,cauca,colombia,3.2254364,-76.3139739,COLOMBIA_CAUCA_PADILLA
patia el bordo,cauca,colombia,2.1141727,-76.9867835,COLOMBIA_CAUCA_PATIA (EL BORDO)
santander de quilichao,cauca,colombia,3.0075752,-76.4856531,COLOMBIA_CAUCA_SANTANDER DE QUILICHAO
aguachica,cesar,colombia,8.309416,-73.603699,COLOMBIA_CESAR_AGUACHICA
agustin codazzi,cesar,colombia,10.0374894,-73.2387011,COLOMBIA_CESAR_AGUSTIN CODAZZI
astrea,cesar,colombia,9.4962322,-73.9756293,COLOMBIA_CESAR_ASTREA
bosconia,cesar,colombia,9.9284449,-73.85871452915472,COLOMBIA_CESAR_BOSCONIA
curumani,cesar,colombia,9.1995316,-73.5440609,COLOMBIA_CESAR_CURUMANI
la jagua de ibirico,cesar,colombia,9.5613975,-73.3328147,COLOMBIA_CESAR_LA JAGUA DE IBIRICO
manaure balcon del cesar,cesar,colombia,10.3910411,-73.0270699,COLOMBIA_CESAR_MANAURE BALCON DEL CESAR
pueblo bello,cesar,colombia,10.4119057,-73.5909603,COLOMBIA_CESAR_PUEBLO BELLO
san diego,cesar,colombia,10.3326328,-73.1796691,COLOMBIA_CESAR_SAN DIEGO
valledupar,cesar,colombia,10.4651733,-73.2529512,COLOMBIA_CESAR_VALLEDUPAR
acandi,choco,colombia,8.5115155,-77.2790562,COLOMBIA_CHOCO_ACANDI
bajo baudo pizarro,choco,colombia,5.00181755,-77.15804531432612,COLOMBIA_CHOCO_BAJO BAUDO (PIZARRO)
condoto,choco,colombia,5.09567995,-76.51148371740939,COLOMBIA_CHOCO_CONDOTO
lloro,choco,colombia,5.5844842,-76.37256485604007,COLOMBIA_CHOCO_LLORO
medio atrato,choco,colombia,6.011108549999999,-76.69106336626541,COLOMBIA_CHOCO_MEDIO ATRATO
quibdo,choco,colombia,5.6923407,-76.6583801,COLOMBIA_CHOCO_QUIBDO
riosucio,choco,colombia,7.4365576,-77.1122594,COLOMBIA_CHOCO_RIOSUCIO
union panamericana,choco,colombia,5.2813079,-76.6293417,COLOMBIA_CHOCO_UNION PANAMERICANA
ayapel,cordoba,colombia,8.3116711,-75.1445022,COLOMBIA_CORDOBA_AYAPEL
cerete,cordoba,colombia,8.8852282,-75.7922421,COLOMBIA_CORDOBA_CERETE
chinu,cordoba,colombia,9.1063553,-75.3989007,COLOMBIA_CORDOBA_CHINU
cotorra,cordoba,colombia,9.0400712,-75.7863907,COLOMBIA_CORDOBA_COTORRA
lorica,cordoba,colombia,9.2394583,-75.8139786,COLOMBIA_CORDOBA_LORICA
los cordobas,cordoba,colombia,8.8922529,-76.3549184,COLOMBIA_CORDOBA_LOS CORDOBAS
montelibano,cordoba,colombia,7.9800534,-75.4167198,COLOMBIA_CORDOBA_MONTELIBANO
monteria,cordoba,colombia,8.7509361,-75.8786806,COLOMBIA_CORDOBA_MONTERIA
monitos,cordoba,colombia,9.2460394,-76.1315965,COLOMBIA_CORDOBA_MOÑITOS
planeta rica,cordoba,colombia,8.4076739,-75.5840456,COLOMBIA_CORDOBA_PLANETA RICA
