city,state,country,Latitude,Longitude,idx_city,status,nearest_city
medio baudo boca de pepe,choco,colombia,5.1926992,-76.9512785,COLOMBIA_CHOCO_MEDIO BAUDO (BOCA DE PEPE),empty,COLOMBIA_CHOCO_ATRATO
puerto escondido,cordoba,colombia,9.0142629,-76.2625983,COLOMBIA_CORDOBA_PUERTO ESCONDIDO,empty,COLOMBIA_CORDOBA_SAN PELAYO
purisima,cordoba,colombia,9.2375332,-75.7236088,COLOMBIA_CORDOBA_PURISIMA,empty,COLOMBIA_CORDOBA_TUCHIN
san bernardo del viento,cordoba,colombia,9.3306611,-75.99458843590666,COLOMBIA_CORDOBA_SAN BERNARDO DEL VIENTO,empty,COLOMBIA_CORDOBA_SAN PELAYO
san jose de ure,cordoba,colombia,7.7869539,-75.5336319,COLOMBIA_CORDOBA_SAN JOSE DE URE,empty,COLOMBIA_CORDOBA_SAN CARLOS
el colegio,cundinamarca,colombia,4.5802618,-74.442374,COLOMBIA_CUNDINAMARCA_EL COLEGIO,empty,COLOMBIA_CUNDINAMARCA_TENA
guaduas,cundinamarca,colombia,5.0674669,-74.5950774,COLOMBIA_CUNDINAMARCA_GUADUAS,empty,COLOMBIA_TOLIMA_HONDA
puerto salgar,cundinamarca,colombia,5.4636898,-74.6501244,COLOMBIA_CUNDINAMARCA_PUERTO SALGAR,empty,COLOMBIA_TOLIMA_HONDA
barrancas,guajira,colombia,10.9541684,-72.7888637,COLOMBIA_GUAJIRA_BARRANCAS,empty,COLOMBIA_GUAJIRA_RIOHACHA
distraccion,guajira,colombia,10.9118556,-72.9451253818429,COLOMBIA_GUAJIRA_DISTRACCION,empty,COLOMBIA_GUAJIRA_VILLANUEVA
garzon,huila,colombia,2.1960126,-75.6274845,COLOMBIA_HUILA_GARZON,empty,COLOMBIA_HUILA_CAMPOALEGRE
aracataca,magdalena,colombia,10.5906011,-74.1876803,COLOMBIA_MAGDALENA_ARACATACA,empty,COLOMBIA_MAGDALENA_CIENAGA
guamal,magdalena,colombia,9.144026,-74.2236605,COLOMBIA_MAGDALENA_GUAMAL,empty,COLOMBIA_SUCRE_BUENAVISTA
zapayan,magdalena,colombia,10.13681375,-74.68730059864467,COLOMBIA_MAGDALENA_ZAPAYAN,empty,COLOMBIA_ATLANTICO_PONEDERA
zona bananera,magdalena,colombia,10.79680915,-74.1807898427695,COLOMBIA_MAGDALENA_ZONA BANANERA,empty,COLOMBIA_MAGDALENA_CIENAGA
cabuyaro,meta,colombia,4.3129278,-72.92879921654097,COLOMBIA_META_CABUYARO,empty,COLOMBIA_META_CUMARAL
fuente de oro,meta,colombia,3.3929567,-73.59736043513638,COLOMBIA_META_FUENTE DE ORO,empty,COLOMBIA_META_CASTILLA LA NUEVA
puerto lopez,meta,colombia,4.0891674,-72.96059024775572,COLOMBIA_META_PUERTO LOPEZ,empty,COLOMBIA_META_CUMARAL
