idx_city,elevation
COLOMBIA_PUTUMAYO_VILLAGARZON,426.0
COLOMBIA_SANTANDER_CIMITARRA,160.0
COLOMBIA_SANTANDER_SAN GIL,1150.0
COLOMBIA_SUCRE_MAJAGUAL,18.0
COLOMBIA_SUCRE_SAN MARCOS,26.0
COLOMBIA_SUCRE_TOLU,11.0
COLOMBIA_TOLIMA_ALPUJARRA,1310.0
COLOMBIA_TOLIMA_CHAPARRAL,860.0
COLOMBIA_TOLIMA_COYAIMA,360.0
COLOMBIA_TOLIMA_LERIDA,350.0
COLOMBIA_TOLIMA_LIBANO,1581.0
COLOMBIA_TOLIMA_NATAGAIMA,324.0
COLOMBIA_TOLIMA_ORTEGA,396.0
COLOMBIA_TOLIMA_PRADO,436.0
COLOMBIA_TOLIMA_PURIFICACION,311.0
COLOMBIA_VALLE_BUGA,976.0
COLOMBIA_VALLE_DAGUA,881.0
COLOMBIA_VALLE_EL DOVIO,1430.0
COLOMBIA_VALLE_SAN PEDRO,990.0
COLOMBIA_ANTIOQUIA_CACERES,95.0
COLOMBIA_ANTIOQUIA_SEGOVIA,680.0
COLOMBIA_ANTIOQUIA_VALDIVIA,1097.0
COLOMBIA_ANTIOQUIA_VIGIA DEL FUERTE,8.0
COLOMBIA_ATLANTICO_REPELON,13.0
COLOMBIA_BOLIVAR_ACHI,25.0
COLOMBIA_BOLIVAR_ARROYOHONDO,34.0
COLOMBIA_BOLIVAR_MONTECRISTO,624.0
COLOMBIA_BOLIVAR_SAN MARTIN DE LOBA,42.0
COLOMBIA_BOLIVAR_ZAMBRANO,13.0
COLOMBIA_BOYACA_MACANAL,2024.0
COLOMBIA_BOYACA_MONIQUIRA,1671.0
COLOMBIA_BOYACA_PUERTO BOYACA,144.0
COLOMBIA_CAQUETA_BELEN DE LOS ANDAQUIES,301.0
COLOMBIA_CAQUETA_PUERTO RICO,256.0
COLOMBIA_CASANARE_SABANALARGA,473.0
COLOMBIA_CASANARE_TAURAMENA,461.0
COLOMBIA_CAUCA_MERCADERES,1144.0
COLOMBIA_CAUCA_MIRANDA,1094.0
COLOMBIA_CAUCA_PIAMONTE,302.0
COLOMBIA_CAUCA_PUERTO TEJADA,971.0
COLOMBIA_CAUCA_SANTA ROSA,1707.0
COLOMBIA_CAUCA_SUAREZ,1099.0
COLOMBIA_CESAR_BECERRIL,114.0
COLOMBIA_CESAR_CHIRIGUANA,33.0
COLOMBIA_CESAR_EL COPEY,140.0
COLOMBIA_CESAR_PAILITAS,75.0
COLOMBIA_CHOCO_BELÉN DE BAJIRA,2.0
COLOMBIA_CHOCO_MEDIO BAUDO (BOCA DE PEPE),10.0
COLOMBIA_CORDOBA_PUERTO ESCONDIDO,7.0
COLOMBIA_CORDOBA_PURISIMA,9.0
COLOMBIA_CORDOBA_SAN BERNARDO DEL VIENTO,5.0
COLOMBIA_CORDOBA_SAN JOSE DE URE,98.0
COLOMBIA_CUNDINAMARCA_EL COLEGIO,992.0
COLOMBIA_CUNDINAMARCA_GUADUAS,993.0
COLOMBIA_CUNDINAMARCA_PUERTO SALGAR,181.0
COLOMBIA_GUAJIRA_BARRANCAS,154.0
COLOMBIA_GUAJIRA_DISTRACCION,610.0
COLOMBIA_HUILA_GARZON,828.0
COLOMBIA_MAGDALENA_ARACATACA,34.0
COLOMBIA_MAGDALENA_GUAMAL,27.0
COLOMBIA_MAGDALENA_ZAPAYAN,26.0
COLOMBIA_MAGDALENA_ZONA BANANERA,18.0
COLOMBIA_META_CABUYARO,182.0
COLOMBIA_META_FUENTE DE ORO,258.0
COLOMBIA_META_PUERTO LOPEZ,184.0
COLOMBIA_META_VISTAHERMOSA,298.0
COLOMBIA_NARIÑO_LEIVA,1589.0
COLOMBIA_NARIÑO_MOSQUERA,12.0
COLOMBIA_NARIÑO_RICAURTE,1212.0
COLOMBIA_NORTE SANTANDER_SARDINATA,300.0
COLOMBIA_SANTANDER_BARICHARA,1295.0
COLOMBIA_SANTANDER_PUENTE NACIONAL,1627.0
COLOMBIA_SUCRE_SAN BENITO ABAD,22.0
COLOMBIA_SUCRE_SAN ONOFRE,38.0
COLOMBIA_TOLIMA_DOLORES,1172.0
COLOMBIA_TOLIMA_ROVIRA,1486.0
COLOMBIA_VALLE_BUGALAGRANDE,944.0
COLOMBIA_VALLE_FLORIDA,1369.0
COLOMBIA_VALLE_JAMUNDI,973.0
COLOMBIA_VALLE_TULUA,976.0
COLOMBIA_VALLE_ZARZAL,920.0
COLOMBIA_ANTIOQUIA_BURITICA,1639.0
COLOMBIA_ANTIOQUIA_SAN JUAN DE URABA,23.0
COLOMBIA_ANTIOQUIA_TARAZA,103.0
COLOMBIA_BOLIVAR_SANTA ROSA,24.0
COLOMBIA_BOLIVAR_TIQUISIO (PUERTO RICO),22.0
COLOMBIA_CAQUETA_ALBANIA,276.0
COLOMBIA_CAQUETA_CARTAGENA DEL CHAIRA,222.0
COLOMBIA_CAQUETA_SAN JOSE DEL FRAGUA,391.0
COLOMBIA_CESAR_GAMARRA,53.0
COLOMBIA_CESAR_PELAYA,67.0
COLOMBIA_CORDOBA_LA APARTADA,39.0
COLOMBIA_CUNDINAMARCA_CAQUEZA,1697.0
COLOMBIA_CUNDINAMARCA_GUAYABAL DE SIQUIMA,1601.0
COLOMBIA_CUNDINAMARCA_SILVANIA,1480.0
COLOMBIA_HUILA_ISNOS (SAN JOSE DE ISNOS),1697.0
COLOMBIA_HUILA_LA PLATA,1027.0
COLOMBIA_META_SAN JUAN DE ARAMA,443.0
COLOMBIA_SANTANDER_SOCORRO,1218.0
COLOMBIA_SUCRE_COVEÑAS,9.0
COLOMBIA_SUCRE_GUARANDA,19.0
COLOMBIA_TOLIMA_SALDAÑA,312.0
COLOMBIA_VALLE_RIOFRIO,1537.0
COLOMBIA_VICHADA_CUMARIBO,159.0
COLOMBIA_ANTIOQUIA_ARBOLETES,12.0
COLOMBIA_BOLIVAR_BARRANCO DE LOBA,34.0
COLOMBIA_BOLIVAR_MOMPOS,20.0
COLOMBIA_BOLIVAR_SANTA CATALINA,19.0
COLOMBIA_BOYACA_SOATA,2414.0
COLOMBIA_CHOCO_MEDIO SAN JUAN,40.0
COLOMBIA_CUNDINAMARCA_NIMAIMA,1112.0
COLOMBIA_CUNDINAMARCA_SASAIMA,1161.0
COLOMBIA_HUILA_ALGECIRAS,1285.0
COLOMBIA_HUILA_IQUIRA,1112.0
COLOMBIA_HUILA_PAICOL,870.0
COLOMBIA_HUILA_PITAL,1136.0
COLOMBIA_HUILA_PITALITO,1415.0
COLOMBIA_HUILA_SAN AGUSTIN,2561.0
COLOMBIA_HUILA_TIMANA,1159.0
COLOMBIA_MAGDALENA_ARIGUANI (EL DIFICIL),123.0
COLOMBIA_MAGDALENA_SANTA BARBARA DE PINTO,23.0
COLOMBIA_NARIÑO_ROBERTO PAYAN (SAN JOSE),30.0
COLOMBIA_SANTANDER_EL PLAYON,1131.0
COLOMBIA_SANTANDER_OIBA,1823.0
COLOMBIA_SANTANDER_PUERTO WILCHES,66.0
COLOMBIA_SANTANDER_SABANA DE TORRES,133.0
COLOMBIA_TOLIMA_VENADILLO,333.0
COLOMBIA_VALLE_DARIEN,1518.0
COLOMBIA_ANTIOQUIA_LIBORINA,710.0
COLOMBIA_BOLIVAR_CORDOBA,19.0
COLOMBIA_BOLIVAR_SAN ESTANISLAO,16.0
COLOMBIA_BOLIVAR_SAN FERNANDO,13.0
COLOMBIA_CALDAS_NORCASIA,732.0
COLOMBIA_CAQUETA_SOLITA,218.0
COLOMBIA_CAQUETA_VALPARAISO,226.0
COLOMBIA_CESAR_SAN ALBERTO,118.0
COLOMBIA_CHOCO_BAGADO,113.0
COLOMBIA_CHOCO_CARMEN DEL DARIEN,6.0
COLOMBIA_CHOCO_UNGUIA,13.0
COLOMBIA_CORDOBA_BUENAVISTA,43.0
COLOMBIA_CORDOBA_CHIMA,8.0
COLOMBIA_CUNDINAMARCA_VERGARA,1523.0
COLOMBIA_MAGDALENA_SAN SEBASTIAN DE BUENAVISTA,27.0
COLOMBIA_NORTE SANTANDER_TIBU,59.0
COLOMBIA_PUTUMAYO_PUERTO GUZMAN,278.0
COLOMBIA_RISARALDA_SANTUARIO,1561.0
COLOMBIA_SUCRE_SUCRE,
COLOMBIA_VALLE_TRUJILLO,1313.0
COLOMBIA_AMAZONAS_PUERTO NARIÑO,88.0
COLOMBIA_ANTIOQUIA_PUERTO TRIUNFO,
COLOMBIA_ANTIOQUIA_SAN LUIS,1079.0
COLOMBIA_ANTIOQUIA_VEGACHI,833.0
COLOMBIA_ANTIOQUIA_YALI,
COLOMBIA_ATLANTICO_CANDELARIA,14.0
COLOMBIA_ATLANTICO_LURUACO,34.0
COLOMBIA_BOLIVAR_SAN JACINTO DEL CAUCA,27.0
COLOMBIA_BOLIVAR_SAN PABLO,62.0
COLOMBIA_BOYACA_CHITARAQUE,1577.0
COLOMBIA_CASANARE_OROCUE,134.0
COLOMBIA_CASANARE_PORE,284.0
COLOMBIA_CAUCA_CALDONO,1703.0
COLOMBIA_CESAR_RIO DE ORO,1175.0
COLOMBIA_CESAR_TAMALAMEQUE,35.0
COLOMBIA_CHOCO_CANTON DE SAN PABLO (MANAGRU),49.0
COLOMBIA_CHOCO_RIO IRO,364.0
COLOMBIA_CORDOBA_CANALETE,71.0
COLOMBIA_CUNDINAMARCA_LA VEGA,1175.0
COLOMBIA_META_BARRANCA DE UPIA,236.0
COLOMBIA_SANTANDER_BARBOSA,1565.0
COLOMBIA_SANTANDER_EL CARMEN DE CHUCURI,771.0
COLOMBIA_ANTIOQUIA_PEQUE,1208.0
COLOMBIA_ARAUCA_ARAUQUITA,150.0
COLOMBIA_BOLIVAR_PINILLOS,13.0
COLOMBIA_BOLIVAR_SIMITI,50.0
COLOMBIA_CESAR_CHIMICHAGUA,36.0
COLOMBIA_CHOCO_BOJAYA (BELLAVISTA),93.0
COLOMBIA_CUNDINAMARCA_LA MESA,1273.0
COLOMBIA_CUNDINAMARCA_UBALA,1882.0
COLOMBIA_CUNDINAMARCA_UTICA,505.0
COLOMBIA_NARIÑO_MAGUI (PAYAN),56.0
COLOMBIA_RISARALDA_PUEBLO RICO,1560.0
COLOMBIA_SANTANDER_PINCHOTE,1197.0
COLOMBIA_SUCRE_CAIMITO,24.0
COLOMBIA_TOLIMA_RIOBLANCO,1038.0
COLOMBIA_VALLE_ANDALUCIA,957.0
COLOMBIA_ANTIOQUIA_YOLOMBO,1466.0
COLOMBIA_ANTIOQUIA_ZARAGOZA,67.0
COLOMBIA_ARAUCA_CRAVO NORTE,106.0
COLOMBIA_BOLIVAR_ALTOS DEL ROSARIO,26.0
COLOMBIA_CAUCA_CORINTO,1907.0
COLOMBIA_CHOCO_CERTEGUI,48.0
COLOMBIA_CORDOBA_MOMIL,10.0
COLOMBIA_CUNDINAMARCA_LA PEÑA,1236.0
COLOMBIA_MAGDALENA_EL PIÑON,9.0
COLOMBIA_META_LA MACARENA,230.0
COLOMBIA_SANTANDER_ARATOCA,1759.0
COLOMBIA_SANTANDER_RIONEGRO,133.0
COLOMBIA_VALLE_ROLDANILLO,945.0
COLOMBIA_BOLIVAR_ARENAL,42.0
COLOMBIA_BOYACA_SAN PABLO DE BORBUR,560.0
COLOMBIA_CASANARE_NUNCHIA,225.0
COLOMBIA_CAUCA_MORALES,1766.0
COLOMBIA_CESAR_EL PASO,39.0
COLOMBIA_CHOCO_SIPI,297.0
COLOMBIA_CUNDINAMARCA_CAPARRAPI,1260.0
COLOMBIA_GUAJIRA_EL MOLINO,559.0
COLOMBIA_HUILA_ACEVEDO,1171.0
COLOMBIA_TOLIMA_CUNDAY,614.0
COLOMBIA_VICHADA_LA PRIMAVERA,91.0
COLOMBIA_CAUCA_GUACHENÈ,1000.0
COLOMBIA_CESAR_GONZALEZ,1301.0
COLOMBIA_CESAR_SAN MARTIN,113.0
COLOMBIA_CUNDINAMARCA_VIOTA,561.0
COLOMBIA_MAGDALENA_CHIVOLO,133.0
COLOMBIA_META_EL DORADO,547.0
COLOMBIA_NORTE SANTANDER_LA ESPERANZA,1205.0
COLOMBIA_SUCRE_LA UNION,56.0
COLOMBIA_TOLIMA_SAN ANTONIO,2653.0
COLOMBIA_AMAZONAS_LA PEDRERA (CD),71.0
COLOMBIA_BOLIVAR_HATILLO DE LOBA,28.0
COLOMBIA_BOYACA_CAMPOHERMOSO,840.0
COLOMBIA_SANTANDER_CHARALA,1280.0
COLOMBIA_ANTIOQUIA_BARBOSA,1300.0
COLOMBIA_ANTIOQUIA_SAN RAFAEL,1010.0
COLOMBIA_ATLANTICO_CAMPO DE LA CRUZ,9.0
COLOMBIA_CASANARE_AGUAZUL,280.0
COLOMBIA_CHOCO_NOVITA,89.0
COLOMBIA_CHOCO_NUQUI,4.0
COLOMBIA_NORTE SANTANDER_EL TARRA,584.0
COLOMBIA_TOLIMA_ATACO,454.0
COLOMBIA_AMAZONAS_TARAPACA (CD),65.0
COLOMBIA_ANTIOQUIA_ITUANGO,1600.0
COLOMBIA_BOLIVAR_EL PEÑON,25.0
COLOMBIA_CAUCA_PAEZ,1643.0
COLOMBIA_CUNDINAMARCA_LA PALMA,1458.0
COLOMBIA_CUNDINAMARCA_NOCAIMA,1104.0
COLOMBIA_NORTE SANTANDER_EL CARMEN,510.0
COLOMBIA_SANTANDER_LANDAZURI,924.0
COLOMBIA_SANTANDER_VELEZ,1362.0
COLOMBIA_TOLIMA_PLANADAS,3070.0
COLOMBIA_ATLANTICO_PIOJO,296.0
COLOMBIA_CASANARE_TAMARA,1122.0
COLOMBIA_CHOCO_EL CARMEN DE ATRATO,1525.0
COLOMBIA_CUNDINAMARCA_YACOPI,1281.0
COLOMBIA_ANTIOQUIA_MURINDO,6.0
COLOMBIA_BOLIVAR_MAHATES,9.0
COLOMBIA_CASANARE_MONTERREY,442.0
COLOMBIA_CAUCA_VILLARICA,970.0
COLOMBIA_HUILA_ELIAS,1300.0
COLOMBIA_RISARALDA_APIA,1624.0
COLOMBIA_VALLE_SEVILLA,1622.0
COLOMBIA_ANTIOQUIA_SONSON,2481.0
COLOMBIA_BOLIVAR_CALAMAR,10.0
COLOMBIA_CASANARE_HATO COROZAL,186.0
COLOMBIA_CUNDINAMARCA_BELTRAN,249.0
COLOMBIA_CUNDINAMARCA_SUTATAUSA,2600.0
COLOMBIA_HUILA_PALESTINA,1519.0
COLOMBIA_MAGDALENA_SAN ZENON,40.0
COLOMBIA_MAGDALENA_TENERIFE,22.0
COLOMBIA_NORTE SANTANDER_BUCARASICA,1096.0
COLOMBIA_ANTIOQUIA_DABEIBA,411.0
COLOMBIA_BOYACA_GARAGOA,1685.0
COLOMBIA_BOYACA_QUIPAMA,1302.0
COLOMBIA_CASANARE_MANI,171.0
COLOMBIA_CESAR_LA GLORIA,35.0
COLOMBIA_HUILA_TESALIA,827.0
COLOMBIA_RISARALDA_QUINCHIA,1835.0
COLOMBIA_SANTANDER_ENCISO,2048.0
COLOMBIA_SANTANDER_PALMAR,901.0
COLOMBIA_SANTANDER_SANTA HELENA DEL OPON,1111.0
COLOMBIA_TOLIMA_AMBALEMA,233.0
COLOMBIA_CALDAS_CHINCHINA,1380.0
COLOMBIA_SANTANDER_CAPITANEJO,1469.0
COLOMBIA_SANTANDER_SUAITA,1512.0
COLOMBIA_BOYACA_GUATEQUE,2157.0
COLOMBIA_BOYACA_PAJARITO,1485.0
COLOMBIA_CAUCA_INZA,1775.0
COLOMBIA_HUILA_SALADOBLANCO,1479.0
COLOMBIA_MAGDALENA_SABANAS DE SAN ANGEL,148.0
COLOMBIA_SANTANDER_PARAMO,1407.0
COLOMBIA_VAUPES_PACOA (CD),150.0
COLOMBIA_ARAUCA_PUERTO RONDON,141.0
COLOMBIA_BOLIVAR_TALAIGUA NUEVO,17.0
COLOMBIA_BOYACA_CHINAVITA,2425.0
COLOMBIA_CUNDINAMARCA_QUEBRADANEGRA,1363.0
COLOMBIA_HUILA_TARQUI,845.0
COLOMBIA_MAGDALENA_CERRO SAN ANTONIO,12.0
COLOMBIA_NORTE SANTANDER_CUCUTILLA,1288.0
COLOMBIA_SANTANDER_COROMORO,2111.0
COLOMBIA_SANTANDER_MALAGA,2209.0
COLOMBIA_SANTANDER_VILLANUEVA,1454.0
COLOMBIA_VAUPES_TARAIRA,124.0
COLOMBIA_ANTIOQUIA_LA PINTADA,595.0
COLOMBIA_BOLIVAR_MORALES,41.0
COLOMBIA_HUILA_AGRADO,792.0
COLOMBIA_NORTE SANTANDER_ARBOLEDAS,938.0
COLOMBIA_SANTANDER_CURITI,1870.0
COLOMBIA_ATLANTICO_SUAN,5.0
COLOMBIA_BOLIVAR_MARGARITA,20.0
COLOMBIA_CUNDINAMARCA_PANDI,916.0
COLOMBIA_MAGDALENA_PIJIÑO DEL CARMEN (PIJIÑO),19.0
