city,state,country,Latitude,Longitude,idx_city,status,nearest_city
exterior_aruba,exterior,aruba,12.5013629,-69.9618475,ARUBA_EXTERIOR_EXTERIOR_ARUBA,not_empty,ARUBA_EXTERIOR_EXTERIOR_ARUBA
leticia,amazonas,colombia,-4.2129211,-69.9425963,COLOMBIA_AMAZONAS_LETICIA,not_empty,COLOMBIA_AMAZONAS_LETICIA
apartado,antioquia,colombia,7.8849011,-76.6227461,COLOMBIA_ANTIOQUIA_APARTADO,not_empty,COLOMBIA_ANTIOQUIA_APARTADO
carepa,antioquia,colombia,7.79845155,-76.74603894250129,COLOMBIA_ANTIOQUIA_CAREPA,not_empty,COLOMBIA_ANTIOQUIA_CAREPA
chigorodo,antioquia,colombia,7.6129384,-76.63842602303447,COLOMBIA_ANTIOQUIA_CHIGORODO,not_empty,COLOMBIA_ANTIOQUIA_CHIGORODO
copacabana,antioquia,colombia,6.3461047,-75.5080262,COLOMBIA_ANTIOQUIA_COPACABANA,not_empty,COLOMBIA_ANTIOQUIA_COPACABANA
itagui,antioquia,colombia,6.1724352,-75.6093254,COLOMBIA_ANTIOQUIA_ITAGUI,not_empty,COLOMBIA_ANTIOQUIA_ITAGUI
medellin,antioquia,colombia,6.269732449999999,-75.60255965090315,COLOMBIA_ANTIOQUIA_MEDELLIN,not_empty,COLOMBIA_ANTIOQUIA_MEDELLIN
turbo,antioquia,colombia,8.0950848,-76.728545,COLOMBIA_ANTIOQUIA_TURBO,not_empty,COLOMBIA_ANTIOQUIA_TURBO
arauca,arauca,colombia,7.0851994,-70.7577762,COLOMBIA_ARAUCA_ARAUCA,not_empty,COLOMBIA_ARAUCA_ARAUCA
fortul,arauca,colombia,6.7928481,-71.7743907,COLOMBIA_ARAUCA_FORTUL,not_empty,COLOMBIA_ARAUCA_FORTUL
saravena,arauca,colombia,6.9068188,-71.83613345742756,COLOMBIA_ARAUCA_SARAVENA,not_empty,COLOMBIA_ARAUCA_SARAVENA
baranoa,atlantico,colombia,10.7935815,-74.9152164,COLOMBIA_ATLANTICO_BARANOA,not_empty,COLOMBIA_ATLANTICO_BARANOA
barranquilla,atlantico,colombia,11.0101922,-74.8231794084391,COLOMBIA_ATLANTICO_BARRANQUILLA,not_empty,COLOMBIA_ATLANTICO_BARRANQUILLA
galapa,atlantico,colombia,10.8968665,-74.8859608,COLOMBIA_ATLANTICO_GALAPA,not_empty,COLOMBIA_ATLANTICO_GALAPA
juan de acosta,atlantico,colombia,10.8291974,-75.0347039,COLOMBIA_ATLANTICO_JUAN DE ACOSTA,not_empty,COLOMBIA_ATLANTICO_JUAN DE ACOSTA
malambo,atlantico,colombia,10.8653387,-74.7746194,COLOMBIA_ATLANTICO_MALAMBO,not_empty,COLOMBIA_ATLANTICO_MALAMBO
palmar de varela,atlantico,colombia,10.7410093,-74.7534259,COLOMBIA_ATLANTICO_PALMAR DE VARELA,not_empty,COLOMBIA_ATLANTICO_PALMAR DE VARELA
puerto colombia,atlantico,colombia,10.9891292,-74.955414,COLOMBIA_ATLANTICO_PUERTO COLOMBIA,not_empty,COLOMBIA_ATLANTICO_PUERTO COLOMBIA
sabanagrande,atlantico,colombia,10.80408175,-74.77445095710297,COLOMBIA_ATLANTICO_SABANAGRANDE,not_empty,COLOMBIA_ATLANTICO_SABANAGRANDE
sabanalarga,atlantico,colombia,10.6307159,-74.9209378,COLOMBIA_ATLANTICO_SABANALARGA,not_empty,COLOMBIA_ATLANTICO_SABANALARGA
santo tomas,atlantico,colombia,10.760241,-74.7561781,COLOMBIA_ATLANTICO_SANTO TOMAS,not_empty,COLOMBIA_ATLANTICO_SANTO TOMAS
soledad,atlantico,colombia,10.9149593,-74.7821054,COLOMBIA_ATLANTICO_SOLEDAD,not_empty,COLOMBIA_ATLANTICO_SOLEDAD
arjona,bolivar,colombia,10.2534632,-75.3427213,COLOMBIA_BOLIVAR_ARJONA,not_empty,COLOMBIA_BOLIVAR_ARJONA
cartagena,bolivar,colombia,10.4265566,-75.5441671,COLOMBIA_BOLIVAR_CARTAGENA,not_empty,COLOMBIA_BOLIVAR_CARTAGENA
clemencia,bolivar,colombia,10.56180475,-75.3295539371322,COLOMBIA_BOLIVAR_CLEMENCIA,not_empty,COLOMBIA_BOLIVAR_CLEMENCIA
turbaco,bolivar,colombia,10.3305871,-75.4127345,COLOMBIA_BOLIVAR_TURBACO,not_empty,COLOMBIA_BOLIVAR_TURBACO
villanueva,bolivar,colombia,10.4444032,-75.2730468,COLOMBIA_BOLIVAR_VILLANUEVA,not_empty,COLOMBIA_BOLIVAR_VILLANUEVA
florencia,caqueta,colombia,1.6158666,-75.6143045,COLOMBIA_CAQUETA_FLORENCIA,not_empty,COLOMBIA_CAQUETA_FLORENCIA
la montanita,caqueta,colombia,1.4817139,-75.4356404,COLOMBIA_CAQUETA_LA MONTANITA,not_empty,COLOMBIA_CAQUETA_LA MONTANITA
guapi,cauca,colombia,2.5708069,-77.882619,COLOMBIA_CAUCA_GUAPI,not_empty,COLOMBIA_CAUCA_GUAPI
manaure balcon del cesar,cesar,colombia,10.3910411,-73.0270699,COLOMBIA_CESAR_MANAURE BALCON DEL CESAR,not_empty,COLOMBIA_CESAR_MANAURE BALCON DEL CESAR
san diego,cesar,colombia,10.3326328,-73.1796691,COLOMBIA_CESAR_SAN DIEGO,not_empty,COLOMBIA_CESAR_SAN DIEGO
valledupar,cesar,colombia,10.4651733,-73.2529512,COLOMBIA_CESAR_VALLEDUPAR,not_empty,COLOMBIA_CESAR_VALLEDUPAR
lloro,choco,colombia,5.5844842,-76.37256485604007,COLOMBIA_CHOCO_LLORO,not_empty,COLOMBIA_CHOCO_LLORO
medio atrato,choco,colombia,6.011108549999999,-76.69106336626541,COLOMBIA_CHOCO_MEDIO ATRATO,not_empty,COLOMBIA_CHOCO_MEDIO ATRATO
quibdo,choco,colombia,5.6923407,-76.6583801,COLOMBIA_CHOCO_QUIBDO,not_empty,COLOMBIA_CHOCO_QUIBDO
cerete,cordoba,colombia,8.8852282,-75.7922421,COLOMBIA_CORDOBA_CERETE,not_empty,COLOMBIA_CORDOBA_CERETE
chinu,cordoba,colombia,9.1063553,-75.3989007,COLOMBIA_CORDOBA_CHINU,not_empty,COLOMBIA_CORDOBA_CHINU
cotorra,cordoba,colombia,9.0400712,-75.7863907,COLOMBIA_CORDOBA_COTORRA,not_empty,COLOMBIA_CORDOBA_COTORRA
monteria,cordoba,colombia,8.7509361,-75.8786806,COLOMBIA_CORDOBA_MONTERIA,not_empty,COLOMBIA_CORDOBA_MONTERIA
san andres sotavento,cordoba,colombia,9.1457678,-75.5090819,COLOMBIA_CORDOBA_SAN ANDRES SOTAVENTO,not_empty,COLOMBIA_CORDOBA_SAN ANDRES SOTAVENTO
tuchin,cordoba,colombia,9.1865401,-75.5551384,COLOMBIA_CORDOBA_TUCHIN,not_empty,COLOMBIA_CORDOBA_TUCHIN
agua de dios,cundinamarca,colombia,4.3772853,-74.6694759,COLOMBIA_CUNDINAMARCA_AGUA DE DIOS,not_empty,COLOMBIA_CUNDINAMARCA_AGUA DE DIOS
girardot,cundinamarca,colombia,4.306643,-74.8015665,COLOMBIA_CUNDINAMARCA_GIRARDOT,not_empty,COLOMBIA_CUNDINAMARCA_GIRARDOT
nilo,cundinamarca,colombia,4.3065906,-74.6197608,COLOMBIA_CUNDINAMARCA_NILO,not_empty,COLOMBIA_CUNDINAMARCA_NILO
ricaurte,cundinamarca,colombia,4.2777357,-74.7718165,COLOMBIA_CUNDINAMARCA_RICAURTE,not_empty,COLOMBIA_CUNDINAMARCA_RICAURTE
soacha,cundinamarca,colombia,4.5821413,-74.2197178,COLOMBIA_CUNDINAMARCA_SOACHA,not_empty,COLOMBIA_CUNDINAMARCA_SOACHA
tocaima,cundinamarca,colombia,4.4579274,-74.6342234,COLOMBIA_CUNDINAMARCA_TOCAIMA,not_empty,COLOMBIA_CUNDINAMARCA_TOCAIMA
riohacha,guajira,colombia,11.236191300000002,-72.88204560476245,COLOMBIA_GUAJIRA_RIOHACHA,not_empty,COLOMBIA_GUAJIRA_RIOHACHA
urumita,guajira,colombia,10.5555676,-73.012513,COLOMBIA_GUAJIRA_URUMITA,not_empty,COLOMBIA_GUAJIRA_URUMITA
villanueva,guajira,colombia,10.59092785,-72.99240630315924,COLOMBIA_GUAJIRA_VILLANUEVA,not_empty,COLOMBIA_GUAJIRA_VILLANUEVA
el retorno,guaviare,colombia,2.3305016,-72.6264183,COLOMBIA_GUAVIARE_EL RETORNO,not_empty,COLOMBIA_GUAVIARE_EL RETORNO
san jose del guaviare,guaviare,colombia,2.5716141,-72.6426515,COLOMBIA_GUAVIARE_SAN JOSE DEL GUAVIARE,not_empty,COLOMBIA_GUAVIARE_SAN JOSE DEL GUAVIARE
campoalegre,huila,colombia,2.6851032,-75.3263227,COLOMBIA_HUILA_CAMPOALEGRE,not_empty,COLOMBIA_HUILA_CAMPOALEGRE
neiva,huila,colombia,2.9257038,-75.2893937,COLOMBIA_HUILA_NEIVA,not_empty,COLOMBIA_HUILA_NEIVA
palermo,huila,colombia,2.8896962,-75.4346589,COLOMBIA_HUILA_PALERMO,not_empty,COLOMBIA_HUILA_PALERMO
santa martha,magdalena,colombia,11.1486749,-74.11324,COLOMBIA_MAGDALENA_SANTA MARTHA,not_empty,COLOMBIA_MAGDALENA_SANTA MARTHA
acacias,meta,colombia,3.9887317,-73.767432,COLOMBIA_META_ACACIAS,not_empty,COLOMBIA_META_ACACIAS
castilla la nueva,meta,colombia,3.8275343,-73.6892805,COLOMBIA_META_CASTILLA LA NUEVA,not_empty,COLOMBIA_META_CASTILLA LA NUEVA
puerto concordia,meta,colombia,2.77307455,-72.68629021595169,COLOMBIA_META_PUERTO CONCORDIA,not_empty,COLOMBIA_META_PUERTO CONCORDIA
villavicencio,meta,colombia,4.1347644,-73.6201517,COLOMBIA_META_VILLAVICENCIO,not_empty,COLOMBIA_META_VILLAVICENCIO
el charco,narino,colombia,2.4798209,-78.110793,COLOMBIA_NARIÑO_EL CHARCO,not_empty,COLOMBIA_NARIÑO_EL CHARCO
santa barbara iscuande,narino,colombia,2.4507682,-77.9798341,COLOMBIA_NARIÑO_SANTA BARBARA (ISCUANDE),not_empty,COLOMBIA_NARIÑO_SANTA BARBARA (ISCUANDE)
taminango,narino,colombia,1.5696216,-77.2772963,COLOMBIA_NARIÑO_TAMINANGO,not_empty,COLOMBIA_NARIÑO_TAMINANGO
tumaco,narino,colombia,1.8061434,-78.7635572,COLOMBIA_NARIÑO_TUMACO,not_empty,COLOMBIA_NARIÑO_TUMACO
los patios,norte santander,colombia,7.8342202,-72.5059128,COLOMBIA_NORTE SANTANDER_LOS PATIOS,not_empty,COLOMBIA_NORTE SANTANDER_LOS PATIOS
villa del rosario,norte santander,colombia,7.8318933,-72.4717181,COLOMBIA_NORTE SANTANDER_VILLA DEL ROSARIO,not_empty,COLOMBIA_NORTE SANTANDER_VILLA DEL ROSARIO
san miguel la dorada,putumayo,colombia,0.31137555,-76.94558787400646,COLOMBIA_PUTUMAYO_SAN MIGUEL (LA DORADA),not_empty,COLOMBIA_PUTUMAYO_SAN MIGUEL (LA DORADA)
armenia,quindio,colombia,4.536307,-75.6723751,COLOMBIA_QUINDIO_ARMENIA,not_empty,COLOMBIA_QUINDIO_ARMENIA
pereira,risaralda,colombia,4.7854606,-75.7883220137654,COLOMBIA_RISARALDA_PEREIRA,not_empty,COLOMBIA_RISARALDA_PEREIRA
san andres,san andres,colombia,12.53759785,-81.72041550499901,COLOMBIA_SAN ANDRES_SAN ANDRES,not_empty,COLOMBIA_SAN ANDRES_SAN ANDRES
barrancabermeja,santander,colombia,7.0673313,-73.8525627,COLOMBIA_SANTANDER_BARRANCABERMEJA,not_empty,COLOMBIA_SANTANDER_BARRANCABERMEJA
bucaramanga,santander,colombia,7.16698415,-73.1047294009737,COLOMBIA_SANTANDER_BUCARAMANGA,not_empty,COLOMBIA_SANTANDER_BUCARAMANGA
floridablanca,santander,colombia,7.0625358,-73.0858228,COLOMBIA_SANTANDER_FLORIDABLANCA,not_empty,COLOMBIA_SANTANDER_FLORIDABLANCA
giron,santander,colombia,7.0732333,-73.1689196,COLOMBIA_SANTANDER_GIRON,not_empty,COLOMBIA_SANTANDER_GIRON
lebrija,santander,colombia,7.1138415,-73.2174056,COLOMBIA_SANTANDER_LEBRIJA,not_empty,COLOMBIA_SANTANDER_LEBRIJA
piedecuesta,santander,colombia,6.9874808,-73.0504129,COLOMBIA_SANTANDER_PIEDECUESTA,not_empty,COLOMBIA_SANTANDER_PIEDECUESTA
corozal,sucre,colombia,9.3192389,-75.2947262,COLOMBIA_SUCRE_COROZAL,not_empty,COLOMBIA_SUCRE_COROZAL
los palmitos,sucre,colombia,9.3805529,-75.2681334,COLOMBIA_SUCRE_LOS PALMITOS,not_empty,COLOMBIA_SUCRE_LOS PALMITOS
morroa,sucre,colombia,9.3344096,-75.305435,COLOMBIA_SUCRE_MORROA,not_empty,COLOMBIA_SUCRE_MORROA
ovejas,sucre,colombia,9.5538396,-75.18883090053416,COLOMBIA_SUCRE_OVEJAS,not_empty,COLOMBIA_SUCRE_OVEJAS
sampues,sucre,colombia,9.1845583,-75.3802368,COLOMBIA_SUCRE_SAMPUES,not_empty,COLOMBIA_SUCRE_SAMPUES
san juan de betulia,sucre,colombia,9.273499,-75.2431182,COLOMBIA_SUCRE_SAN JUAN DE BETULIA,not_empty,COLOMBIA_SUCRE_SAN JUAN DE BETULIA
san pedro,sucre,colombia,9.39663005,-75.03354633922669,COLOMBIA_SUCRE_SAN PEDRO,not_empty,COLOMBIA_SUCRE_SAN PEDRO
since,sucre,colombia,9.2440111,-75.1474036,COLOMBIA_SUCRE_SINCE,not_empty,COLOMBIA_SUCRE_SINCE
sincelejo,sucre,colombia,9.2973386,-75.3926601,COLOMBIA_SUCRE_SINCELEJO,not_empty,COLOMBIA_SUCRE_SINCELEJO
toluviejo,sucre,colombia,9.453506,-75.4392989,COLOMBIA_SUCRE_TOLUVIEJO,not_empty,COLOMBIA_SUCRE_TOLUVIEJO
