week,tavg,tmin,tmax,prcp,wdir,wspd,pres
2022-12-26,16.4,14.0,21.3,12.9,285.0,3.4,1016.7
2023-01-02,16.385714285714286,13.242857142857144,21.542857142857144,9.27142857142857,220.42857142857142,4.014285714285714,1016.3142857142857
2023-01-09,16.271428571428572,13.385714285714286,20.37142857142857,7.085714285714286,154.14285714285714,5.257142857142857,1016.1714285714286
2023-01-16,16.2,13.114285714285714,21.24285714285714,7.642857142857143,181.85714285714286,5.871428571428572,1014.7571428571429
2023-01-23,16.857142857142858,12.328571428571427,22.97142857142857,0.6285714285714287,157.14285714285714,6.457142857142857,1013.342857142857
2023-01-30,16.814285714285713,13.185714285714285,22.428571428571427,1.5285714285714285,143.57142857142858,6.3999999999999995,1014.4571428571428
2023-02-06,17.142857142857142,13.957142857142857,22.571428571428573,3.2571428571428567,128.28571428571428,6.757142857142857,1013.0857142857143
2023-02-13,17.685714285714287,14.342857142857143,23.32857142857143,6.714285714285714,183.85714285714286,6.714285714285714,1013.5142857142857
2023-02-20,17.285714285714285,13.299999999999999,22.857142857142858,5.528571428571429,138.28571428571428,5.971428571428571,1015.2142857142857
2023-02-27,18.32857142857143,13.957142857142857,23.857142857142858,2.7285714285714286,152.28571428571428,6.671428571428572,1013.5857142857143
2023-03-06,17.414285714285715,14.571428571428571,22.571428571428573,16.37142857142857,263.14285714285717,6.028571428571429,1015.6428571428571
2023-03-13,16.785714285714285,13.442857142857141,21.771428571428572,7.714285714285714,161.0,5.028571428571429,1016.6285714285714
2023-03-20,17.52857142857143,13.414285714285715,24.0,10.799999999999999,165.28571428571428,6.457142857142857,1015.1
2023-03-27,18.014285714285712,13.271428571428572,24.0,5.314285714285714,143.28571428571428,6.7,1014.3000000000001
2023-04-03,17.585714285714285,13.657142857142857,22.957142857142856,11.085714285714285,192.14285714285714,6.028571428571429,1013.5571428571428
2023-04-10,17.97142857142857,14.071428571428571,24.142857142857142,5.371428571428572,136.28571428571428,5.828571428571428,1014.1
2023-04-17,17.857142857142858,14.357142857142858,23.285714285714285,9.828571428571427,231.14285714285714,5.671428571428572,1014.842857142857
2023-04-24,17.657142857142855,13.12857142857143,24.571428571428573,4.571428571428571,151.57142857142858,5.485714285714286,1015.3571428571429
