week,tavg,tmin,tmax,prcp,wdir,wspd,pres
2022-12-26,21.9,16.6,27.0,0.5,203.0,6.8,1018.9
2023-01-02,21.67142857142857,15.828571428571427,25.857142857142858,6.071428571428571,142.0,7.857142857142857,1018.9571428571428
2023-01-09,21.714285714285715,16.442857142857143,26.114285714285717,14.471428571428573,88.71428571428571,6.5,1018.6285714285714
2023-01-16,22.414285714285715,15.942857142857141,27.0,2.2857142857142856,20.428571428571427,7.057142857142857,1017.2142857142857
2023-01-23,24.057142857142857,14.957142857142857,28.842857142857145,0.6857142857142857,28.142857142857142,9.942857142857141,1016.3142857142857
2023-01-30,23.557142857142857,15.385714285714284,28.457142857142856,1.7142857142857142,18.714285714285715,10.042857142857143,1016.7666666666668
2023-02-06,23.67142857142857,17.442857142857143,27.885714285714283,3.257142857142857,60.0,10.428571428571429,1015.9
2023-02-13,23.414285714285715,16.714285714285715,27.571428571428573,3.542857142857143,35.714285714285715,9.12857142857143,1016.2571428571429
2023-02-20,22.942857142857143,15.757142857142856,28.02857142857143,5.957142857142857,62.142857142857146,7.3428571428571425,1018.0
2023-02-27,24.900000000000002,19.014285714285712,29.014285714285712,2.5142857142857147,12.571428571428571,9.285714285714286,1016.4142857142857
2023-03-06,21.228571428571428,16.2,25.228571428571428,13.6,313.0,6.685714285714285,1018.5
2023-03-13,21.599999999999998,15.528571428571428,25.8,14.557142857142859,226.0,7.057142857142857,1018.8857142857142
2023-03-20,23.114285714285717,16.385714285714286,27.385714285714283,7.357142857142857,244.71428571428572,7.785714285714286,1017.7714285714285
2023-03-27,23.057142857142857,17.02857142857143,27.7,7.185714285714286,111.0,8.514285714285714,1017.1714285714286
2023-04-03,23.914285714285715,15.9,27.985714285714288,3.4714285714285715,78.28571428571429,10.071428571428571,1016.3571428571429
2023-04-10,23.442857142857143,17.571428571428573,27.17142857142857,7.314285714285715,250.57142857142858,8.771428571428572,1016.9428571428572
2023-04-17,23.0,16.442857142857143,26.97142857142857,9.428571428571429,147.42857142857142,8.871428571428572,1017.4857142857143
2023-04-24,23.32857142857143,17.385714285714286,27.442857142857143,6.014285714285714,151.14285714285714,9.914285714285715,1018.3142857142857
2023-05-01,26.37142857142857,17.314285714285713,30.67142857142857,0.24285714285714288,68.0,10.457142857142857,1016.1714285714286
2023-05-08,25.114285714285717,18.571428571428573,29.3,3.0285714285714285,200.14285714285714,10.642857142857142,1017.3714285714286
2023-05-15,24.042857142857144,18.357142857142858,27.985714285714288,8.457142857142857,132.85714285714286,7.7,1018.1
2023-05-22,23.385714285714283,16.885714285714286,28.114285714285717,7.685714285714285,156.57142857142858,6.542857142857144,1017.6
