week,tavg,tmin,tmax,prcp,wdir,wspd,pres
2022-12-26,25.1,21.2,29.6,8.0,19.0,3.8,1013.2
2023-01-02,25.271428571428572,22.67142857142857,29.314285714285713,11.157142857142857,158.0,5.071428571428571,1012.7571428571429
2023-01-09,24.685714285714287,22.142857142857142,29.02857142857143,19.785714285714285,135.0,5.728571428571429,1012.6857142857143
2023-01-16,24.771428571428572,22.157142857142855,28.985714285714288,11.742857142857144,120.85714285714286,5.742857142857142,1011.3571428571429
2023-01-23,25.12857142857143,22.557142857142857,29.185714285714287,12.757142857142856,124.28571428571429,6.614285714285714,1009.9142857142857
2023-01-30,24.67142857142857,22.271428571428572,28.985714285714288,30.785714285714285,166.14285714285714,7.314285714285715,1010.9714285714286
2023-02-06,25.114285714285717,22.685714285714287,29.485714285714288,26.342857142857145,142.71428571428572,5.985714285714286,1009.4571428571428
2023-02-13,25.085714285714285,22.571428571428573,29.671428571428574,23.75714285714286,162.57142857142858,6.171428571428572,1009.9
2023-02-20,25.214285714285715,22.785714285714285,29.514285714285712,15.87142857142857,100.85714285714286,5.485714285714286,1011.3714285714286
2023-02-27,25.17142857142857,23.342857142857145,29.02857142857143,24.571428571428573,127.0,5.871428571428572,1009.7714285714285
2023-03-06,24.585714285714285,22.385714285714283,29.0,33.08571428571428,196.57142857142858,6.085714285714286,1012.0428571428572
2023-03-13,24.942857142857143,22.285714285714285,29.2,13.557142857142859,231.85714285714286,5.442857142857143,1012.6142857142858
2023-03-20,24.8,22.385714285714283,29.042857142857144,36.542857142857144,184.57142857142858,5.7,1011.4
2023-03-27,24.914285714285715,22.37142857142857,29.185714285714287,27.02857142857143,113.14285714285714,5.457142857142857,1010.342857142857
2023-04-03,25.442857142857143,22.97142857142857,30.214285714285715,23.47142857142857,141.14285714285714,5.857142857142857,1009.5142857142857
2023-04-10,25.085714285714285,22.457142857142856,30.057142857142857,25.942857142857143,111.85714285714286,5.757142857142857,1010.2428571428571
2023-04-17,25.228571428571428,22.771428571428572,29.614285714285717,43.94285714285714,238.42857142857142,5.571428571428571,1010.6857142857143
2023-04-24,25.342857142857145,22.585714285714285,29.885714285714283,20.685714285714287,141.71428571428572,5.6571428571428575,1011.1857142857143
2023-05-01,25.785714285714285,23.314285714285713,30.02857142857143,9.442857142857141,99.28571428571429,5.514285714285714,1008.9428571428572
2023-05-08,26.142857142857142,23.7,30.37142857142857,12.528571428571428,114.42857142857143,6.1000000000000005,1010.0428571428572
2023-05-15,26.057142857142857,23.642857142857142,29.900000000000002,14.657142857142857,147.57142857142858,6.885714285714286,1011.1999999999999
2023-05-22,25.7,23.5,29.3,15.957142857142856,93.42857142857143,5.914285714285714,1010.8571428571429
2023-05-29,25.771428571428572,23.157142857142855,30.0,11.185714285714285,132.14285714285714,6.014285714285714,1010.9857142857143
2023-06-05,25.3,22.885714285714283,29.54285714285714,18.914285714285715,91.14285714285714,6.014285714285714,1012.0714285714286
2023-06-12,25.785714285714285,23.4,29.342857142857145,2.257142857142857,122.28571428571429,6.385714285714286,1009.9285714285714
2023-06-19,25.599999999999998,23.157142857142855,28.942857142857143,0.3,168.42857142857142,8.557142857142857,1010.6428571428571
2023-06-26,25.557142857142857,23.157142857142855,29.385714285714283,2.2285714285714286,140.71428571428572,7.357142857142857,1010.342857142857
2023-07-03,25.428571428571427,22.75714285714286,29.785714285714285,8.757142857142856,124.71428571428571,5.7,1011.6
2023-07-10,25.87142857142857,23.24285714285714,29.657142857142855,4.5285714285714285,150.71428571428572,6.942857142857143,1009.6714285714286
2023-07-17,26.114285714285717,23.385714285714283,29.75714285714286,0.15714285714285717,149.42857142857142,8.128571428571428,1010.1714285714286
2023-07-24,26.157142857142855,22.842857142857145,30.285714285714285,0.04285714285714286,180.42857142857142,8.685714285714285,1011.3857142857142
2023-07-31,26.385714285714283,22.914285714285715,30.442857142857143,0.2,156.71428571428572,8.114285714285714,1011.6142857142858
2023-08-07,26.32857142857143,22.342857142857145,31.02857142857143,0.04285714285714286,179.85714285714286,8.071428571428571,1011.6714285714286
2023-08-14,26.885714285714283,22.82857142857143,31.25714285714286,0.2285714285714286,194.0,8.714285714285714,1010.342857142857
2023-08-21,26.3,22.814285714285713,31.02857142857143,1.1428571428571428,121.85714285714286,7.885714285714286,1010.0285714285714
2023-08-28,27.014285714285712,23.014285714285712,31.37142857142857,0.4857142857142857,222.57142857142858,8.471428571428572,1010.3714285714286
2023-09-04,26.585714285714285,22.714285714285715,31.314285714285713,0.7999999999999999,233.42857142857142,8.528571428571428,1010.6142857142858
2023-09-11,27.428571428571427,22.642857142857142,32.542857142857144,0.5142857142857143,210.42857142857142,8.342857142857143,1010.4285714285714
2023-09-18,27.74285714285714,22.97142857142857,33.028571428571425,0.5285714285714286,199.42857142857142,9.014285714285714,1009.4428571428572
2023-09-25,28.114285714285717,23.400000000000002,33.542857142857144,0.4857142857142857,212.42857142857142,9.757142857142856,1010.0142857142857
2023-10-02,28.557142857142857,23.657142857142855,34.114285714285714,0.2714285714285714,211.14285714285714,8.385714285714286,1010.5
2023-10-09,26.614285714285717,23.485714285714288,31.24285714285714,8.557142857142859,210.42857142857142,7.242857142857143,1010.342857142857
2023-10-16,26.185714285714287,23.24285714285714,30.47142857142857,11.585714285714285,194.57142857142858,7.485714285714286,1010.6
2023-10-23,25.400000000000002,22.714285714285715,29.414285714285715,6.5,224.0,7.6,1010.9428571428572
2023-10-30,25.67142857142857,22.685714285714287,30.02857142857143,2.142857142857143,187.14285714285714,7.528571428571429,1010.0571428571429
2023-11-06,25.842857142857145,22.514285714285712,29.942857142857143,1.0714285714285714,177.42857142857142,8.357142857142858,1009.2142857142857
2023-11-13,26.071428571428573,22.814285714285713,30.071428571428573,1.4428571428571428,218.71428571428572,8.27142857142857,1010.342857142857
2023-11-20,25.442857142857143,22.657142857142855,29.557142857142857,8.1,183.0,6.514285714285714,1010.9
2023-11-27,25.771428571428572,22.62857142857143,29.485714285714288,2.5,166.57142857142858,8.071428571428571,1009.5571428571428
2023-12-04,25.685714285714287,23.099999999999998,29.2,3.914285714285714,157.85714285714286,7.171428571428572,1009.0142857142857
2023-12-11,26.285714285714285,23.52857142857143,30.271428571428572,9.685714285714285,170.28571428571428,7.328571428571428,1008.2714285714285
2023-12-18,26.114285714285717,23.12857142857143,29.72857142857143,8.628571428571428,235.0,6.928571428571429,1009.5428571428572
2023-12-25,25.32857142857143,22.87142857142857,28.97142857142857,16.47142857142857,186.42857142857142,7.1571428571428575,1012.9571428571428
