"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"06270099999","2020-01-01","53.228611","5.760556","0.91","LEEUWARDEN, NL","  33.2","24","  32.8","24","9999.9"," 0","999.9"," 0","  0.6","24","  7.6","24"," 12.0"," 17.5","  35.6","*","  28.4"," ","99.99"," ","999.9","111000"
"06270099999","2020-01-02","53.228611","5.760556","0.91","LEEUWARDEN, NL","  38.1","24","  37.3","24","9999.9"," 0","999.9"," 0","  2.4","24"," 11.5","24"," 17.5"," 28.0","  44.6","*","  31.8"," "," 0.01","E","999.9","100000"
"06270099999","2020-01-03","53.228611","5.760556","0.91","LEEUWARDEN, NL","  44.4","24","  42.3","24","9999.9"," 0","999.9"," 0","  4.4","24"," 12.0","24"," 21.0"," 27.2","  48.2","*","  40.5"," "," 0.07","G","999.9","010000"
"06270099999","2020-01-04","53.228611","5.760556","0.91","LEEUWARDEN, NL","  42.7","24","  40.0","24","9999.9"," 0","999.9"," 0","  6.3","24"," 10.9","24"," 17.5"," 28.0","  46.8","*","  37.4","*"," 0.26","G","999.9","010000"
"06270099999","2020-01-05","53.228611","5.760556","0.91","LEEUWARDEN, NL","  42.8","24","  41.2","24","9999.9"," 0","999.9"," 0","  5.0","24","  7.5","24"," 12.0"," 15.5","  45.0","*","  37.4"," "," 0.01","G","999.9","110000"
"06270099999","2020-01-06","53.228611","5.760556","0.91","LEEUWARDEN, NL","  41.8","24","  39.3","24","9999.9"," 0","999.9"," 0","  5.1","24"," 10.1","24"," 13.6"," 21.4","  43.2","*","  37.4","*"," 0.00","G","999.9","010000"
"06270099999","2020-01-07","53.228611","5.760556","0.91","LEEUWARDEN, NL","  42.9","24","  41.5","24","9999.9"," 0","999.9"," 0","  5.3","24"," 11.6","24"," 22.0"," 34.0","  46.4","*","  35.6","*"," 0.03","G","999.9","010000"
"06270099999","2020-01-08","53.228611","5.760556","0.91","LEEUWARDEN, NL","  48.1","24","  47.3","24","9999.9"," 0","999.9"," 0","  5.2","24"," 11.5","24"," 22.0"," 32.1","  52.7","*","  44.1","*"," 0.04","G","999.9","010000"
"06270099999","2020-01-09","53.228611","5.760556","0.91","LEEUWARDEN, NL","  49.9","24","  49.3","24","9999.9"," 0","999.9"," 0","  3.7","24"," 12.0","24"," 19.4"," 28.0","  53.6","*","  44.2"," "," 0.01","G","999.9","110000"
"06270099999","2020-01-10","53.228611","5.760556","0.91","LEEUWARDEN, NL","  43.8","24","  41.2","24","9999.9"," 0","999.9"," 0","  5.9","24"," 10.3","24"," 17.5"," 25.3","  51.8","*","  33.8","*"," 0.17","G","999.9","010000"
"06270099999","2020-01-11","53.228611","5.760556","0.91","LEEUWARDEN, NL","  41.8","24","  38.4","24","9999.9"," 0","999.9"," 0","  7.2","24"," 13.3","24"," 21.0"," 27.0","  46.4","*","  34.3"," "," 0.02","G","999.9","010000"
"06270099999","2020-01-12","53.228611","5.760556","0.91","LEEUWARDEN, NL","  44.4","24","  42.0","24","9999.9"," 0","999.9"," 0","  6.0","24"," 15.4","24"," 24.1"," 34.0","  48.6","*","  38.3","*"," 0.00","G","999.9","010000"
"06270099999","2020-01-13","53.228611","5.760556","0.91","LEEUWARDEN, NL","  42.8","23","  41.0","23","9999.9"," 0","999.9"," 0","  6.5","23"," 11.1","23"," 20.0"," 27.2","  48.2","*","  37.4"," "," 0.16","G","999.9","010000"
"06270099999","2020-01-14","53.228611","5.760556","0.91","LEEUWARDEN, NL","  49.1","24","  46.0","24","9999.9"," 0","999.9"," 0","  7.1","24"," 18.2","24"," 24.1"," 39.0","  53.6","*","  43.5"," "," 0.42","G","999.9","010000"
"06270099999","2020-01-15","53.228611","5.760556","0.91","LEEUWARDEN, NL","  48.2","24","  44.1","24","9999.9"," 0","999.9"," 0","  5.9","20"," 16.1","24"," 22.0"," 34.0","  53.6","*","  42.3","*"," 0.19","G","999.9","010000"
