"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"06434099999","2020-01-01","50.9833333","3.8166666","15.0","MELLE, BE","  35.8","18","  34.4","18","1031.8","18","029.7","18","999.9"," 0","  5.7","18","  7.8","999.9","  38.7","*","  34.7","*"," 0.00","I","999.9","000000"
"06434099999","2020-01-02","50.9833333","3.8166666","15.0","MELLE, BE","  40.4","24","  38.4","24","1025.3","24","023.2","24","999.9"," 0","  8.1","24"," 11.7","999.9","  47.8","*","  34.9"," "," 0.00","I","999.9","000000"
"06434099999","2020-01-03","50.9833333","3.8166666","15.0","MELLE, BE","  47.2","24","  44.0","24","1021.3","24","019.3","24","999.9"," 0"," 10.8","24"," 15.5","999.9","  50.5"," ","  40.1","*"," 0.24","E","999.9","000000"
"06434099999","2020-01-04","50.9833333","3.8166666","15.0","MELLE, BE","  42.3","24","  38.2","24","1033.0","24","031.0","24","999.9"," 0","  6.6","24"," 11.7","999.9","  47.7"," ","  38.1"," "," 0.00","I","999.9","000000"
"06434099999","2020-01-05","50.9833333","3.8166666","15.0","MELLE, BE","  43.9","24","  40.2","24","1035.1","24","033.0","24","999.9"," 0","  5.3","24","  7.8","999.9","  45.3"," ","  43.0"," "," 0.00","I","999.9","000000"
"06434099999","2020-01-06","50.9833333","3.8166666","15.0","MELLE, BE","  42.6","24","  37.0","24","1025.7","24","023.7","24","999.9"," 0","  7.4","24","  9.7","999.9","  47.1"," ","  38.3","*"," 0.00","I","999.9","000000"
"06434099999","2020-01-07","50.9833333","3.8166666","15.0","MELLE, BE","  43.9","24","  41.5","24","1026.0","24","023.9","24","999.9"," 0","  9.1","24"," 13.6","999.9","  47.7","*","  40.3"," "," 0.03","E","999.9","000000"
"06434099999","2020-01-08","50.9833333","3.8166666","15.0","MELLE, BE","  52.0","24","  50.4","24","1023.3","24","021.3","24","999.9"," 0","  8.6","24"," 15.5","999.9","  54.0"," ","  43.9"," "," 0.05","F","999.9","000000"
"06434099999","2020-01-09","50.9833333","3.8166666","15.0","MELLE, BE","  53.8","24","  50.4","24","1012.5","24","010.5","24","999.9"," 0"," 13.4","24"," 17.5","999.9","  55.6"," ","  51.1"," "," 0.08","F","999.9","000000"
"06434099999","2020-01-10","50.9833333","3.8166666","15.0","MELLE, BE","  45.0","24","  41.8","24","1021.4","24","019.3","24","999.9"," 0","  6.3","24"," 13.6","999.9","  47.1","*","  42.1","*"," 0.01","E","999.9","000000"
"06434099999","2020-01-11","50.9833333","3.8166666","15.0","MELLE, BE","  42.6","21","  36.3","21","1030.3","21","028.2","21","999.9"," 0"," 10.0","21"," 14.0"," 22.0","  45.9"," ","  39.9"," "," 0.00","I","999.9","000000"
"06434099999","2020-01-12","50.9833333","3.8166666","15.0","MELLE, BE","  45.6","23","  40.4","23","1022.1","23","020.1","23","999.9"," 0"," 11.8","23"," 15.5","999.9","  50.9"," ","  42.4"," "," 0.02","F","999.9","000000"
"06434099999","2020-01-13","50.9833333","3.8166666","15.0","MELLE, BE","  45.5","21","  42.1","21","1016.7","21","014.7","21","999.9"," 0"," 10.4","21"," 19.4"," 27.6","  51.4","*","  42.4"," "," 0.02","E","999.9","000000"
"06434099999","2020-01-14","50.9833333","3.8166666","15.0","MELLE, BE","  51.3","24","  45.6","24","1004.7","24","002.7","24","999.9"," 0"," 18.6","24"," 23.3","999.9","  54.1"," ","  48.2"," "," 0.11","F","999.9","000000"
"06434099999","2020-01-15","50.9833333","3.8166666","15.0","MELLE, BE","  49.0","24","  42.1","24","1011.9","24","009.8","24","999.9"," 0"," 13.8","24"," 23.3","999.9","  53.4","*","  43.3","*"," 0.16","F","999.9","000000"
"06434099999","2020-01-16","50.9833333","3.8166666","15.0","MELLE, BE","  45.9","24","  41.4","24","1021.8","24","019.7","24","999.9"," 0","  8.2","24"," 13.6","999.9","  52.3"," ","  38.5","*"," 0.00","I","999.9","000000"
"06434099999","2020-01-17","50.9833333","3.8166666","15.0","MELLE, BE","  47.8","24","  41.0","24","1015.9","24","013.9","24","999.9"," 0"," 10.5","24"," 15.5","999.9","  51.6"," ","  40.6","*"," 0.02","E","999.9","000000"
"06434099999","2020-01-18","50.9833333","3.8166666","15.0","MELLE, BE","  39.9","24","  35.0","24","1026.7","24","024.6","24","999.9"," 0","  6.5","24"," 11.7","999.9","  46.2"," ","  35.2","*"," 0.00","I","999.9","000000"
"06434099999","2020-01-19","50.9833333","3.8166666","15.0","MELLE, BE","  38.5","24","  34.0","24","1040.9","24","038.8","24","999.9"," 0","  5.7","23"," 11.7","999.9","  46.2"," ","  30.7","*"," 0.05","F","999.9","000000"
"06434099999","2020-01-20","50.9833333","3.8166666","15.0","MELLE, BE","  34.2","24","  33.1","24","1047.8","24","045.7","24","999.9"," 0","  2.1","16","  3.9","999.9","  40.8"," ","  27.9"," "," 0.00","I","999.9","000000"
"06434099999","2020-01-21","50.9833333","3.8166666","15.0","MELLE, BE","  33.0","24","  32.2","24","1042.7","24","040.6","24","999.9"," 0","  2.8","24","  3.9","999.9","  35.6","*","  29.5","*"," 0.00","I","999.9","000000"
"06434099999","2020-01-22","50.9833333","3.8166666","15.0","MELLE, BE","  34.8","24","  33.7","24","1037.9","24","035.8","24","999.9"," 0","  2.5","23","  3.9","999.9","  40.1","*","  29.1"," "," 0.00","I","999.9","000000"
"06434099999","2020-01-23","50.9833333","3.8166666","15.0","MELLE, BE","  39.6","24","  37.2","24","1031.5","24","029.5","24","999.9"," 0","  5.1","24","  7.8","999.9","  42.4"," ","  35.4","*"," 0.00","I","999.9","000000"
