año,semana,temp,año_semana,prcp,count,codigo,MPIO_CCNCT,MPIO_CNMBR,geometry,longitude,latitude,elevation_m,date,count_t+1,count_t+2
2014,1,25.484035,2014-01,3.996071289160408,10,5045,5045,APARTADÓ,"POLYGON ((-76.42525179693415 8.073453898570664, -76.41178613182103 8.006522547244508, -76.4215793428124 7.912322867600288, -76.4644246408996 7.870180905654189, -76.51706314997817 7.83547576052211, -76.54889108570009 7.771023348133959, -76.70191000744012 7.811925840611055, -76.75332436514476 7.878857191937211, -76.53297711783912 7.963141115829407, -76.42525179693415 8.073453898570664))",-76.5579043662974,7.895848118192672,194.0,2014-01-06,5.0,7.0
2014,2,25.170785,2014-02,4.486607151904267,5,5045,5045,APARTADÓ,"POLYGON ((-76.42525179693415 8.073453898570664, -76.41178613182103 8.006522547244508, -76.4215793428124 7.912322867600288, -76.4644246408996 7.870180905654189, -76.51706314997817 7.83547576052211, -76.54889108570009 7.771023348133959, -76.70191000744012 7.811925840611055, -76.75332436514476 7.878857191937211, -76.53297711783912 7.963141115829407, -76.42525179693415 8.073453898570664))",-76.5579043662974,7.895848118192672,194.0,2014-01-13,7.0,8.0
2014,3,25.93624442857143,2014-03,0.0989285707473753,7,5045,5045,APARTADÓ,"POLYGON ((-76.42525179693415 8.073453898570664, -76.41178613182103 8.006522547244508, -76.4215793428124 7.912322867600288, -76.4644246408996 7.870180905654189, -76.51706314997817 7.83547576052211, -76.54889108570009 7.771023348133959, -76.70191000744012 7.811925840611055, -76.75332436514476 7.878857191937211, -76.53297711783912 7.963141115829407, -76.42525179693415 8.073453898570664))",-76.5579043662974,7.895848118192672,194.0,2014-01-20,8.0,9.0
2014,4,25.17320471428571,2014-04,3.746250001447527,8,5045,5045,APARTADÓ,"POLYGON ((-76.42525179693415 8.073453898570664, -76.41178613182103 8.006522547244508, -76.4215793428124 7.912322867600288, -76.4644246408996 7.870180905654189, -76.51706314997817 7.83547576052211, -76.54889108570009 7.771023348133959, -76.70191000744012 7.811925840611055, -76.75332436514476 7.878857191937211, -76.53297711783912 7.963141115829407, -76.42525179693415 8.073453898570664))",-76.5579043662974,7.895848118192672,194.0,2014-01-27,9.0,8.0
2014,5,25.48960657142857,2014-05,0.2310714088380328,9,5045,5045,APARTADÓ,"POLYGON ((-76.42525179693415 8.073453898570664, -76.41178613182103 8.006522547244508, -76.4215793428124 7.912322867600288, -76.4644246408996 7.870180905654189, -76.51706314997817 7.83547576052211, -76.54889108570009 7.771023348133959, -76.70191000744012 7.811925840611055, -76.75332436514476 7.878857191937211, -76.53297711783912 7.963141115829407, -76.42525179693415 8.073453898570664))",-76.5579043662974,7.895848118192672,194.0,2014-02-03,8.0,3.0
2014,6,25.68883385714286,2014-06,0.4232142759220929,8,5045,5045,APARTADÓ,"POLYGON ((-76.42525179693415 8.073453898570664, -76.41178613182103 8.006522547244508, -76.4215793428124 7.912322867600288, -76.4644246408996 7.870180905654189, -76.51706314997817 7.83547576052211, -76.54889108570009 7.771023348133959, -76.70191000744012 7.811925840611055, -76.75332436514476 7.878857191937211, -76.53297711783912 7.963141115829407, -76.42525179693415 8.073453898570664))",-76.5579043662974,7.895848118192672,194.0,2014-02-10,3.0,6.0
2014,7,25.68716414285714,2014-07,1.366785686097239,3,5045,5045,APARTADÓ,"POLYGON ((-76.42525179693415 8.073453898570664, -76.41178613182103 8.006522547244508, -76.4215793428124 7.912322867600288, -76.4644246408996 7.870180905654189, -76.51706314997817 7.83547576052211, -76.54889108570009 7.771023348133959, -76.70191000744012 7.811925840611055, -76.75332436514476 7.878857191937211, -76.53297711783912 7.963141115829407, -76.42525179693415 8.073453898570664))",-76.5579043662974,7.895848118192672,194.0,2014-02-17,6.0,2.0
2014,8,25.804452,2014-08,0.1662500106862611,6,5045,5045,APARTADÓ,"POLYGON ((-76.42525179693415 8.073453898570664, -76.41178613182103 8.006522547244508, -76.4215793428124 7.912322867600288, -76.4644246408996 7.870180905654189, -76.51706314997817 7.83547576052211, -76.54889108570009 7.771023348133959, -76.70191000744012 7.811925840611055, -76.75332436514476 7.878857191937211, -76.53297711783912 7.963141115829407, -76.42525179693415 8.073453898570664))",-76.5579043662974,7.895848118192672,194.0,2014-02-24,2.0,5.0
2014,9,25.57182542857143,2014-09,3.586250108267572,2,5045,5045,APARTADÓ,"POLYGON ((-76.42525179693415 8.073453898570664, -76.41178613182103 8.006522547244508, -76.4215793428124 7.912322867600288, -76.4644246408996 7.870180905654189, -76.51706314997817 7.83547576052211, -76.54889108570009 7.771023348133959, -76.70191000744012 7.811925840611055, -76.75332436514476 7.878857191937211, -76.53297711783912 7.963141115829407, -76.42525179693415 8.073453898570664))",-76.5579043662974,7.895848118192672,194.0,2014-03-03,5.0,7.0
2014,10,25.21085042857143,2014-10,2.261071386081829,5,5045,5045,APARTADÓ,"POLYGON ((-76.42525179693415 8.073453898570664, -76.41178613182103 8.006522547244508, -76.4215793428124 7.912322867600288, -76.4644246408996 7.870180905654189, -76.51706314997817 7.83547576052211, -76.54889108570009 7.771023348133959, -76.70191000744012 7.811925840611055, -76.75332436514476 7.878857191937211, -76.53297711783912 7.963141115829407, -76.42525179693415 8.073453898570664))",-76.5579043662974,7.895848118192672,194.0,2014-03-10,7.0,8.0
2014,11,25.49772428571429,2014-11,0.4887500405311573,7,5045,5045,APARTADÓ,"POLYGON ((-76.42525179693415 8.073453898570664, -76.41178613182103 8.006522547244508, -76.4215793428124 7.912322867600288, -76.4644246408996 7.870180905654189, -76.51706314997817 7.83547576052211, -76.54889108570009 7.771023348133959, -76.70191000744012 7.811925840611055, -76.75332436514476 7.878857191937211, -76.53297711783912 7.963141115829407, -76.42525179693415 8.073453898570664))",-76.5579043662974,7.895848118192672,194.0,2014-03-17,8.0,2.0
2014,12,26.10891271428571,2014-12,0.509285726717539,8,5045,5045,APARTADÓ,"POLYGON ((-76.42525179693415 8.073453898570664, -76.41178613182103 8.006522547244508, -76.4215793428124 7.912322867600288, -76.4644246408996 7.870180905654189, -76.51706314997817 7.83547576052211, -76.54889108570009 7.771023348133959, -76.70191000744012 7.811925840611055, -76.75332436514476 7.878857191937211, -76.53297711783912 7.963141115829407, -76.42525179693415 8.073453898570664))",-76.5579043662974,7.895848118192672,194.0,2014-03-24,2.0,10.0
2014,13,26.06869957142857,2014-13,0.6662499672467135,2,5045,5045,APARTADÓ,"POLYGON ((-76.42525179693415 8.073453898570664, -76.41178613182103 8.006522547244508, -76.4215793428124 7.912322867600288, -76.4644246408996 7.870180905654189, -76.51706314997817 7.83547576052211, -76.54889108570009 7.771023348133959, -76.70191000744012 7.811925840611055, -76.75332436514476 7.878857191937211, -76.53297711783912 7.963141115829407, -76.42525179693415 8.073453898570664))",-76.5579043662974,7.895848118192672,194.0,2014-03-31,10.0,3.0
