date,country,new_cases,cases,co,no2,o3,pm10,pm25,so2,population
2021-06-21,Colombia,213550,28430257,12.235714285714286,11.014285714285714,4.35,31.642857142857142,52.42857142857143,0.6285714285714287,50933064
2021-06-28,Colombia,191779,29882574,11.885714285714286,7.835714285714286,5.864285714285714,25.571428571428573,42.714285714285715,0.5,50933064
2021-07-05,Colombia,161465,31131459,10.107142857142858,7.857142857142857,6.2,23.5,40.285714285714285,0.42857142857142855,50933064
2021-07-12,Colombia,127506,32089627,8.935714285714285,8.985714285714286,7.2,21.857142857142858,41.5,0.42857142857142855,50933064
2021-07-19,Colombia,88380,32847613,10.078571428571427,7.821428571428571,5.464285714285714,20.142857142857142,42.357142857142854,0.4428571428571429,50933064
2021-07-26,Colombia,66568,33364117,10.657142857142857,9.314285714285715,5.057142857142857,25.214285714285715,45.0,0.5571428571428572,50933064
2021-08-02,Colombia,44570,33747896,8.664285714285715,7.707142857142857,8.085714285714285,29.071428571428573,54.0,0.5571428571428572,50933064
2021-08-09,Colombia,28777,33991892,10.485714285714286,11.85,5.1499999999999995,23.071428571428573,46.642857142857146,0.6857142857142857,50933064
2021-08-16,Colombia,21776,34163296,12.821428571428571,14.87857142857143,5.471428571428571,26.285714285714285,52.714285714285715,0.7571428571428571,50933064
2021-08-23,Colombia,15721,34292897,11.578571428571427,15.37142857142857,4.9,28.5,53.142857142857146,0.7857142857142857,50933064
2021-08-30,Colombia,13391,34390973,10.85,13.192857142857141,6.164285714285714,26.285714285714285,49.285714285714285,0.7000000000000001,50933064
2021-09-06,Colombia,11600,34474979,12.485714285714286,9.485714285714286,4.892857142857143,27.857142857142858,52.142857142857146,0.4571428571428572,50933064
2021-09-13,Colombia,10815,34553092,6.321428571428571,8.814285714285715,7.685714285714285,26.571428571428573,52.07142857142857,0.5571428571428572,50933064
2021-09-20,Colombia,10611,34628326,11.892857142857142,12.757142857142856,7.014285714285714,24.0,50.214285714285715,0.6142857142857142,50933064
2021-09-27,Colombia,10379,34702030,12.942857142857141,8.864285714285714,4.803571428571429,29.892857142857142,59.285714285714285,0.75,50933064
2021-10-04,Colombia,10182,34773153,11.314285714285715,12.664285714285715,5.271428571428571,26.857142857142858,53.857142857142854,0.6857142857142857,50933064
2021-10-11,Colombia,9296,34840878,12.292857142857143,13.978571428571428,5.121428571428572,29.714285714285715,61.42857142857143,0.7714285714285715,50933064
2021-10-18,Colombia,9518,34905854,12.335714285714285,11.178571428571429,4.6499999999999995,30.285714285714285,60.785714285714285,0.7857142857142857,50933064
2021-10-25,Colombia,11337,34981850,10.842857142857143,14.235714285714286,4.371428571428572,29.714285714285715,57.214285714285715,0.7999999999999999,50933064
2021-11-01,Colombia,12655,35064490,10.014285714285714,10.87142857142857,3.457142857142857,30.285714285714285,59.57142857142857,0.7999999999999999,50933064
2021-11-08,Colombia,16903,35170101,9.4,13.364285714285714,5.378571428571428,33.07142857142857,64.78571428571429,0.6142857142857142,50933064
2021-11-15,Colombia,16116,35286057,5.942857142857143,11.935714285714285,4.8500000000000005,34.857142857142854,65.42857142857143,0.6571428571428571,50933064
2021-11-22,Colombia,17312,35405245,14.242857142857144,12.9,3.9428571428571426,33.357142857142854,68.28571428571429,0.6714285714285715,50933064
2021-11-29,Colombia,15691,35519317,10.971428571428572,9.714285714285714,4.414285714285714,30.571428571428573,55.285714285714285,0.6571428571428571,50933064
2021-12-06,Colombia,12470,35616354,9.942857142857145,11.171428571428573,5.335714285714286,34.07142857142857,64.28571428571429,0.7571428571428571,50933064
2021-12-13,Colombia,13789,35710590,11.178571428571429,12.442857142857141,4.314285714285714,37.714285714285715,67.5,0.9142857142857144,50933064
2021-12-20,Colombia,17367,35812335,8.857142857142858,9.05,4.871428571428572,32.92857142857143,63.785714285714285,0.8714285714285716,50933064
2021-12-27,Colombia,56483,36054358,9.875,10.49642857142857,4.057142857142857,32.714285714285715,63.0,0.9571428571428572,50933064
2022-01-03,Colombia,149489,36756256,10.017582417582418,10.596703296703295,4.225274725274725,32.57692307692308,63.06043956043956,0.9483516483516484,51443283
2022-01-10,Colombia,213134,38121466,10.160164835164835,10.69697802197802,4.393406593406593,32.43956043956044,63.120879120879124,0.9395604395604396,51443283
2022-01-17,Colombia,196383,39584867,10.302747252747253,10.797252747252745,4.561538461538461,32.3021978021978,63.18131868131868,0.9307692307692308,51443283
2022-01-24,Colombia,131798,40722812,10.44532967032967,10.897527472527472,4.72967032967033,32.16483516483517,63.24175824175824,0.921978021978022,51443283
2022-01-31,Colombia,94729,41503033,10.587912087912088,10.997802197802196,4.897802197802198,32.027472527472526,63.3021978021978,0.9131868131868132,51443283
2022-02-07,Colombia,53389,42000822,10.730494505494505,11.098076923076922,5.065934065934066,31.89010989010989,63.362637362637365,0.9043956043956044,51443283
2022-02-14,Colombia,26947,42246384,10.873076923076923,11.198351648351647,5.234065934065934,31.752747252747252,63.42307692307692,0.8956043956043956,51443283
2022-02-21,Colombia,15659,42395150,11.01565934065934,11.298626373626373,5.4021978021978025,31.615384615384613,63.48351648351648,0.8868131868131868,51443283
2022-02-28,Colombia,9003,42477226,11.158241758241758,11.398901098901097,5.57032967032967,31.478021978021978,63.543956043956044,0.878021978021978,51443283
2022-03-07,Colombia,5115,42523909,11.300824175824175,11.499175824175824,5.7384615384615385,31.34065934065934,63.604395604395606,0.8692307692307693,51443283
2022-03-14,Colombia,4312,42554483,11.443406593406593,11.599450549450548,5.906593406593407,31.2032967032967,63.66483516483516,0.8604395604395605,51443283
2022-03-21,Colombia,2512,42578252,11.58598901098901,11.699725274725274,6.0747252747252745,31.065934065934066,63.72527472527472,0.8516483516483516,51443283
2022-03-28,Colombia,2283,42594460,11.728571428571428,11.799999999999999,6.242857142857143,30.928571428571427,63.785714285714285,0.8428571428571429,51443283
2022-04-04,Colombia,2108,42609865,11.5,12.657142857142857,5.728571428571429,27.5,55.5,0.6714285714285715,51443283
2022-04-11,Colombia,1628,42623625,7.471428571428571,9.87142857142857,7.542857142857144,29.357142857142858,60.714285714285715,0.7285714285714285,51443283
2022-04-18,Colombia,1681,42633795,11.192857142857141,11.471428571428572,3.4285714285714284,24.285714285714285,50.785714285714285,0.7142857142857143,51443283
2022-04-25,Colombia,1324,42645167,11.028571428571428,12.87142857142857,3.4499999999999997,29.357142857142858,57.57142857142857,0.9285714285714286,51443283
2022-05-02,Colombia,978,42652581,10.435714285714285,11.221428571428572,3.9214285714285713,27.142857142857142,55.357142857142854,0.7999999999999999,51443283
2022-05-09,Colombia,1671,42662199,11.821428571428571,11.135714285714286,2.692857142857143,27.214285714285715,53.92857142857143,0.8142857142857143,51443283
2022-05-16,Colombia,3795,42682392,12.414285714285715,11.12857142857143,2.664285714285714,25.142857142857142,51.357142857142854,0.6857142857142857,51443283
2022-05-23,Colombia,4344,42711153,9.950000000000001,11.12857142857143,2.6571428571428575,24.071428571428573,47.07142857142857,0.6142857142857142,51443283
2022-05-30,Colombia,5650,42746785,11.485714285714286,10.742857142857144,2.942857142857143,24.357142857142858,51.5,0.5714285714285714,51443283
2022-06-06,Colombia,8742,42798703,11.578571428571427,11.564285714285715,3.7285714285714286,27.142857142857142,55.285714285714285,0.42857142857142855,51443283
2022-06-13,Colombia,13810,42880169,11.114285714285714,9.828571428571427,3.1571428571428575,28.0,52.57142857142857,0.4142857142857143,51443283
2022-06-20,Colombia,19697,43000387,9.671428571428573,10.585714285714285,4.535714285714286,23.285714285714285,47.285714285714285,0.4428571428571429,51443283
2022-06-27,Colombia,23827,43154786,10.549999999999999,9.392857142857142,4.064285714285714,25.0,51.857142857142854,0.6142857142857142,51443283
2022-07-04,Colombia,23667,43320935,8.485714285714286,8.321428571428571,5.478571428571429,21.0,42.714285714285715,0.6,51443283
2022-07-11,Colombia,24649,43490532,11.664285714285715,11.742857142857144,5.235714285714286,28.428571428571427,51.92857142857143,0.6857142857142857,51443283
2022-07-18,Colombia,24137,43661027,10.114285714285714,11.042857142857143,5.221428571428571,23.642857142857142,47.0,0.5142857142857143,51443283
2022-07-25,Colombia,18164,43806094,10.757142857142856,12.521428571428572,4.285714285714286,22.285714285714285,48.57142857142857,0.5857142857142856,51443283
2022-08-01,Colombia,13200,43913386,11.007142857142856,12.542857142857143,4.242857142857143,24.285714285714285,45.857142857142854,0.8428571428571429,51443283
2022-08-08,Colombia,7394,43982562,10.242857142857144,12.62142857142857,6.721428571428571,26.928571428571427,49.785714285714285,0.7571428571428571,51443283
2022-08-15,Colombia,6738,44031696,10.392857142857142,11.078571428571427,6.507142857142857,26.785714285714285,51.0,0.7428571428571429,51443283
2022-08-22,Colombia,6465,44077770,11.321428571428571,13.642857142857142,6.835714285714286,32.07142857142857,64.28571428571429,0.7285714285714285,51443283
2022-08-29,Colombia,3214,44110021,12.521428571428572,13.85,4.428571428571429,27.428571428571427,56.857142857142854,0.6571428571428571,51443283
2022-09-05,Colombia,1508,44125695,11.435714285714285,13.228571428571428,8.714285714285714,29.0,57.42857142857143,1.157142857142857,51443283
2022-09-12,Colombia,1245,44135199,12.292857142857143,13.935714285714285,5.035714285714286,28.571428571428573,55.214285714285715,0.9000000000000001,51443283
2022-09-19,Colombia,990,44142894,14.107142857142858,16.085714285714285,4.428571428571429,34.142857142857146,65.85714285714286,1.042857142857143,51443283
2022-09-26,Colombia,820,44149144,12.635714285714286,15.735714285714286,5.992857142857143,32.714285714285715,58.57142857142857,0.8285714285714285,51443283
2022-10-03,Colombia,715,44154464,12.414285714285715,14.078571428571427,5.978571428571429,26.571428571428573,53.857142857142854,0.5428571428571428,51443283
2022-10-10,Colombia,471,44158493,12.342857142857143,13.257142857142856,4.742857142857143,31.285714285714285,59.92857142857143,0.7857142857142857,51443283
2022-10-17,Colombia,610,44162346,12.342857142857142,13.164285714285715,5.085714285714286,29.071428571428573,62.07142857142857,0.7285714285714285,51443283
2022-10-24,Colombia,548,44166368,12.85,11.314285714285715,3.864285714285714,25.357142857142858,52.42857142857143,0.4571428571428572,51443283
2022-10-31,Colombia,616,44170476,12.72857142857143,10.75,4.328571428571428,29.571428571428573,58.214285714285715,0.5571428571428572,51443283
2022-11-07,Colombia,1027,44176432,11.914285714285715,12.307142857142859,4.271428571428571,25.714285714285715,58.285714285714285,0.5714285714285714,51443283
2022-11-14,Colombia,1298,44184705,12.064285714285715,12.228571428571428,4.1571428571428575,27.714285714285715,55.57142857142857,0.5857142857142856,51443283
2022-11-21,Colombia,0,44188599,12.914285714285715,12.471428571428572,3.957142857142857,32.57142857142857,61.92857142857143,0.5428571428571428,51443283
2022-11-28,Colombia,1450,44192949,10.078571428571427,11.414285714285715,4.6499999999999995,30.5,58.642857142857146,0.6857142857142857,51443283
2022-12-05,Colombia,2903,44213264,6.214285714285714,11.164285714285715,4.492857142857143,32.642857142857146,63.42857142857143,0.5142857142857143,51443283
2022-12-12,Colombia,5271,44240154,6.285714285714286,10.728571428571428,4.085714285714286,35.642857142857146,60.857142857142854,0.5,51443283
2022-12-19,Colombia,6708,44276091,7.985714285714286,11.107142857142858,5.685714285714285,35.07142857142857,70.42857142857143,0.8714285714285716,51443283
2022-12-26,Colombia,7671,44333607,10.285714285714286,12.421428571428573,5.2,35.642857142857146,73.85714285714286,0.8142857142857143,51443283
2023-01-02,Colombia,6360,44382060,9.171428571428573,12.164285714285715,5.164285714285714,24.785714285714285,55.5,0.7714285714285715,52032604
2023-01-09,Colombia,39,44401413,11.37142857142857,12.450000000000001,3.857142857142857,25.857142857142858,57.0,0.6857142857142857,52032604
2023-01-16,Colombia,5297,44427898,10.62142857142857,14.12857142857143,4.385714285714286,30.714285714285715,62.5,0.5714285714285714,52032604
2023-01-23,Colombia,4567,44456760,8.992857142857144,11.757142857142856,7.464285714285714,32.142857142857146,63.357142857142854,0.7285714285714285,52032604
2023-01-30,Colombia,2212,44481521,9.614285714285714,14.571428571428571,8.8,42.92857142857143,79.21428571428571,0.8714285714285716,52032604
2023-02-06,Colombia,502,44488455,11.15,13.842857142857143,6.628571428571428,32.0,62.785714285714285,0.7428571428571429,52032604
2023-02-13,Colombia,831,44493614,11.585714285714285,12.385714285714286,5.485714285714287,30.071428571428573,61.42857142857143,0.7285714285714285,52032604
2023-02-20,Colombia,705,44497391,12.142857142857142,15.135714285714286,5.114285714285714,42.357142857142854,85.14285714285714,0.7428571428571429,52032604
2023-02-27,Colombia,1059,44505506,7.514285714285714,13.707142857142857,8.157142857142857,32.285714285714285,67.85714285714286,0.4428571428571429,52032604
2023-03-06,Colombia,861,25434650,8.957142857142857,13.77142857142857,3.735714285714286,28.857142857142858,63.92857142857143,0.4857142857142857,52032604
2020-01-20,Germany,0,0,0.1,17.42142857142857,5.7,25.084033613445378,64.58730158730158,1.508531746031746,83634807
