date,country,new_cases,cases,co,no2,o3,pm10,pm25,so2,year,population,Mean_distance_avg_14day_movavg,StringencyIndex_Average
2021-05-17,Mexico,14681,16730587,10.450649350649352,9.790674603174605,28.024047619047618,46.82597402597403,65.88888888888889,4.118939393939394,2021,127241179,22.35571428571429,44.44
2021-05-24,Mexico,16206,16838682,9.86547619047619,7.877460317460318,23.89152514152514,49.34415584415585,77.43795093795094,4.065476190476191,2021,127241179,21.43857142857143,44.44
2021-05-31,Mexico,20871,16980165,9.675844155844157,8.511428571428572,21.486971361971364,28.545454545454543,60.41948051948052,3.4767316017316015,2021,127241179,21.0,44.44
2021-06-07,Mexico,20495,17115442,9.443900742115028,7.762001133786848,21.286587301587304,29.03030303030303,62.6037518037518,6.993585858585859,2021,127241179,20.448571428571427,44.44
2021-06-14,Mexico,23107,17266750,8.87328798185941,7.887896825396825,16.03015873015873,19.31890331890332,34.06984126984127,4.072222222222222,2021,127241179,20.872857142857146,44.44
2021-06-21,Mexico,28509,17449726,7.758571428571429,9.190079365079367,14.775324675324674,20.95974025974026,40.44285714285714,3.4994588744588744,2021,127241179,22.255714285714284,44.44
2021-06-28,Mexico,34276,17673953,7.211038961038961,9.576190476190476,11.833766233766235,17.454545454545457,38.128571428571426,4.226623376623377,2021,127241179,22.73,44.44
2021-07-05,Mexico,50432,17972286,7.067445887445887,10.960714285714285,14.774047619047618,67.97402597402598,46.385714285714286,3.6443073593073594,2021,127241179,22.34857142857143,44.44
2021-07-12,Mexico,68637,18400664,7.351190476190476,7.866553287981859,14.620757575757576,31.41450216450216,50.16969696969697,3.605194805194805,2021,127241179,22.72,44.44
2021-07-19,Mexico,89381,18946215,7.3032467532467535,8.860232426303854,16.683852813852813,33.70454545454545,50.957142857142856,3.5372294372294375,2021,127241179,24.22142857142857,44.44
2021-07-26,Mexico,106474,19659942,7.923376623376623,8.361734693877551,18.42139971139971,26.42034632034632,46.007936507936506,3.182835497835498,2021,127241179,24.352857142857143,67.13
