week,dengue,zika,chik,var,date,tavg,tmin,tmax,prcp,wdir,wspd,pres,mob_index,google_physician,google_hospital,google_pharmacy,google_symptom
2020-03-23,949,3.0,1.0,351.0,2020-03-23,20.00307981823384,14.529673131076136,25.87847047835264,1.866561049136342,180.78149758847,10.676054856140182,1014.5491388980148,7.531666666666666,28,10,6,44
2020-03-30,1006,1.0,4.0,275.0,2020-03-30,20.31031988242209,15.607636723797924,25.801951130329,4.628406964224856,82.95758374118499,10.251907490588696,1013.9574892838972,4.344285714285714,31,8,6,40
2020-04-06,931,3.0,2.0,212.0,2020-04-06,20.56757499206727,15.800335055628803,25.8745479746687,3.028124483385647,54.72069007438427,10.745448995235938,1014.8039521392822,2.705714285714286,40,8,6,38
2020-04-13,883,1.0,0.0,188.0,2020-04-13,19.56457152568218,14.11298100464334,25.60809579902661,2.240945567688388,158.25656619755742,9.985719600294347,1016.4993545019266,1.977142857142857,27,8,5,31
2020-04-20,879,3.0,3.0,195.0,2020-04-20,19.83315338215693,14.608703394452196,25.966335067950645,4.637721662332193,121.42978617569686,8.996265743435353,1015.6429534588782,2.207142857142857,24,7,5,29
2020-04-27,801,0.0,1.0,171.0,2020-04-27,20.283689699038664,15.006702072006595,25.65211907193595,2.294778585520698,60.876399011600064,10.006302044662016,1015.2355336805392,2.6485714285714286,23,8,5,29
2020-05-04,809,2.0,3.0,189.0,2020-05-04,20.99908193651008,15.773527050813072,25.548885483912585,2.211875850454354,62.74191409844495,10.270327040694612,1014.284738355317,2.972857142857143,24,8,5,31
2020-05-11,826,3.0,2.0,194.0,2020-05-11,20.475638078607968,15.435180995265144,26.00410499617487,2.7298831635807903,128.84176515491347,8.831454525110976,1015.0752465847606,3.3328571428571427,25,8,5,31
2020-05-18,788,1.0,1.0,178.0,2020-05-18,20.745719815206183,15.443365008396848,25.686873050721,2.301189060355074,94.22008030442376,9.845479057985234,1014.9515662224364,3.88,24,7,5,30
2020-05-25,660,0.0,4.0,161.0,2020-05-25,19.7035180775668,15.200609817017076,24.75669439002661,4.341489107313143,172.33873137191745,8.455852299716508,1015.5110994916316,4.424285714285714,23,8,5,28
2020-06-01,694,3.0,1.0,163.0,2020-06-01,19.681632316569623,15.089342168843377,24.842919602221315,4.443224750282494,53.93557270522405,8.199124879293437,1015.8648501670564,4.6571428571428575,26,7,5,30
2020-06-08,552,2.0,1.0,157.0,2020-06-08,19.48312372303041,14.615381707263694,25.24241697285441,4.351892759960212,149.85884159820006,8.19018514143961,1015.5150690309404,4.938571428571429,22,6,5,29
2020-06-15,550,2.0,1.0,145.0,2020-06-15,19.47479873460784,14.532145182738011,24.74347936280544,9.607573974338903,91.96536243107536,8.903902030861854,1014.6712658249944,5.474285714285714,25,7,5,34
2020-06-22,497,2.0,2.0,119.0,2020-06-22,19.94674122356988,15.03520526598225,25.663170653863467,2.81569006963505,55.441236879035706,9.709576545591892,1013.393216916182,5.821428571428571,24,6,6,35
2020-06-29,522,1.0,0.0,130.0,2020-06-29,19.211437479579967,14.128154171268948,24.652090916154936,5.377202262799075,113.13489982983047,8.95473395130942,1013.8287510391688,6.067142857142857,27,8,5,39
2020-07-06,438,1.0,0.0,137.0,2020-07-06,19.12810007367747,14.635140776738412,24.46593359637416,4.486324734508968,102.72691851274044,8.712352848765766,1015.1258983991288,6.07,26,7,5,44
2020-07-13,347,2.0,1.0,129.0,2020-07-13,19.88760081896155,14.653336769157814,25.1123974571372,3.973730345518476,59.063530301287074,10.17196003923492,1014.0399389709804,6.405714285714287,27,8,5,39
2020-07-20,340,3.0,1.0,120.0,2020-07-20,18.899470714149462,14.345086700845226,24.201898686430265,6.536991561394435,126.75918187884751,8.951428160028756,1014.898138485146,6.067142857142857,30,8,5,38
2020-07-27,302,2.0,1.0,113.0,2020-07-27,19.906450512106293,14.299200646215253,25.38006313103685,7.486513534057531,70.3643090669646,9.999247330202149,1014.4627634142872,5.368571428571428,25,7,5,35
2020-08-03,322,1.0,1.0,108.0,2020-08-03,20.21510321446616,14.878913449003708,25.218936708448854,1.9813494222428645,90.85088671642792,11.334226631363862,1014.234339986761,5.312857142857142,25,7,5,30
2020-08-10,277,1.0,2.0,132.0,2020-08-10,20.04509287135176,15.141006478892429,25.339110548834583,3.5291602361509757,95.72261282199536,9.822755316197762,1013.7502249844296,5.425714285714286,26,7,5,30
2020-08-17,275,1.0,1.0,139.0,2020-08-17,18.9600831170105,14.430298502893598,24.560599480744617,7.003239671039587,158.09013842996782,8.069284235286089,1014.4024011233406,5.5685714285714285,26,7,4,27
2020-08-24,276,0.0,0.0,122.0,2020-08-24,19.33211814439928,13.936920693811022,25.33356872858632,5.21138392836719,137.80842503062445,9.194137798848535,1014.7235943701592,5.525714285714286,25,7,4,27
2020-08-31,252,0.0,1.0,140.0,2020-08-31,19.468095643042897,14.213601313525771,25.42082126932208,6.6145774473990455,126.05536383065882,8.68114084358955,1014.198412331546,5.917142857142857,28,8,5,27
2020-09-07,321,2.0,2.0,143.0,2020-09-07,18.93242920990738,13.02276730251292,25.212056590263494,3.1119740452513627,182.559282494442,8.665321132126422,1014.276884008969,7.234285714285714,24,7,4,27
2020-09-14,272,0.0,1.0,159.0,2020-09-14,18.990953133769864,14.150876448516822,24.87352108073254,17.161337944107306,152.94756991797811,8.039830302387042,1014.995419482946,7.908571428571428,26,7,5,26
2020-09-21,295,1.0,1.0,160.0,2020-09-21,19.22443486512737,13.864325569867106,25.26848125820401,2.205193661142604,87.64495018721139,9.022438768323685,1014.9650628891908,7.718571428571429,27,7,4,28
2020-09-28,298,0.0,0.0,157.0,2020-09-28,18.660228774426997,13.699660026320776,24.17230331242045,5.058723071146618,117.07942478017036,9.158119559611748,1013.3695301577123,8.148571428571428,27,7,5,29
2020-10-05,319,0.0,0.0,156.0,2020-10-05,18.29968437175046,13.205027442985982,24.449209725983582,5.86001110658438,98.83519814475936,8.726811061116223,1014.9161322952242,8.805714285714286,25,7,4,30
2020-10-12,332,0.0,0.0,170.0,2020-10-12,18.95529670886305,13.276350551932314,24.863138808363384,5.795064431067512,72.46949386884232,8.837206313979316,1013.2454249406333,9.501428571428573,27,7,4,30
2020-10-19,301,3.0,0.0,186.0,2020-10-19,18.82990950129994,14.362403113969862,24.023511841599397,5.730117755550643,164.32298250687978,8.48791356877563,1014.1047151314336,9.625714285714285,26,7,4,30
2020-10-26,245,2.0,0.0,158.0,2020-10-26,18.59605260035698,14.699830729511346,24.27333946523607,5.665171080033775,243.6538147851663,8.010475281949393,1014.4304525198172,9.07857142857143,24,7,4,27
2020-11-02,280,1.0,1.0,172.0,2020-11-02,18.452806704260134,13.915363921295398,24.131118353391315,5.600224404516907,241.63031192620704,8.327830924561233,1014.251946891537,8.678571428571429,25,7,4,27
2020-11-09,275,0.0,0.0,162.0,2020-11-09,18.2688249444552,14.86075967635318,23.90213488732499,5.535277729000039,268.9946008895725,7.587221672379424,1015.37227693852,8.76,22,7,4,25
2020-11-16,287,1.0,1.0,154.0,2020-11-16,18.12112272963201,14.409459969889529,23.57339524384398,5.470331053483171,220.25070568905105,7.102145361600521,1014.7082022501548,9.505714285714287,25,7,5,30
2020-11-23,279,1.0,3.0,151.0,2020-11-23,18.55944118303416,14.43185734607122,24.38671425388141,5.4053843779663024,170.4187254316394,8.008526473834223,1014.161036147866,10.037142857142857,46,7,5,30
2020-11-30,307,0.0,1.0,151.0,2020-11-30,18.692866279232756,14.28690692525576,24.074313847647534,5.340437702449434,136.5514030251307,8.286048084336196,1017.2579521825568,9.911428571428571,24,7,5,33
2020-12-07,307,1.0,0.0,149.0,2020-12-07,18.3120572019985,12.81485293750323,24.273340644368368,5.275491026932566,168.98699596321416,8.28863930387702,1019.5392357500448,10.227142857142857,26,8,5,35
2020-12-14,290,3.0,1.0,144.0,2020-12-14,18.720829075043337,13.557221921860702,24.44720839238385,5.210544351415699,82.65975526074169,9.25327817250322,1018.6232616571616,10.934285714285712,19,6,4,37
2020-12-21,312,1.0,3.0,140.0,2020-12-21,18.40116442451409,13.84916231743968,24.194519514229075,5.14559767589883,152.2838078510367,8.892182605979425,1018.52787878856,11.565714285714288,21,7,5,42
